seed,dimension,p,k,time,num_nodes,solution,termination
1,15,75,3.0,0.0,163,2.815606245803557,Optimal
2,15,75,3.0,0.0,343,2.510953567208758,Optimal
3,15,75,3.0,0.0,529,4.97748303124901,Optimal
4,15,75,3.0,0.0,2193,3.5701497183497706,Optimal
5,15,75,3.0,0.0,1041,3.096066196742239,Optimal
6,15,75,3.0,0.0,53,3.2749568893217735,Optimal
7,15,75,3.0,0.0,487,4.47192513838839,Optimal
8,15,75,3.0,0.0,2421,2.287453738930412,Optimal
9,15,75,3.0,0.0,33,4.329813847966928,Optimal
10,15,75,3.0,0.0,97,2.391720049437202,Optimal
1,16,80,4.0,0.0,1565,2.663381002980705,Optimal
2,16,80,4.0,0.0,569,2.3464480491551583,Optimal
3,16,80,4.0,0.0,2077,5.091729404016699,Optimal
4,16,80,4.0,0.0,1139,3.597237097944213,Optimal
5,16,80,4.0,0.0,5743,3.637694066239684,Optimal
6,16,80,4.0,0.0,35,3.4527224419238687,Optimal
7,16,80,4.0,0.0,1221,4.703790780153929,Optimal
8,16,80,4.0,0.0,19721,2.133831465910055,Time limit reached
9,16,80,4.0,0.0,125,4.506260634378162,Optimal
10,16,80,4.0,0.0,805,1.9988248403514854,Optimal
1,17,85,4.0,0.0,277,2.347440849170061,Optimal
2,17,85,4.0,0.0,2315,2.510256559519694,Optimal
3,17,85,4.0,0.0,905,5.014566801995036,Optimal
4,17,85,4.0,0.0,1511,3.914997907633357,Optimal
5,17,85,4.0,0.0,4741,3.899814369244486,Optimal
6,17,85,4.0,0.0,109,3.193774171603006,Optimal
7,17,85,4.0,0.0,579,4.518595223804617,Optimal
8,17,85,4.0,0.0,21239,1.911481196492108,Time limit reached
9,17,85,4.0,0.0,53,4.7713428266081594,Optimal
10,17,85,4.0,0.0,1233,2.2440746071132383,Optimal
1,18,90,4.0,0.0,1173,2.544445398903861,Optimal
2,18,90,4.0,0.0,3781,2.634503640375708,Optimal
3,18,90,4.0,0.0,1145,5.0484712344734,Optimal
4,18,90,4.0,0.0,5823,4.028017832487545,Optimal
5,18,90,4.0,0.0,9993,3.9916266624466394,Optimal
6,18,90,4.0,0.0,145,3.662205424215966,Optimal
7,18,90,4.0,0.0,921,4.62555889684786,Optimal
8,18,90,4.0,0.0,13949,2.0434239910951466,Time limit reached
9,18,90,4.0,0.0,97,4.705113350923109,Optimal
10,18,90,4.0,0.0,969,2.1813119900542137,Optimal
1,19,95,4.0,0.0,997,2.7223254089376634,Optimal
2,19,95,4.0,0.0,597,2.805632801566478,Optimal
3,19,95,4.0,0.0,1133,5.181122353748586,Optimal
4,19,95,4.0,0.0,1083,3.936157720561242,Optimal
5,19,95,4.0,0.0,13249,4.17815837660302,Time limit reached
6,19,95,4.0,0.0,285,3.5884576709017004,Optimal
7,19,95,4.0,0.0,2215,5.093560174308796,Optimal
8,19,95,4.0,0.0,14081,2.146999885162984,Time limit reached
9,19,95,4.0,0.0,249,5.320567139853354,Optimal
10,19,95,4.0,0.0,205,2.151758800345986,Optimal
1,20,100,4.0,0.0,909,2.654497077526104,Optimal
2,20,100,4.0,0.0,4475,3.119135402161448,Optimal
3,20,100,4.0,0.0,1497,5.18799568090315,Optimal
4,20,100,4.0,0.0,11123,4.25200927949073,Optimal
5,20,100,4.0,0.0,3833,4.168129492545513,Optimal
6,20,100,4.0,0.0,59,3.730429106425254,Optimal
7,20,100,4.0,0.0,3361,5.183349411713772,Optimal
8,20,100,4.0,0.0,13487,2.469214409101865,Time limit reached
9,20,100,4.0,0.0,67,5.098482197066141,Optimal
10,20,100,4.0,0.0,867,2.2411733341169056,Optimal
1,21,105,5.0,0.0,1625,2.8240247267804635,Optimal
2,21,105,5.0,0.0,1031,3.0547435036813853,Optimal
3,21,105,5.0,0.0,9475,5.9174275589461285,Optimal
4,21,105,5.0,0.0,4337,4.404086849545638,Optimal
5,21,105,5.0,0.0,14393,4.320498970191255,Time limit reached
6,21,105,5.0,0.0,85,3.4372781042718277,Optimal
7,21,105,5.0,0.0,845,5.125221020979998,Optimal
8,21,105,5.0,0.0,19099,Inf,Time limit reached
9,21,105,5.0,0.0,129,4.948289757035164,Optimal
10,21,105,5.0,0.0,1245,1.8622357484592746,Optimal
1,22,110,5.0,0.0,1793,2.8331490094595435,Optimal
2,22,110,5.0,0.0,7485,3.245577445196273,Optimal
3,22,110,5.0,0.0,4595,5.872039071581965,Optimal
4,22,110,5.0,0.0,5321,4.397488376187355,Optimal
5,22,110,5.0,0.0,13157,4.4499291477798515,Time limit reached
6,22,110,5.0,0.0,413,3.6122977595204873,Optimal
7,22,110,5.0,0.0,2665,5.328570717410742,Optimal
8,22,110,5.0,0.0,19113,Inf,Time limit reached
9,22,110,5.0,0.0,591,5.3574468930048775,Optimal
10,22,110,5.0,0.0,2809,2.0931151361053244,Optimal
1,23,115,5.0,0.0,1019,3.0092533413158704,Optimal
2,23,115,5.0,0.0,7557,3.3639532917342936,Optimal
3,23,115,5.0,0.0,7603,6.150082562148511,Optimal
4,23,115,5.0,0.0,16209,4.631358551083521,Optimal
5,23,115,5.0,0.0,11509,4.260631779637979,Optimal
6,23,115,5.0,0.0,795,3.678036756206267,Optimal
7,23,115,5.0,0.0,2037,5.131100167240816,Optimal
8,23,115,5.0,0.0,17803,Inf,Time limit reached
