seed,num_v,solution,termination,time
1,4,-8731.998430216197,LOCALLY_SOLVED,14.451019048690796
1,5,-12164.174506409388,LOCALLY_SOLVED,7.8130059242248535
1,6,-19055.555094058895,LOCALLY_SOLVED,8.203275918960571
1,7,-18525.808869664503,LOCALLY_SOLVED,8.884851932525635
1,8,-10737.565859791352,LOCALLY_SOLVED,9.525851011276245
2,4,-10640.60997750322,LOCALLY_SOLVED,9.15329909324646
2,5,12342.863873538061,LOCALLY_SOLVED,11.02883505821228
2,6,-21661.08218887372,LOCALLY_SOLVED,14.87946105003357
2,7,-5114.942100596718,LOCALLY_SOLVED,10.841947078704834
2,8,-12844.878154576907,LOCALLY_SOLVED,8.135122060775757
3,4,-8733.371498838405,LOCALLY_SOLVED,8.291553974151611
3,5,-25842.9029491067,LOCALLY_SOLVED,8.132985830307007
3,6,12605.054860879744,LOCALLY_SOLVED,8.78728985786438
3,7,-40220.7475551962,LOCALLY_SOLVED,8.817730188369751
3,8,24729.915103547388,LOCALLY_SOLVED,11.909629106521606
