lmo_calls,active_set_size,discarded_set_size
[29],[5],[2]
"[22, 16]","[7, 8]","[2, 6]"
"[22, 23, 17, 25]","[5, 2, 8, 5]","[6, 5, 1, 11]"
"[22, 16, 17, 21, 19, 22, 18, 21]","[5, 6, 7, 7, 6, 8, 8, 9]","[4, 3, 5, 4, 5, 6, 1, 4]"
"[21, 20, 20, 23, 20, 24, 16, 18, 20, 25, 18, 20, 21, 20, 20, 23]","[6, 7, 8, 7, 5, 4, 7, 10, 7, 4, 6, 6, 6, 6, 5, 4]","[6, 4, 5, 7, 4, 4, 4, 6, 7, 4, 9, 3, 6, 10, 7, 6]"
"[21, 21, 21, 19, 21, 24, 14, 25, 13, 22, 18, 24, 22, 22, 23, 24, 15, 16, 18, 16, 17, 21, 17, 23, 18, 20, 16, 15]","[5, 6, 9, 4, 5, 6, 7, 6, 6, 8, 5, 8, 8, 7, 3, 9, 7, 5, 7, 8, 7, 5, 5, 7, 6, 5, 7, 6]","[12, 3, 6, 3, 11, 4, 8, 4, 8, 1, 3, 3, 5, 6, 13, 2, 5, 2, 4, 3, 10, 3, 5, 5, 6, 7, 5, 5]"
"[23, 15, 20, 20, 15, 26, 16, 25, 21, 22, 20, 17, 21, 18, 13, 22, 21, 26, 18, 23, 20, 22, 18, 27, 19, 14, 17, 18, 18, 21, 20, 20, 23, 17, 16, 19, 23, 20, 16, 23, 24, 22, 19, 17, 19, 19, 16, 12, 19, 23, 11, 23]","[7, 4, 5, 6, 5, 6, 4, 6, 6, 9, 9, 4, 8, 4, 4, 7, 5, 6, 4, 7, 7, 8, 6, 8, 6, 5, 6, 7, 3, 4, 9, 6, 8, 5, 4, 7, 9, 10, 5, 8, 9, 9, 5, 4, 6, 6, 6, 8, 6, 5, 7, 8]","[3, 3, 2, 6, 4, 3, 8, 2, 8, 6, 8, 4, 6, 4, 5, 3, 5, 5, 13, 9, 7, 3, 7, 4, 7, 4, 8, 5, 8, 1, 8, 4, 7, 2, 4, 2, 6, 6, 6, 7, 4, 6, 5, 4, 3, 7, 7, 6, 5, 5, 6, 2]"
"[18, 20, 19, 20, 21, 16, 12, 21, 20, 15, 13, 17, 15, 18, 13, 16, 18, 22, 15, 16, 17, 23, 20, 17, 18, 19, 19, 11, 21, 21, 22, 19, 19, 18, 18, 16, 19, 20, 9, 22, 19, 18, 10, 23, 20, 22, 6, 28, 23, 25, 16, 21, 17, 19, 14, 21, 17, 13, 20, 16, 22, 17, 16, 20, 15, 19, 15, 16, 19, 20, 19, 17, 15, 19, 16, 13, 6, 18, 15, 10]","[3, 6, 4, 6, 4, 4, 6, 4, 9, 5, 5, 5, 6, 6, 8, 5, 3, 7, 7, 7, 7, 8, 4, 5, 7, 8, 7, 6, 6, 6, 7, 9, 7, 3, 6, 5, 7, 8, 9, 5, 5, 6, 5, 9, 8, 9, 7, 8, 6, 10, 5, 6, 5, 6, 5, 7, 7, 2, 7, 7, 9, 5, 6, 5, 6, 5, 5, 6, 7, 5, 5, 5, 4, 4, 7, 6, 9, 4, 6, 5]","[9, 6, 4, 3, 6, 4, 9, 1, 4, 4, 4, 2, 5, 4, 8, 4, 8, 3, 6, 6, 5, 2, 7, 2, 5, 4, 4, 5, 6, 5, 4, 4, 4, 5, 7, 1, 5, 6, 7, 6, 13, 9, 4, 2, 5, 5, 8, 2, 4, 6, 7, 1, 8, 4, 3, 5, 7, 2, 6, 7, 9, 1, 7, 5, 6, 7, 3, 1, 3, 4, 5, 3, 4, 3, 7, 6, 2, 2, 6, 4]"
"[21, 20, 15, 20, 9, 14, 17, 17, 22, 22, 20, 22, 16, 24, 22, 16, 21, 23, 16, 17, 21, 16, 13, 20, 16, 20, 15, 15, 13, 22, 21, 17, 15, 19, 26, 15, 18, 27, 17, 23, 10, 21, 17, 16, 10, 23, 14, 20, 18, 18, 21, 19, 10, 22, 17, 21, 12, 19, 12, 15, 10, 23, 15, 18, 19, 18, 18, 20, 17, 16, 9, 21, 19, 21, 17, 23, 19, 18, 17, 6, 17, 17, 18, 18, 15, 16, 14, 20, 19, 18, 19, 23, 19, 19, 16, 16, 15, 17, 18, 12, 19, 5, 12, 19, 14, 14]","[6, 4, 6, 7, 7, 3, 5, 5, 8, 5, 3, 7, 4, 6, 5, 4, 7, 7, 5, 4, 6, 6, 4, 10, 4, 5, 4, 4, 10, 2, 7, 6, 4, 4, 9, 4, 5, 10, 6, 7, 8, 6, 4, 3, 4, 3, 6, 5, 4, 5, 4, 2, 6, 6, 7, 4, 5, 8, 6, 4, 7, 2, 5, 9, 6, 5, 7, 5, 5, 7, 5, 6, 7, 3, 4, 3, 4, 5, 4, 6, 4, 5, 8, 6, 4, 3, 4, 3, 6, 5, 6, 4, 7, 8, 8, 4, 5, 10, 9, 7, 5, 3, 6, 3, 7, 7]","[5, 1, 4, 2, 7, 3, 5, 5, 8, 1, 3, 4, 7, 3, 6, 4, 5, 1, 7, 5, 6, 3, 1, 3, 4, 3, 9, 3, 12, 1, 6, 3, 5, 5, 3, 8, 9, 5, 4, 4, 7, 2, 4, 8, 4, 2, 3, 4, 6, 4, 5, 1, 7, 2, 8, 2, 6, 6, 7, 1, 6, 5, 3, 4, 3, 4, 5, 2, 4, 2, 5, 6, 6, 0, 4, 1, 3, 10, 4, 6, 3, 5, 5, 2, 7, 5, 4, 5, 5, 2, 4, 3, 6, 4, 4, 6, 7, 3, 3, 8, 2, 4, 5, 1, 4, 2]"
"[19, 15, 17, 25, 15, 16, 18, 17, 12, 25, 20, 15, 15, 11, 21, 24, 13, 22, 17, 24, 18, 16, 21, 21, 20, 18, 20, 21, 15, 21, 19, 21, 14, 15, 19, 20, 22, 18, 17, 22, 27, 19, 12, 22, 9, 14, 16, 23, 15, 17, 10, 16, 18, 14, 17, 15, 15, 16, 16, 12, 17, 20, 14, 17, 13, 24, 13, 20, 16, 19, 19, 19, 19, 24, 20, 20, 20, 20, 16, 18, 7, 17, 17, 20, 16, 19, 15, 17, 19, 17, 14, 18, 17, 17, 22, 19, 25, 10, 18, 23, 11, 19, 11, 14, 16, 17, 7, 14, 9, 19, 5, 13, 16, 6, 7, 19, 5, 12, 9, 19, 19, 5, 8, 11, 16, 12, 9, 16, 13, 11, 7, 11, 19, 10, 13, 8, 14, 9]","[4, 8, 4, 5, 5, 3, 4, 6, 3, 7, 5, 8, 3, 5, 7, 9, 3, 10, 4, 10, 6, 5, 5, 8, 4, 8, 5, 5, 5, 3, 6, 2, 5, 4, 6, 8, 5, 7, 6, 4, 5, 8, 4, 3, 7, 4, 5, 4, 3, 5, 4, 5, 8, 7, 3, 6, 6, 3, 6, 5, 7, 3, 3, 5, 3, 4, 7, 7, 7, 3, 8, 6, 6, 4, 5, 8, 3, 5, 4, 5, 8, 7, 4, 5, 7, 3, 2, 3, 4, 4, 3, 5, 6, 6, 7, 5, 5, 8, 6, 6, 3, 6, 9, 7, 3, 1, 2, 5, 6, 3, 5, 9, 2, 6, 6, 6, 5, 8, 7, 7, 4, 5, 6, 4, 6, 7, 7, 5, 9, 7, 8, 10, 6, 7, 7, 5, 9, 6]","[3, 6, 6, 3, 2, 3, 3, 2, 3, 6, 3, 6, 6, 4, 6, 9, 1, 5, 8, 3, 2, 1, 2, 9, 2, 3, 3, 6, 5, 5, 5, 8, 1, 1, 2, 6, 5, 2, 3, 0, 5, 3, 9, 3, 8, 6, 6, 4, 1, 2, 6, 1, 6, 7, 3, 4, 3, 1, 4, 4, 5, 3, 4, 8, 7, 4, 3, 2, 5, 3, 4, 6, 2, 2, 3, 1, 4, 5, 5, 3, 5, 5, 2, 7, 4, 4, 9, 0, 3, 3, 2, 2, 1, 3, 2, 4, 6, 4, 5, 2, 2, 3, 6, 6, 1, 0, 3, 5, 9, 1, 4, 8, 5, 8, 6, 0, 3, 5, 3, 4, 8, 4, 8, 2, 8, 2, 4, 5, 7, 4, 4, 3, 4, 3, 5, 4, 8, 4]"
