seed;dimension;var_A;p;k;M;time;x;solution;dual_gap;rel_dual_gap;termination;ncalls
1;5;1;25;5.0;0.1;13.454;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03902219572137625, 0.0, -0.04172087334825473, 0.0, 0.0, 0.0, 0.0, -0.0348106137436744, 0.0, -0.03680090334466673, 0.04878191993291161, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.6538972464232773;0.0064443751515302905;0.00995342740371519;OPTIMAL;8414
1;5;5;25;5.0;0.1;8.155;[0.0, 0.0, 0.0, -0.06890922374256422, 0.0, 0.0, -0.07829737091190014, 0.0, -0.0820763049936808, 0.0, 0.0, 0.0, 0.0, -0.062352098625464314, 0.0, 0.0, 0.09637501751110733, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.350721619995531;0.0033519277240228185;0.009649453589643949;OPTIMAL;4959
1;5;1;25;5.0;1.0;137.975;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.039022223784577405, 0.0, -0.041720874177970706, 0.0, 0.0, 0.0, 0.0, -0.034810612102491804, 0.0, -0.03680092964682128, 0.04878196158854677, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.6538972464232607;0.006470316671074894;0.009993894868647992;OPTIMAL;82172
1;5;5;25;5.0;1.0;223.506;[0.0, 0.0, 0.0, -0.06890921885771993, 0.0, 0.0, -0.07829742091197671, 0.0, -0.08207629080352496, 0.0, 0.0, 0.0, 0.0, -0.062352064152399314, 0.0, 0.0, 0.09637503156303573, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.3507216199955125;0.0034151739821956517;0.009833315855199252;OPTIMAL;120020
2;5;1;25;5.0;0.1;0.046;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, 0.0, 0.0, 0.1, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.5150083111257999;0.004606227464038604;0.00902470348669483;OPTIMAL;25
2;5;5;25;5.0;0.1;0.169;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1, -0.1, 0.0, 0.0, 0.1, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.13744112423431368;0.0002781624293422269;0.002027970420598959;OPTIMAL;103
2;5;1;25;5.0;1.0;21.951;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.3829619179128163, -0.33097394130221447, 0.0, 0.0, 0.26139559946006696, 0.27509100146808585, 0.3334008934399655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.3660217199680992;0.003613085428743834;0.009969644992968497;OPTIMAL;12552
2;5;5;25;5.0;1.0;116.22;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22326505437512809, -0.18064805685916022, 0.0, 0.0, 0.12558680352884735, 0.16282296391624332, 0.2075438623755032, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.06958437127924239;0.0006855491174212053;0.009950084717138862;OPTIMAL;56431
3;5;1;25;5.0;0.1;2.433;[0.0, 0.0, 0.0, -0.03811564136201602, -0.03254077118440529, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.047904325422089195, 0.0, 0.0, 0.04902408803644674, 0.0, 0.031109197450968084, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0];0.6548478135532778;0.006332857604089859;0.009765168167665275;OPTIMAL;1510
3;5;5;25;5.0;0.1;4.189;[0.0, 0.0, 0.0, -0.07055522145567122, -0.06746613438086863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.06909737037893585, 0.0, 0.07020097849779741, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0];0.361383323486842;0.0035281646450188164;0.009859197381525839;OPTIMAL;2507
3;5;1;25;5.0;1.0;15.782;[0.0, 0.0, 0.0, -0.03811571384959197, -0.03254077398911894, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04790436256241357, 0.0, 0.0, 0.049024121151692586, 0.0, 0.031109216556126182, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0];0.6548478135532408;0.0064614465769170515;0.009965426335302629;OPTIMAL;9511
3;5;5;25;5.0;1.0;69.938;[0.0, 0.0, 0.0, -0.07055034605182112, -0.06736340508016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10090145422205968, 0.0, 0.0, 0.06894320128337561, 0.0, 0.07014576111528623, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0];0.36137829454148607;0.003511878490615794;0.009813378213496806;OPTIMAL;38696
1;10;1;50;10.0;0.1;130.304;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06918644071198293, 0.0, 0.0, 0.0, -0.08391408501732164, -0.07597840763711583, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1, 0.0, 0.0, -0.06280931653294682, 0.0, -0.08005449711927229, 0.0, 0.07212704734823214, 0.0, 0.0846949558761621, 0.06018752843582144, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09382233962633985, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.5534453296523397;0.005474637508948388;0.009990748752518685;OPTIMAL;53589
1;10;5;50;10.0;0.1;552.953;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.08209326997183554, 0.0, 0.0, 0.0776300689800777, -0.06104311094414676, 0.0, 0.0, -0.07617035349084238, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.10000000000000002, 0.0, 0.0, -0.0795116439630864, 0.0, -0.06801224063942889, 0.0, 0.08871833116239887, 0.0, 0.07415842706410201, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07947760709555134, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.17837869371654608;0.0017650815477101844;0.009994028920165189;OPTIMAL;199037
1;10;1;50;10.0;1.0;1800.28;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06679625682532558, 0.0, 0.06827816133421324, 0.0, 0.0, 0.0, -0.07938135482875278, -0.07716072112594852, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11613590435133972, 0.0, 0.0, 0.0, 0.0, -0.08021823870896244, 0.0, 0.07248586847082938, 0.0, 0.08198277909209756, 0.059966914772955404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09156070027596061, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.5520229984934809;0.032591601185249286;0.06274476543802254;Time limit reached;405786
1;10;5;50;10.0;1.0;1800.256;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07638852258641958, 0.0, 0.0, 0.0, 0.0, 0.0, -0.050612227953414836, -0.04731219139313035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06293650296376839, 0.0, -0.12731859234066212, 0.0, 0.0, -0.08859083815547329, 0.0, -0.05413698483501188, 0.0, 0.11065727608371155, 0.0, 0.06751688547414285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05590856399303984, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.18822364152171495;0.045943606693677336;0.3229097234141506;Time limit reached;381742
2;10;1;50;10.0;0.1;0.019;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1, 0.0, 0.1, 0.1, -0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1, 0.0, 0.0, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, 0.0, 0.0, -0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0];0.4397914264701337;0.005995646430049573;0.013821357205216602;OPTIMAL;6
2;10;5;50;10.0;0.1;3.161;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1, 0.0, 0.1, 0.1, -0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1, 0.0, 0.0, -0.1, 0.0, 0.0, 0.0, 0.0, -0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0];0.06446303612227391;0.0005933266652312641;0.009289640899812178;OPTIMAL;1331
2;10;1;50;10.0;1.0;1800.122;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4586848005863462, 0.0, 0.35278429698127456, 0.23822157679074923, -0.32510773613765054, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18664285021627935, 0.0, 0.0, 0.0, 0.0, 0.0, -0.3770180907611693, 0.0, 0.0, 0.0, 0.0, -0.36099740636497035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.24654117642147094, 0.0, 0.0, -0.23692401890673265, 0.0, 0.0, 0.0, 0.0, -0.2690503053139973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0];0.24914722062432226;0.019113106571875177;0.08308813955967177;Time limit reached;511561
2;10;5;50;10.0;1.0;1800.078;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.20206960209886124, 0.0, 0.14820183200897002, 0.10735129620177652, -0.1699718805616752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09850622346933335, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19380022527114696, 0.0, 0.0, 0.0, 0.0, -0.17041119255203188, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.12487791655567758, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.11512382602596205, 0.0, 0.0, -0.08251678762032297, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0];0.03727474706199618;0.007390379904896244;0.2472991937907052;Time limit reached;472405
3;10;1;50;10.0;0.1;97.966;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03531471650289716, 0.03472595806101025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.025508216281076378, 0.0, 0.0, -0.0244641219464101, 0.0, 0.0, 0.0, 0.02137212411291732, -0.0267585868344866, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03599951966096312, 0.0, 0.0, 0.0, -0.03554298397033836, 0.0, 0.0, 0.0, 0.0, 0.048123243651810005, 0.03535128110719613, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0];0.6417043882144174;0.0063526565925271505;0.009998645280009617;OPTIMAL;35070
