seed,dimension,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,20,1.581,-2.788680801094718,0.01864180827945905,0.006684812500642262,OPTIMAL,1060
2,20,0.54,-2.802333641248399,0.010563697281136708,0.003769607275039076,OPTIMAL,266
3,20,1.062,-1.0930084722455629,0.009767933446556576,0.008936740834669436,OPTIMAL,811
4,20,1.367,-0.9606330568487316,1.402659291382946e-6,1.460140561875146e-6,OPTIMAL,1113
5,20,4.391,-0.6133478018418748,0.0009651994456225665,0.0015736576257778805,OPTIMAL,1735
6,20,0.507,0.16297348338544582,0.0006554019629042562,0.004037763120167331,OPTIMAL,338
7,20,0.402,-1.809585966009454,0.011802078990915232,0.006521977520051995,OPTIMAL,261
8,20,0.676,-4.583566352912145,0.02873877711445516,0.006269959874410049,OPTIMAL,590
9,20,1.478,-0.12499674696557123,3.008747845312243e-8,2.407060918266109e-7,OPTIMAL,1464
10,20,0.833,-0.06546891747606043,5.661448343463604e-8,8.647536207596204e-7,OPTIMAL,492
1,25,0.679,-0.056754710159236055,6.561672183380551e-8,1.1561458361729875e-6,OPTIMAL,342
2,25,0.819,-0.05242252403556785,6.919341394295841e-8,1.3199176349466077e-6,OPTIMAL,423
3,25,1.201,-0.3257666873980312,3.56118259881022e-8,1.0931696630045734e-7,OPTIMAL,494
4,25,1.353,-0.037834835755681195,7.808453078572697e-8,2.0638263448520977e-6,OPTIMAL,595
5,25,10.894,-8.811578502600085,0.053683740835865024,0.006092409075175832,OPTIMAL,4349
6,25,2.588,-3.5946033711915666,0.016289511194718997,0.00453165746331541,OPTIMAL,1036
7,25,1.108,-8.962461587246214,0.03504635493758812,0.0039103492490790565,OPTIMAL,594
8,25,2.227,-0.864354986409587,0.00010446858558266214,0.00012086305652797867,OPTIMAL,607
9,25,7.775,-6.706877953427845,0.046498292775141614,0.006932926631142381,OPTIMAL,8391
10,25,5.267,-5.913370910565777,0.032702446243003,0.005530254526157249,OPTIMAL,904
1,30,2.203,-0.20202033795867702,0.001631795144581366,0.008077380530445145,OPTIMAL,974
2,30,2.293,-0.4074096577413478,1.4167644593610085e-6,3.4774935557872068e-6,OPTIMAL,681
3,30,1.344,-0.3347694613150489,0.0010684962976333923,0.003191737661601811,OPTIMAL,512
4,30,2.797,-12.104259189208154,0.08700960429887594,0.007188346096921938,OPTIMAL,1528
5,30,2.111,-0.22151766659027422,5.414193737784956e-8,2.4441363170366054e-7,OPTIMAL,951
6,30,8.018,-0.6400503748375294,0.0030963941488266755,0.0048377350761065726,OPTIMAL,1529
7,30,2.523,-0.03311454345697207,7.819192771041372e-8,2.3612564011946506e-6,OPTIMAL,761
8,30,1.25,-0.05118131331472758,7.936364865290813e-8,1.5506372055144389e-6,OPTIMAL,626
9,30,1.014,0.14911540707074422,0.0009178963681336638,0.0061937367488959765,OPTIMAL,566
10,30,20.622,-9.893673841143926,0.03822576451558568,0.0038636572348503804,OPTIMAL,5551
1,35,2.11,-0.12485151528748462,9.296142511328043e-8,7.445758659734832e-7,OPTIMAL,683
2,35,1.225,-18.56947398391409,0.09321988484196808,0.005020060607140532,OPTIMAL,350
3,35,3.362,-0.3413141329711157,0.0029108182975095542,0.0085282677050935,OPTIMAL,1516
4,35,1.78,-0.21623391227369942,0.0013883585383588637,0.006420632747936134,OPTIMAL,747
5,35,16.223,-1.476281671006701,0.005200888435671125,0.003522964850010332,OPTIMAL,4128
6,35,21.348,-1.4181434416258618,0.003921365996657045,0.0027651405926619865,OPTIMAL,4610
7,35,1.53,0.2729285836553367,7.561179460324752e-8,2.7703883022430427e-7,OPTIMAL,788
8,35,2.765,-0.22847670991425528,0.0021903380178054377,0.009586701500680077,OPTIMAL,916
9,35,3.118,-0.652958156787355,2.5639499572349678e-6,3.92666808827377e-6,OPTIMAL,664
10,35,3.612,-0.34025731971304984,1.1581125285986538e-6,3.403637369433604e-6,OPTIMAL,840
1,40,6.294,-0.27787309143304173,0.0011615432456762997,0.004180121362907115,OPTIMAL,1450
2,40,5.887,-13.670999365923857,0.01471521952079513,0.0010763821376127106,OPTIMAL,1239
3,40,8.142,-0.3340617088301927,0.003258212062279553,0.009753323940325465,OPTIMAL,1442
