dimension,time_boscia,seed,p,k,M,varA,termination_boscia,solution_boscia,termination_afw,time_afw,termination_no_ws,time_no_ws,termination_no_as,time_no_as,termination_no_ss,time_no_ss,termination_ipopt,time_ipopt,solution_ipopt,solution_scip,termination_scip,time_scip,optimal_scip,optimal_ipopt,optimal_boscia
15,1800.492,3,75,15.0,0.1,1,0,0.6931471805599453,0,1800.007,0,1800.011,0,1800.07,0,1800.598,0,1800.07,Inf,0.6859561689803714,1,0.48693,1,0,0
15,1800.057,3,75,15.0,0.1,5,0,0.6931471805599453,0,1800.077,0,1800.048,0,1800.011,0,1800.314,0,1800.044,Inf,0.593716778873702,1,0.6549539999999999,1,0,0
15,1801.194,3,75,15.0,1.0,1,0,0.6445749444342167,0,1801.066,0,1800.284,0,1800.044,0,1802.108,0,1800.046,0.6791495908854592,0.6859560712287436,1,0.522829,0,0,1
15,1803.62,3,75,15.0,1.0,5,0,0.32187527047884956,0,1806.571,0,1803.8,0,1800.885,0,1803.137,0,1800.002,0.5217497056060362,0.5937167609373267,1,0.511199,0,0,1
20,1801.324,1,100,20.0,0.1,1,0,0.6931471805599454,0,1800.23,0,1800.021,0,1800.169,0,1800.03,0,1800.21,Inf,0.662421691499305,1,1.531975,1,0,0
20,1800.577,1,100,20.0,0.1,5,0,0.6931471805599454,0,1801.352,0,1800.401,0,1800.905,0,1801.231,0,1800.278,Inf,0.41290085005751376,1,2.142317,1,0,0
20,1801.338,1,100,20.0,1.0,1,0,0.6537276159833064,0,1801.198,0,1800.465,0,1800.418,0,1801.456,0,1800.044,0.657571954137523,0.662421687369177,1,2.865329,0,1,1
20,1802.594,1,100,20.0,1.0,5,0,0.38868657074622914,0,1802.892,0,1800.252,0,1800.269,0,1804.601,0,1800.185,0.3861981951339416,0.4129006251929478,1,2.01373,0,1,1
20,1800.136,2,100,20.0,0.1,1,0,0.5096096544687925,0,1800.15,0,1800.357,0,1800.199,0,1800.327,0,1800.432,Inf,0.6032368797971376,1,2.179287,0,0,1
20,1800.508,2,100,20.0,0.1,5,0,0.14141636735979926,0,1800.335,0,1800.179,0,1800.503,0,1800.333,0,1800.145,Inf,0.29175822135273544,1,0.887223,0,0,1
20,1800.404,2,100,20.0,1.0,1,0,0.6931471805599454,0,1801.09,0,1800.02,0,1800.22,0,1802.699,0,1800.044,Inf,0.5962568968597269,1,1.0678320000000001,1,0,0
20,1802.466,2,100,20.0,1.0,5,0,0.6931471805599454,0,1804.83,0,1802.534,0,1801.993,0,1803.193,0,1800.056,Inf,0.25635003847645943,1,1.3906779999999999,1,0,0
20,1800.074,3,100,20.0,0.1,1,0,0.6931471805599454,0,1800.634,0,1800.824,0,1800.034,0,1800.73,0,1800.258,Inf,0.6834561758274,1,2.931714,1,0,0
20,1800.288,3,100,20.0,0.1,5,0,0.6931471805599454,0,1800.224,0,1800.926,0,1800.87,0,1800.25,0,1800.238,Inf,0.5560156441912377,1,2.576573,1,0,0
20,1803.332,3,100,20.0,1.0,1,0,0.6486733998238102,0,1808.588,0,1800.492,0,1800.245,0,1802.065,0,1800.056,0.6682109115058801,0.6834561211544844,1,1.831262,0,0,1
20,1803.344,3,100,20.0,1.0,5,0,0.33471316146651486,0,1801.104,0,1800.211,0,1800.343,0,1804.018,0,1800.239,0.4368410743472585,0.5560157483112032,1,1.136736,0,0,1
