seed;dimension;var_A;p;k;M;time;solution;dual_gap;rel_dual_gap;termination;ncalls
1;5;1;25;5.0;0.1;21.475;0.653897246423264;0.006380667113862204;0.009854059830664723;OPTIMAL;10233
1;5;5;25;5.0;0.1;10.358;0.3507216199955216;0.0033643969813015873;0.009685697484873825;OPTIMAL;5276
1;5;1;25;5.0;1.0;255.109;0.6538972464232611;0.0064664702354484405;0.009987894417877638;OPTIMAL;128983
1;5;5;25;5.0;1.0;401.492;0.35072161999551266;0.003461577840222496;0.009968258423105655;OPTIMAL;187373
2;5;1;25;5.0;0.1;0.037;0.5150083111257999;0.0035353865824147013;0.0069121676099881514;OPTIMAL;14
2;5;5;25;5.0;0.1;0.217;0.13744112423431368;0.0006193921565108007;0.004527001281920529;OPTIMAL;87
2;5;1;25;5.0;1.0;33.062;0.3660217199680986;0.0036184082247150418;0.009984478914688349;OPTIMAL;17391
2;5;5;25;5.0;1.0;127.786;0.06958437127924136;0.000675373343273819;0.009800945645754386;OPTIMAL;55788
3;5;1;25;5.0;0.1;2.733;0.654847813553246;0.0064280967135343925;0.009913481263129771;OPTIMAL;1580
3;5;5;25;5.0;0.1;4.899;0.36138332348683605;0.003380632125702776;0.009443035505821328;OPTIMAL;2730
3;5;1;25;5.0;1.0;44.927;0.6548478135532408;0.006472080850346118;0.009981991187988863;OPTIMAL;22590
3;5;5;25;5.0;1.0;128.33;0.3613782945414862;0.003534474902680107;0.009877143906656461;OPTIMAL;61943
1;10;1;50;10.0;0.1;253.913;0.5524563901105974;0.003073570788416191;0.0055945884733132134;OPTIMAL;86084
1;10;5;50;10.0;0.1;663.377;0.1783786937164944;0.0017591746191439883;0.009960250306051133;OPTIMAL;203127
1;10;1;50;10.0;1.0;1800.718;0.5520229984934812;0.03604799361587818;0.06986383695936842;Time limit reached;360173
1;10;5;50;10.0;1.0;1800.565;0.18805076718664826;0.04778089850755757;0.3406355117995489;Time limit reached;322877
2;10;1;50;10.0;0.1;0.016;0.4397914264701337;0.005995646430049573;0.013821357205216602;OPTIMAL;4
2;10;5;50;10.0;0.1;4.064;0.06446303612227391;0.0006337436437065802;0.009928727377314723;OPTIMAL;1333
2;10;1;50;10.0;1.0;1800.383;0.24914722062431882;0.018531394450038985;0.0803561262791849;Time limit reached;445724
2;10;5;50;10.0;1.0;1800.556;0.03734936127333269;0.0083593487703824;0.28835271352613856;Time limit reached;405246
3;10;1;50;10.0;0.1;87.142;0.6417043882144098;0.006349073311690545;0.009992949083400156;OPTIMAL;28011
3;10;5;50;10.0;0.1;239.301;0.30951926984599853;0.0030598870337338324;0.009984641376140545;OPTIMAL;67193
3;10;1;50;10.0;1.0;1800.579;0.6417043882144046;0.011264167806406822;0.01786714654581693;Time limit reached;357987
3;10;5;50;10.0;1.0;1800.276;0.3122603352672507;0.03087302786948065;0.10971720137269174;Time limit reached;331212
1;15;1;75;15.0;0.1;1800.163;0.5772115960594669;0.0214034516228091;0.0385087045539836;Time limit reached;456360
1;15;5;75;15.0;0.1;1800.321;0.20905629148602778;0.028870680057017206;0.16022744451152615;Time limit reached;391110
1;15;1;75;15.0;1.0;1801.114;0.5763401692151163;0.04539271724760019;0.08549380372650768;Time limit reached;262922
1;15;5;75;15.0;1.0;1801.014;0.2339045960985135;0.08220830797702788;0.5419269581019118;Time limit reached;222093
2;15;1;75;15.0;0.1;0.437;0.42903579892727406;0.004223853318342685;0.009942877929875901;OPTIMAL;151
2;15;5;75;15.0;0.1;585.278;0.06590296722974101;0.0006518244284613728;0.009989471455641538;OPTIMAL;165785
2;15;1;75;15.0;1.0;1800.118;0.6931471805599453;0.41145427349455177;1.4606483272190975;Time limit reached;312543
2;15;5;75;15.0;1.0;1801.229;0.06050552946342026;0.01738951747099521;0.40331924654929424;Time limit reached;296080
3;15;1;75;15.0;0.1;1800.067;0.6931471805599453;0.06332249437588289;0.10053987365839337;Time limit reached;354810
3;15;5;75;15.0;0.1;1800.136;0.6931471805599453;0.40970225629092916;1.4454386768347378;Time limit reached;324167
3;15;1;75;15.0;1.0;1800.918;0.6445749444342167;0.019014449870172867;0.03039586104845724;Time limit reached;259886
3;15;5;75;15.0;1.0;1802.104;0.32187527047884956;0.057240774086685375;0.21630125651441817;Time limit reached;204901
1;20;1;100;20.0;0.1;1800.738;0.6931471805599454;0.07099275830383511;0.11410793810063267;Time limit reached;256586
1;20;5;100;20.0;0.1;1800.297;0.6931471805599454;0.42474758387440065;1.5825194565103322;Time limit reached;235717
1;20;1;100;20.0;1.0;1802.497;0.6537276159833064;0.034064681066120595;0.05497292019035015;Time limit reached;167695
1;20;5;100;20.0;1.0;1801.829;0.38868657074622914;0.1312806717690696;0.5100142315725195;Time limit reached;173076
2;20;1;100;20.0;0.1;1800.276;0.5096096544687925;0.016898784166198;0.03429756716311078;Time limit reached;405395
2;20;5;100;20.0;0.1;1800.232;0.14141636735979926;0.02042163023728337;0.16878114472536931;Time limit reached;322898
2;20;1;100;20.0;1.0;1800.151;0.6931471805599454;0.23618162463677467;0.5168477614459058;Time limit reached;217303
2;20;5;100;20.0;1.0;1802.877;0.6931471805599454;0.5880782869194013;5.59707318258535;Time limit reached;158940
3;20;1;100;20.0;0.1;1800.651;0.6931471805599454;0.07300707031570075;0.11772673482924145;Time limit reached;279372
3;20;5;100;20.0;0.1;1800.46;0.6931471805599454;0.43474924387104735;1.6824795485672552;Time limit reached;232800
3;20;1;100;20.0;1.0;1804.486;0.6486733998238102;0.030945302596185442;0.05009534572746251;Time limit reached;154605
3;20;5;100;20.0;1.0;1802.802;0.33471316146651486;0.08648968447938196;0.3484347473058131;Time limit reached;118362
