seed,dimension,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,20,19.4,-2.485383514659386,0.020743381873077116,0.00834614929676957,OPTIMAL,11484
2,20,7.634,-1.8589182762517051,0.015856259099670256,0.008529831193893353,OPTIMAL,4936
3,20,8.53,0.8377493297643657,0.006794726172420162,0.008177012490271767,OPTIMAL,7012
4,20,4.586,-0.5047425605781184,0.0013676795873271974,0.0027096577426732045,OPTIMAL,4135
5,20,18.057,1.5453064884525718,0.015265748871381213,0.009977347972812686,OPTIMAL,10228
6,20,1.948,2.7747400884785094,0.012679344255526193,0.0045905378011855125,OPTIMAL,1964
7,20,6.137,-0.3751554803904189,0.0,0.0,OPTIMAL,5005
8,20,3.198,-4.171067075821629,0.038911799759852705,0.009328979623802322,OPTIMAL,2814
9,20,3.881,2.0907497426031947,0.014507373763306575,0.006987321895089083,OPTIMAL,2963
10,20,5.047,2.2414157654206948,0.01898001210736977,0.008540184830573106,OPTIMAL,4162
1,25,7.117,4.76260907095854,0.044401368050639434,0.0094106429488626,OPTIMAL,5102
2,25,8.918,5.658724117181837,0.02750212896709403,0.004883865176093508,OPTIMAL,4871
3,25,18.013,4.632954253479961,0.043874583024353875,0.009560649667256262,OPTIMAL,11002
4,25,13.446,5.277386746389526,0.04182458356113994,0.007988556388096674,OPTIMAL,7415
5,25,154.342,-7.964825509978137,0.07938761280265538,0.009967275830864158,OPTIMAL,37433
6,25,32.517,-1.6475345946182056,0.01635411592032998,0.009926417310903162,OPTIMAL,11508
7,25,52.014,-8.448290163133155,0.08390228932616495,0.009931274578174375,OPTIMAL,14717
8,25,48.446,3.1744625191736633,0.03138993227728415,0.009987021110536958,OPTIMAL,23509
9,25,37.297,-5.301943539218637,0.05233968747215911,0.009871792689794007,OPTIMAL,14752
10,25,48.704,-3.526877058726355,0.0186305509616429,0.005282449785298403,OPTIMAL,11484
1,30,40.694,3.940864615749264,0.035477024115133204,0.009084123734896326,OPTIMAL,15131
2,30,20.698,2.937179104729881,0.014394695623550113,0.004924993981321882,OPTIMAL,9364
3,30,20.677,2.9106751048463555,0.026745186871213633,0.009273868516885424,OPTIMAL,10152
4,30,45.102,-11.804488808745113,0.11627607262975559,0.009850157386198278,OPTIMAL,11732
5,30,28.365,3.345854180802773,0.030108661233091638,0.00908051026696378,OPTIMAL,12955
6,30,226.71,2.4759792397156923,0.02006091975348845,0.00816839859470456,OPTIMAL,67740
7,30,21.477,7.140373736095056,0.045545262423762445,0.006419501555644314,OPTIMAL,9145
8,30,15.167,6.684588283277687,0.03580153516537976,0.005384671899056526,OPTIMAL,6931
9,30,10.197,5.841953620863588,0.04033376414489176,0.006952155629118363,OPTIMAL,5579
10,30,1195.552,-7.6401426949017095,0.07635183481620711,0.009993509004374608,OPTIMAL,244029
1,35,41.3,5.444620365578516,0.05064213517036098,0.00938864285452056,OPTIMAL,13816
2,35,9.435,-18.281004205875192,0.17902873157667898,0.009793156303697053,OPTIMAL,3333
3,35,36.756,5.909660421176588,0.02707383503822758,0.004602369152036616,OPTIMAL,12717
4,35,23.466,6.05604144129502,0.048887656113775435,0.008138239482793668,OPTIMAL,10175
5,35,200.912,-0.20620544007426833,0.001159421306288877,0.005622651399843244,OPTIMAL,56168
6,35,663.656,1.9432477596768276,0.019161844253597238,0.009958933798121128,OPTIMAL,172743
7,35,15.858,9.784495545682114,0.07811032507465754,0.008047313526030563,OPTIMAL,8396
8,35,17.121,5.495979181037755,0.046329690781591104,0.008501407450961283,OPTIMAL,7777
9,35,70.45,5.208177299597729,0.043980105120182245,0.00851634890457192,OPTIMAL,19564
10,35,86.175,4.1657440118389,0.026265937643199955,0.006345229319351673,OPTIMAL,21412
1,40,92.532,4.38234345670403,0.0395782374677367,0.009113602847426511,OPTIMAL,29364
2,40,395.096,-12.884479884908464,0.12639585642767592,0.009809930828152624,OPTIMAL,76989
3,40,181.536,5.363957302161263,0.03901325380712706,0.007326509622046732,OPTIMAL,39287
4,40,235.025,1.9679886305310799,0.01945612781345707,0.00998501579333245,OPTIMAL,61771
5,40,71.252,3.5585423500323055,0.02500652362268685,0.007076912433089907,OPTIMAL,22150
6,40,1800.011,-10.757760900798802,0.24475910718647853,0.02275186346336293,Time limit reached,389901
7,40,71.086,8.359619028667614,0.08000885505065902,0.009663360154999554,OPTIMAL,19673
8,40,140.423,8.762599546052309,0.05654453477969845,0.006494851537979547,OPTIMAL,31433
9,40,61.979,8.862692105524477,0.08692440802393087,0.00990504888235454,OPTIMAL,18073
10,40,1684.353,-0.037663277414651475,0.00026663092982026626,0.007079334251366653,OPTIMAL,300284
1,45,210.275,9.570033809940176,0.09433841995694081,0.009955830793871448,OPTIMAL,46071
2,45,1800.283,-3.2463424538760233,0.7561143362567329,0.23291268465961065,Time limit reached,267973
3,45,20.227,11.720076285232857,0.1122515127862318,0.009670331434764768,OPTIMAL,7395
4,45,54.069,4.979779257194664,0.04001504247839094,0.008100597668038553,OPTIMAL,16118
5,45,636.769,8.155608577814819,0.07853916990631049,0.009723721060191752,OPTIMAL,132094
6,45,139.962,5.409900999267513,0.04205345376536762,0.007834323424592279,OPTIMAL,29308
7,45,1264.529,4.490579294280214,0.04171689780765764,0.009376980920051474,OPTIMAL,217283
8,45,835.324,2.4495974353436507,0.02374793575538714,0.009789533835226731,OPTIMAL,139279
9,45,157.885,6.966016480517553,0.06858614667875251,0.009943724453767776,OPTIMAL,34258
10,45,627.285,7.093204058679744,0.07002596171753517,0.009970694285514994,OPTIMAL,121538
1,50,190.023,7.593465317694221,0.058937660765010946,0.007822343144604199,OPTIMAL,37549
2,50,250.765,8.337330770955553,0.07551041905150946,0.009139683003892368,OPTIMAL,41744
3,50,122.028,5.822089526061514,0.05430426647889952,0.009415098523073177,OPTIMAL,28007
4,50,120.853,14.781250763390362,0.12497095786391732,0.008526785754785774,OPTIMAL,27674
5,50,250.325,4.195510221121479,0.03542460534943093,0.008515354879987648,OPTIMAL,58708
6,50,65.374,13.15108454302793,0.1204251657968527,0.00924167859128263,OPTIMAL,17326
7,50,89.841,9.798761816122004,0.06983246749418726,0.0071778162829434595,OPTIMAL,23554
8,50,658.813,12.973583773785073,0.12395847542081206,0.00964685526173217,OPTIMAL,117442
9,50,197.109,14.127326014252441,0.12187034999234037,0.008701634057029353,OPTIMAL,42773
10,50,1800.567,-2.1169019048943998,1.7762953553601628,0.8391014015591677,Time limit reached,332877
1,55,501.887,10.195430430955852,0.09942284943569035,0.00984773918134481,OPTIMAL,95489
2,55,87.74,13.98917134896694,0.12676589038387576,0.009144581058649329,OPTIMAL,22390
3,55,283.499,5.009319592747092,0.040931929055645355,0.008238473288783885,OPTIMAL,55550
4,55,134.012,15.182207790242831,0.1454790657576268,0.009674914565741587,OPTIMAL,27649
5,55,1800.037,-19.813544330292544,0.34038622897695703,0.017179471946195266,Time limit reached,493730
6,55,150.969,15.771997558258716,0.09897868209774963,0.0063152276456642665,OPTIMAL,31052
7,55,1800.216,2.819561511558552,3.628949735599683,Inf,Time limit reached,280201
8,55,127.493,11.720651719867956,0.09789094119535768,0.008422348447107722,OPTIMAL,25103
9,55,161.983,4.239576414587821,0.03817129732913749,0.00908536460155581,OPTIMAL,34366
10,55,404.423,4.809409336615266,0.04739423431595213,0.009952558590809188,OPTIMAL,77943
1,60,934.356,12.541279912026196,0.1120625321282116,0.009016056981146095,OPTIMAL,159227
2,60,295.305,17.12751223313866,0.15883216695553415,0.009360313609310762,OPTIMAL,53866
3,60,1800.313,5.093890691847028,14.720880217167105,Inf,Time limit reached,258793
4,60,333.905,12.67155870512001,0.12298571331779762,0.009800772836731498,OPTIMAL,64947
5,60,291.533,16.010124701340988,0.1536701860735299,0.009691333325843293,OPTIMAL,58323
6,60,218.016,14.453030528713139,0.11979616424154216,0.008357929633697057,OPTIMAL,37785
7,60,1800.708,1.4374051568507238,1.2323581499493772,6.01012503704722,Time limit reached,269352
8,60,216.135,16.004421353433937,0.12621199931676408,0.007948755209228784,OPTIMAL,42240
9,60,1800.143,2.630449077657331,1.8532107567828495,2.3843533019547687,Time limit reached,279275
10,60,1800.504,3.0369188353492333,1.0363146175057913,0.5180008160848977,Time limit reached,272060
1,65,375.442,9.812801297611847,0.09088967107278911,0.009348950552551494,OPTIMAL,67897
2,65,501.115,12.957355819404127,0.12111358007621043,0.009435283147363829,OPTIMAL,87403
3,65,479.156,16.481369165701874,0.15907623694460682,0.00974594915303474,OPTIMAL,77400
4,65,1800.141,-10.60622131772272,3.250368108092413,0.3064586350523473,Time limit reached,260557
5,65,215.524,17.059374319602092,0.15878513896745616,0.009395242809013929,OPTIMAL,39710
6,65,1800.423,2.5301831241712085,3.0122845175818815,Inf,Time limit reached,255896
7,65,432.752,11.208434893963382,0.10314854479769053,0.00928823819166444,OPTIMAL,73921
8,65,945.68,8.094092018473761,0.07959292512023985,0.009931116616663767,OPTIMAL,150449
9,65,677.326,12.93707637021087,0.12537319770997435,0.00978583378196554,OPTIMAL,113616
10,65,480.099,4.152470561796944,0.04098251626096072,0.00996780625580492,OPTIMAL,83277
1,70,544.523,16.60647948866525,0.16390443107173525,0.009968294534014661,OPTIMAL,100871
2,70,632.222,5.5940988333538835,0.05523627886254889,0.009972494951650151,OPTIMAL,115077
3,70,1800.979,15.73158746212867,2.2472955914415014,0.1666602601747879,Time limit reached,276842
4,70,1003.269,8.01793457360151,0.07839306870987706,0.009873752616769909,OPTIMAL,167472
5,70,1800.424,3.073472383350181,1.6934697332467779,1.2271496240386832,Time limit reached,266553
6,70,1786.113,3.1695761265559907,0.031226324573794262,0.009949918442511274,OPTIMAL,234319
7,70,1800.432,2.2133692982963638,0.9280636035293979,0.7220567117285369,Time limit reached,253755
8,70,1800.836,3.618535545339739,11.334026678320036,Inf,Time limit reached,253232
9,70,621.676,12.915087137614316,0.12484679353057437,0.00976109831965148,OPTIMAL,108661
10,70,935.639,19.231088159334806,0.17894710679762227,0.009392493279582968,OPTIMAL,143957
