seed,n0,m0,M,time,solution,termination,ncalls
1,1,10,20.0,0.758,1.5102422560781137,OPTIMAL,26
2,1,10,20.0,0.207,1.4363118414200506,OPTIMAL,26
3,1,10,20.0,0.114,2.944717429873703,OPTIMAL,12
1,1,11,20.0,0.22,2.1660811256359342,OPTIMAL,26
2,1,11,20.0,0.036,2.125720410615905,OPTIMAL,12
3,1,11,20.0,0.189,3.2284198363140932,OPTIMAL,27
1,1,12,20.0,0.04,1.5539807989609238,OPTIMAL,12
2,1,12,20.0,0.023,2.4708410735857025,OPTIMAL,12
3,1,12,20.0,0.186,4.132829020469459,OPTIMAL,25
1,1,13,20.0,0.033,2.466598334698848,OPTIMAL,12
3,1,13,20.0,0.098,4.003618615712255,OPTIMAL,10
1,1,14,20.0,0.174,2.7232961517591026,OPTIMAL,11
2,1,14,20.0,0.207,2.6180382131355033,OPTIMAL,23
3,1,14,20.0,0.139,3.2811856229360368,OPTIMAL,13
2,2,15,20.0,0.689,2.0154891960574037,OPTIMAL,38
3,2,15,20.0,0.395,2.230932592840376,OPTIMAL,41
2,2,16,20.0,0.417,1.8592895203059077,OPTIMAL,40
3,2,16,20.0,0.371,2.494245370159737,OPTIMAL,38
1,2,17,20.0,0.63,2.2499048474932133,OPTIMAL,58
2,2,17,20.0,0.637,3.052654560069786,OPTIMAL,62
3,2,17,20.0,0.613,2.071629534710282,OPTIMAL,64
2,2,18,20.0,0.307,3.6466275223026434,OPTIMAL,21
3,2,20,20.0,0.815,2.3725598893318143,OPTIMAL,470
1,2,21,20.0,0.887,3.338219049074265,OPTIMAL,42
2,2,21,20.0,0.606,3.2396344029340574,OPTIMAL,65
3,2,21,20.0,0.593,2.332905257435291,OPTIMAL,62
2,2,22,20.0,0.397,3.1430056387075314,OPTIMAL,37
1,2,23,20.0,0.623,2.9817146081568016,OPTIMAL,63
2,2,23,20.0,0.345,3.146771206940225,OPTIMAL,21
2,2,24,20.0,0.384,3.8191711241315476,OPTIMAL,38
3,2,24,20.0,0.371,2.9056944140803607,OPTIMAL,38
1,2,25,20.0,3.373,4.157938642630106,OPTIMAL,6510
2,3,26,20.0,6.795,3.0546236515407763,OPTIMAL,9317
2,3,27,20.0,1.291,4.167800426893324,OPTIMAL,107
3,3,27,20.0,3.781,2.4102429903822062,OPTIMAL,4359
1,3,28,20.0,2.069,1.9795416590211352,OPTIMAL,272
3,3,28,20.0,1.045,2.8591102419597325,OPTIMAL,92
1,3,29,20.0,6.955,2.3393668215039285,OPTIMAL,9463
2,3,29,20.0,1.366,3.190870952846968,OPTIMAL,89
3,3,29,20.0,1.655,3.123724285054937,OPTIMAL,111
2,3,30,20.0,1.326,3.225417244251225,OPTIMAL,105
1,3,31,20.0,2.753,3.4408239679842123,OPTIMAL,157
1,3,32,20.0,9.879,3.7927795295473903,OPTIMAL,13285
3,3,33,20.0,1.158,3.125114645758807,OPTIMAL,101
2,3,34,20.0,1.275,4.0902220688490605,OPTIMAL,124
1,4,36,20.0,3.084,3.018373777462557,OPTIMAL,208
2,4,36,20.0,3.82,3.6669208600063716,OPTIMAL,208
3,4,36,20.0,2.045,2.854639322348279,OPTIMAL,151
1,4,37,20.0,3.051,2.6227096866207216,OPTIMAL,220
2,4,37,20.0,2.8,3.9197412047088163,OPTIMAL,162
1,4,38,20.0,3.039,3.284045162898783,OPTIMAL,211
2,4,38,20.0,3.126,2.7102106683516833,OPTIMAL,265
2,4,39,20.0,2.319,2.8562167465385166,OPTIMAL,146
2,4,40,20.0,2.864,3.2717267757833524,OPTIMAL,214
3,4,40,20.0,3.594,3.1080330748135836,OPTIMAL,204
3,4,41,20.0,1.218,3.3292573939604306,OPTIMAL,101
3,4,42,20.0,2.54,2.3152763606134465,OPTIMAL,171
1,4,43,20.0,3.749,3.883389641371174,OPTIMAL,277
2,4,43,20.0,3.507,2.1480322634066376,OPTIMAL,261
2,4,44,20.0,3.401,2.1531475393921626,OPTIMAL,192
1,4,45,20.0,2.698,4.404149003863561,OPTIMAL,239
2,5,46,20.0,4.944,3.2191790604728117,OPTIMAL,304
1,5,47,20.0,6.812,3.396833600229316,OPTIMAL,468
2,5,48,20.0,5.134,4.508759980720558,OPTIMAL,291
1,5,49,20.0,9.417,3.8852195233946776,OPTIMAL,1203
1,5,50,20.0,5.108,3.7832568240600972,OPTIMAL,415
2,5,50,20.0,4.969,5.452331495095872,OPTIMAL,228
3,5,50,20.0,7.857,2.951593366334183,OPTIMAL,455
