seed,dimension,min_number_lower,adaptive_gap,iteration,time,memory,lb,ub,list_time,list_num_nodes,list_lmo_calls,active_set_size,discarded_set_size,node_level
30,40,Inf,0.8,91,5004.0,1463683744,1619.0171312929313,1731.0505722623268,195.0,3,49,18,7,1
30,40,Inf,0.8,91,5004.0,1463683744,1619.0171312929313,1731.0505722623268,335.0,5,63,17,13,2
30,40,Inf,0.8,91,5004.0,1463683744,1619.8971017604872,1731.0505722623268,502.0,7,97,7,3,2
30,40,Inf,0.8,91,5004.0,1463683744,1619.8971017604872,1731.0505722623268,580.0,9,113,10,8,3
30,40,Inf,0.8,91,5004.0,1463683744,1620.6238244812323,1731.0505722623268,691.0,11,146,10,3,3
30,40,Inf,0.8,91,5004.0,1463683744,1620.6238244812323,1731.0505722623268,1370.0,13,172,18,16,4
30,40,Inf,0.8,91,5004.0,1463683744,1631.3588741078593,1731.0505722623268,1491.0,15,191,8,7,4
30,40,Inf,0.8,91,5004.0,1463683744,1631.3588741078593,1731.0505722623268,1624.0,17,217,14,6,5
30,40,Inf,0.8,91,5004.0,1463683744,1639.5409769463408,1731.0505722623268,1784.0,19,244,14,6,5
30,40,Inf,0.8,91,5004.0,1463683744,1639.5409769463408,1731.0505722623268,1879.0,21,263,12,7,6
30,40,Inf,0.8,91,5004.0,1463683744,1640.4925004160816,1731.0505722623268,1984.0,23,295,4,1,6
30,40,Inf,0.8,91,5004.0,1463683744,1640.4925004160816,1731.0505722623268,2058.0,25,315,6,8,7
30,40,Inf,0.8,91,5004.0,1463683744,1655.2144788881546,1731.0505722623268,2123.0,27,337,8,2,7
30,40,Inf,0.8,91,5004.0,1463683744,1655.2144788881546,1731.0505722623268,2194.0,29,354,7,4,8
30,40,Inf,0.8,91,5004.0,1463683744,1666.2029039629035,1731.0505722623268,2265.0,31,374,5,2,8
30,40,Inf,0.8,91,5004.0,1463683744,1666.2029039629035,1731.0505722623268,2316.0,33,390,8,3,9
30,40,Inf,0.8,91,5004.0,1463683744,1667.0462143266457,1731.0505722623268,2329.0,33,395,4,1,9
30,40,Inf,0.8,91,5004.0,1463683744,1667.0462143266457,1731.0505722623268,2369.0,35,410,8,3,10
30,40,Inf,0.8,91,5004.0,1463683744,1667.0462143266457,1731.0505722623268,2374.0,37,412,1,1,10
30,40,Inf,0.8,91,5004.0,1463683744,1667.0462143266457,1731.0505722623268,2381.0,37,416,2,1,11
30,40,Inf,0.8,91,5004.0,1463683744,1668.246866560963,1731.0505722623268,2389.0,37,420,2,0,11
30,40,Inf,0.8,91,5004.0,1463683744,1668.246866560963,1731.0505722623268,2425.0,39,433,4,4,11
30,40,Inf,0.8,91,5004.0,1463683744,1676.3254419483428,1731.0505722623268,2445.0,39,441,5,2,11
30,40,Inf,0.8,91,5004.0,1463683744,1676.3254419483428,1731.0505722623268,2682.0,41,454,9,8,5
30,40,Inf,0.8,91,5004.0,1463683744,1677.1811670377135,1731.0505722623268,2718.0,41,467,10,2,5
30,40,Inf,0.8,91,5004.0,1463683744,1677.1811670377135,1731.0505722623268,2765.0,41,481,12,11,6
30,40,Inf,0.8,91,5004.0,1463683744,1677.524776487285,1731.0505722623268,2906.0,43,503,11,8,6
30,40,Inf,0.8,91,5004.0,1463683744,1677.524776487285,1731.0505722623268,2935.0,45,514,5,3,12
