seed,n0,m0,M,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,5,50,20.0,5.265,3.7832568240600732,1.7752209718668865e-5,4.692330931649632e-6,OPTIMAL,495
2,5,50,20.0,5.498,5.452331495095906,0.025822101401335118,0.004758510402900909,OPTIMAL,403
3,5,50,20.0,3.725,2.951593366334075,1.526348986669035e-5,5.1712979751347595e-6,OPTIMAL,249
4,5,50,20.0,5.595,2.7602201258493935,1.1635015452426956e-5,4.215266886926962e-6,OPTIMAL,1298
5,5,50,20.0,5.534,2.7548417925382047,6.358150407059782e-6,2.307996451509541e-6,OPTIMAL,424
6,5,50,20.0,6.659,1.893835835268943,8.771931446105441e-6,4.631854521418994e-6,OPTIMAL,511
7,5,50,20.0,5.737,1.7685158153348035,6.526534871653666e-6,3.6904159412600073e-6,OPTIMAL,1485
8,5,50,20.0,0.541,6.916214432417929,0.06408625492352993,0.009352751913488605,OPTIMAL,34
9,5,50,20.0,7.135,1.1585655366644907,1.001876198092333e-5,8.647632181720262e-6,OPTIMAL,485
10,5,50,20.0,8.477,4.333125343194689,7.317062205025593e-6,1.6886367186163224e-6,OPTIMAL,559
1,6,60,20.0,16.154,5.461960938639965,0.10229075357859774,0.019085270183920193,OPTIMAL,1044
2,6,60,20.0,13.408,3.047681195692938,0.015773357015651968,0.005202452665095956,OPTIMAL,936
3,6,60,20.0,6.471,2.8841788118660294,1.479531299342085e-5,5.129844526353685e-6,OPTIMAL,629
4,6,60,20.0,11.721,3.7350558456147525,0.0024654435438229427,0.0006605181062607502,OPTIMAL,708
5,6,60,20.0,13.709,4.631797846437221,0.019189485830057862,0.004160224395797593,OPTIMAL,1047
6,6,60,20.0,11.093,2.306592758527604,0.02172053823800102,0.009506237611505463,OPTIMAL,692
7,6,60,20.0,7.681,1.7454602042502534,2.054180212240908e-5,1.176884114893861e-5,OPTIMAL,566
8,6,60,20.0,4.561,6.820332553419049,0.0576556103048107,0.008525560335026158,OPTIMAL,312
9,6,60,20.0,11.515,0.5525107537770229,1.2439998439361943e-5,2.251590299757428e-5,OPTIMAL,854
10,6,60,20.0,8.793,5.575375569816237,0.014185613902084171,0.0025508234774462633,OPTIMAL,610
1,7,70,20.0,17.778,5.1397486550323315,2.0300425864760996e-5,3.949707934771844e-6,OPTIMAL,1461
2,7,70,20.0,20.896,3.2852063967497984,2.09497595609065e-5,6.377040169863128e-6,OPTIMAL,1513
3,7,70,20.0,16.026,1.111939845932477,0.030891339522421735,0.028575350078421238,OPTIMAL,1101
4,7,70,20.0,24.83,1.8433623199690112,0.02327224783122883,0.01278631656063838,OPTIMAL,2156
5,7,70,20.0,22.219,3.1735550613410988,2.1179066780785405e-5,6.673653903328548e-6,OPTIMAL,2434
6,7,70,20.0,60.337,2.4845738168464586,2.5079968275942832e-5,1.009437565207742e-5,OPTIMAL,3903
