seed,dimension,var_A,p,k,M,solution,termination,time
1,5,1.0,25,5.0,0.1,NaN,TIME_LIMIT,1800.0
1,5,5.0,25,5.0,0.1,NaN,TIME_LIMIT,1800.0
1,5,5.0,25,5.0,0.1,NaN,TIME_LIMIT,1800.0
1,5,1.0,25,5.0,1.0,NaN,TIME_LIMIT,1800.0
1,5,1.0,25,5.0,1.0,NaN,TIME_LIMIT,1800.0
1,5,5.0,25,5.0,1.0,NaN,TIME_LIMIT,1800.0
1,5,5.0,25,5.0,1.0,NaN,TIME_LIMIT,1800.0
2,5,1.0,25,5.0,0.1,0.5150087516782998,LOCALLY_SOLVED,17.646712064743042
2,5,5.0,25,5.0,0.1,0.13744155854954787,LOCALLY_SOLVED,13.391090154647827
2,5,1.0,25,5.0,1.0,0.36602171989677956,ALMOST_LOCALLY_SOLVED,1797.8561890125275
2,5,5.0,25,5.0,1.0,NaN,TIME_LIMIT,1800.0
3,5,1.0,25,5.0,0.1,NaN,TIME_LIMIT,1800.0
3,5,5.0,25,5.0,0.1,NaN,TIME_LIMIT,1800.0
3,5,1.0,25,5.0,1.0,NaN,TIME_LIMIT,1800.0
3,5,5.0,25,5.0,1.0,NaN,TIME_LIMIT,1800.0
1,10,1.0,50,10.0,0.1,NaN,TIME_LIMIT,1800.0
1,10,5.0,50,10.0,0.1,NaN,TIME_LIMIT,1800.0
1,10,1.0,50,10.0,1.0,0.5519508154065069,ALMOST_LOCALLY_SOLVED,33.063287019729614
1,10,5.0,50,10.0,1.0,NaN,TIME_LIMIT,1800.0
2,10,1.0,50,10.0,0.1,0.4397923302919102,LOCALLY_SOLVED,11.146821975708008
2,10,5.0,50,10.0,0.1,0.06446405736192949,ALMOST_LOCALLY_SOLVED,409.70320200920105
2,10,1.0,50,10.0,1.0,0.2491472205914947,ALMOST_LOCALLY_SOLVED,1375.9031438827515
2,10,5.0,50,10.0,1.0,NaN,TIME_LIMIT,1800.0
3,10,1.0,50,10.0,0.1,NaN,TIME_LIMIT,1800.0
3,10,5.0,50,10.0,0.1,NaN,TIME_LIMIT,1800.0
3,10,1.0,50,10.0,1.0,NaN,TIME_LIMIT,1800.0
3,10,5.0,50,10.0,1.0,NaN,TIME_LIMIT,1800.0
1,15,1.0,75,15.0,0.1,NaN,TIME_LIMIT,1800.0
1,15,5.0,75,15.0,0.1,NaN,TIME_LIMIT,1800.0
1,15,1.0,75,15.0,1.0,NaN,TIME_LIMIT,1800.0
1,15,5.0,75,15.0,1.0,NaN,TIME_LIMIT,1800.0
2,15,1.0,75,15.0,0.1,NaN,TIME_LIMIT,1800.0
2,15,5.0,75,15.0,0.1,NaN,TIME_LIMIT,1800.0
2,15,1.0,75,15.0,1.0,NaN,TIME_LIMIT,1800.0
2,15,5.0,75,15.0,1.0,NaN,TIME_LIMIT,1800.0
3,15,1.0,75,15.0,0.1,NaN,TIME_LIMIT,1800.0
3,15,5.0,75,15.0,0.1,NaN,TIME_LIMIT,1800.0
3,15,1.0,75,15.0,1.0,NaN,TIME_LIMIT,1800.0
3,15,5.0,75,15.0,1.0,NaN,TIME_LIMIT,1800.0
1,20,1.0,100,20.0,0.1,NaN,TIME_LIMIT,1800.0
1,20,5.0,100,20.0,0.1,NaN,TIME_LIMIT,1800.0
1,20,1.0,100,20.0,1.0,NaN,TIME_LIMIT,1800.0
1,20,5.0,100,20.0,1.0,NaN,TIME_LIMIT,1800.0
2,20,1.0,100,20.0,0.1,NaN,TIME_LIMIT,1800.0
2,20,5.0,100,20.0,0.1,NaN,TIME_LIMIT,1800.0
2,20,1.0,100,20.0,1.0,0.5024616481508815,ALMOST_LOCALLY_SOLVED,264.64312505722046
2,20,5.0,100,20.0,1.0,NaN,TIME_LIMIT,1800.0
3,20,1.0,100,20.0,0.1,NaN,TIME_LIMIT,1800.0
3,20,5.0,100,20.0,0.1,NaN,TIME_LIMIT,1800.0
3,20,1.0,100,20.0,1.0,NaN,TIME_LIMIT,1800.0
3,20,5.0,100,20.0,1.0,NaN,TIME_LIMIT,1800.0
