seed,dimension,min_number_lower,adaptive_gap,iteration,time,memory,lb,ub,list_time,list_num_nodes,list_lmo_calls,active_set_size,discarded_set_size,node_level
2,10,Inf,0.8,237,10494.0,1483397544,0.7246922401829554,0.9611505795614154,118.0,3,22,9,1,1
2,10,Inf,0.8,237,10494.0,1483397544,0.7246922401829554,0.9611505795614154,222.0,5,39,12,2,2
2,10,Inf,0.8,237,10494.0,1483397544,0.7439370912119507,0.9611505795614154,392.0,7,58,13,0,2
2,10,Inf,0.8,237,10494.0,1483397544,0.7439370912119507,0.9611505795614154,467.0,9,69,12,4,3
2,10,Inf,0.8,237,10494.0,1483397544,0.7609138997293852,0.9611505795614154,604.0,11,84,11,1,3
2,10,Inf,0.8,237,10494.0,1483397544,0.7609138997293852,0.9611505795614154,704.0,13,101,15,6,4
2,10,Inf,0.8,237,10494.0,1483397544,0.7771647999365638,0.9611505795614154,870.0,15,117,12,0,4
2,10,Inf,0.8,237,10494.0,1483397544,0.7771647999365638,0.9611505795614154,965.0,17,132,18,5,5
2,10,Inf,0.8,237,10494.0,1483397544,0.7933175884321527,0.9611505795614154,1110.0,19,149,10,1,5
2,10,Inf,0.8,237,10494.0,1483397544,0.7933175884321527,0.9611505795614154,1193.0,21,159,12,11,6
2,10,Inf,0.8,237,10494.0,1483397544,0.7993591839418213,0.9611505795614154,1322.0,23,174,10,2,6
2,10,Inf,0.8,237,10494.0,1483397544,0.7993591839418213,0.9611505795614154,1398.0,25,183,20,9,7
2,10,Inf,0.8,237,10494.0,1483397544,0.81351765688585,0.9611505795614154,1533.0,27,199,10,3,7
2,10,Inf,0.8,237,10494.0,1483397544,0.81351765688585,0.9611505795614154,1614.0,29,211,20,11,8
2,10,Inf,0.8,237,10494.0,1483397544,0.8186124136710204,0.9611505795614154,1725.0,31,224,9,2,8
2,10,Inf,0.8,237,10494.0,1483397544,0.8186124136710204,0.9611505795614154,1782.0,33,229,12,0,3
2,10,Inf,0.8,237,10494.0,1483397544,0.8220506064317823,0.9611505795614154,1790.0,33,231,1,0,3
2,10,Inf,0.8,237,10494.0,1483397544,0.8220506064317823,0.9611505795614154,1868.0,35,242,21,8,9
2,10,Inf,0.8,237,10494.0,1483397544,0.8284976847462981,0.9611505795614154,2033.0,37,262,13,1,9
2,10,Inf,0.8,237,10494.0,1483397544,0.8284976847462981,0.9611505795614154,2089.0,39,267,11,0,4
2,10,Inf,0.8,237,10494.0,1483397544,0.8318273675471204,0.9611505795614154,2097.0,39,269,1,0,4
2,10,Inf,0.8,237,10494.0,1483397544,0.8318273675471204,0.9611505795614154,2247.0,41,271,17,10,10
2,10,Inf,0.8,237,10494.0,1483397544,0.8318273675471204,0.9611505795614154,2335.0,41,282,10,4,10
2,10,Inf,0.8,237,10494.0,1483397544,0.8318273675471204,0.9611505795614154,2411.0,43,291,18,9,11
2,10,Inf,0.8,237,10494.0,1483397544,0.8362249262111977,0.9611505795614154,2491.0,43,301,9,2,11
2,10,Inf,0.8,237,10494.0,1483397544,0.8362249262111977,0.9611505795614154,2551.0,45,307,11,0,5
2,10,Inf,0.8,237,10494.0,1483397544,0.8430361270771439,0.9611505795614154,2558.0,45,309,1,0,5
2,10,Inf,0.8,237,10494.0,1483397544,0.8430361270771439,0.9611505795614154,2608.0,47,314,10,0,6
2,10,Inf,0.8,237,10494.0,1483397544,0.8474070905307507,0.9611505795614154,2616.0,47,316,1,0,6
2,10,Inf,0.8,237,10494.0,1483397544,0.8474070905307507,0.9611505795614154,2688.0,49,324,12,0,7
2,10,Inf,0.8,237,10494.0,1483397544,0.8497333521887498,0.9611505795614154,2696.0,49,326,1,0,7
2,10,Inf,0.8,237,10494.0,1483397544,0.8497333521887498,0.9611505795614154,2774.0,51,340,21,7,12
2,10,Inf,0.8,237,10494.0,1483397544,0.8520301384478768,0.9611505795614154,2867.0,51,352,11,1,12
2,10,Inf,0.8,237,10494.0,1483397544,0.8520301384478768,0.9611505795614154,2946.0,53,360,13,0,8
2,10,Inf,0.8,237,10494.0,1483397544,0.8548199299236473,0.9611505795614154,2954.0,53,362,1,0,8
2,10,Inf,0.8,237,10494.0,1483397544,0.8548199299236473,0.9611505795614154,3017.0,55,368,11,1,4
2,10,Inf,0.8,237,10494.0,1483397544,0.8557374949447881,0.9611505795614154,3025.0,55,370,1,0,4
2,10,Inf,0.8,237,10494.0,1483397544,0.8557374949447881,0.9611505795614154,3076.0,57,375,12,0,9
2,10,Inf,0.8,237,10494.0,1483397544,0.859085454535647,0.9611505795614154,3084.0,57,377,1,0,9
2,10,Inf,0.8,237,10494.0,1483397544,0.859085454535647,0.9611505795614154,3178.0,59,393,20,7,13
2,10,Inf,0.8,237,10494.0,1483397544,0.8591165300421939,0.9611505795614154,3271.0,59,405,11,2,13
