seed,dimension,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,20,1.724,-2.788680801094718,0.012175808480847206,0.004366153514617915,OPTIMAL,1371
2,20,0.418,-2.802333641248399,0.009517795275246765,0.003396381906547975,OPTIMAL,300
3,20,2.226,-1.0930084722455629,3.927954171700776e-6,3.5937088059627542e-6,OPTIMAL,2275
4,20,1.686,-0.9606330568487316,1.402659291382946e-6,1.460140561875146e-6,OPTIMAL,1578
5,20,4.772,-0.6133478018418748,0.0009858006543259634,0.0016072457606689354,OPTIMAL,2402
6,20,0.726,0.16297348338544526,0.0006714275712450535,0.004136901210996914,OPTIMAL,661
7,20,0.534,-1.809585966009454,0.01184922337863159,0.0065480301025774455,OPTIMAL,408
8,20,0.871,-4.583566352912145,0.0301980334136438,0.006588326880979401,OPTIMAL,861
9,20,1.071,-0.12499674696557123,3.008747845312243e-8,2.407060918266109e-7,OPTIMAL,797
10,20,1.171,-0.06546891747606043,5.661448343463604e-8,8.647536207596204e-7,OPTIMAL,789
1,25,1.257,-0.056754710159236055,6.561672183380551e-8,1.1561458361729875e-6,OPTIMAL,757
2,25,1.432,-0.052422524035566354,9.13957038384261e-8,1.7434434056707795e-6,OPTIMAL,840
3,25,1.74,-0.3257666873980312,3.56118259881022e-8,1.0931696630045734e-7,OPTIMAL,903
4,25,2.201,-0.037834835755681195,7.808453078572697e-8,2.0638263448520977e-6,OPTIMAL,1125
5,25,18.786,-8.811578502600085,0.05334799072214125,0.006054305787141264,OPTIMAL,15484
6,25,3.33,-3.5946033711915666,0.016214462059626733,0.00451077918347688,OPTIMAL,1407
7,25,1.064,-8.962461587246214,0.01025991669602,0.0011447654861494853,OPTIMAL,844
8,25,2.4,-0.864354986409587,0.00010446858558266214,0.00012086305652797867,OPTIMAL,818
9,25,3.204,-6.706877953427845,0.044935125566343714,0.006699857352164526,OPTIMAL,1702
10,25,13.005,-5.913370910565777,0.033094711546371336,0.005596589837995621,OPTIMAL,11243
1,30,3.68,-0.2020203379586777,0.001682947928383638,0.008330586639885123,OPTIMAL,1791
2,30,3.78,-0.4074096577397732,0.0037330528703468646,0.009162897342829551,OPTIMAL,1154
3,30,2.224,-0.3347694613150489,0.0006027965129527524,0.0018006317260386702,OPTIMAL,907
4,30,3.081,-12.104259189208154,0.08700960429887594,0.007188346096921938,OPTIMAL,1780
5,30,3.173,-0.22151766659027422,5.414193737784956e-8,2.4441363170366054e-7,OPTIMAL,1744
6,30,9.491,-0.6400503748375294,0.0029895855601403953,0.004670859791152021,OPTIMAL,2227
7,30,3.557,-0.03311454345697207,7.819192771041372e-8,2.3612564011946506e-6,OPTIMAL,1476
8,30,2.557,-0.05118131331472758,7.936364865290813e-8,1.5506372055144389e-6,OPTIMAL,1347
9,30,10.55,0.14911540707074422,0.0008568031741793547,0.005779112656268624,OPTIMAL,11234
10,30,19.907,-9.893673841143926,0.05061134707391268,0.0051155261318035225,OPTIMAL,7172
1,35,10.795,-0.12485151528748462,9.296142511328043e-8,7.445758659734832e-7,OPTIMAL,11462
2,35,1.35,-18.56947398391409,0.07150884977922445,0.0038508818204096348,OPTIMAL,665
3,35,4.147,-0.341314132970999,0.0031189876611937284,0.009138173195596165,OPTIMAL,1228
4,35,3.474,-0.21623391227369743,0.0015966331798837885,0.007383824133297162,OPTIMAL,1354
5,35,26.626,-1.476281671006701,0.013866235236377644,0.009392675875276583,OPTIMAL,16232
6,35,26.232,-1.4181434416258618,0.0044836549504569945,0.0031616371227699007,OPTIMAL,5536
7,35,3.313,0.2729285836553367,7.561179460324752e-8,2.7703883022430427e-7,OPTIMAL,2656
8,35,4.563,-0.22847670991425595,0.002174990390711673,0.009519527795756145,OPTIMAL,1793
9,35,4.127,-0.652958156787355,2.5639499572349678e-6,3.92666808827377e-6,OPTIMAL,1139
10,35,5.201,-0.34025731971304984,1.1581125285986538e-6,3.403637369433604e-6,OPTIMAL,1551
1,40,8.993,-0.2778730914330424,0.001077891643347706,0.0038790788909743705,OPTIMAL,2559
2,40,9.954,-13.670999365923857,0.013863222554233445,0.0010140606537360189,OPTIMAL,2516
3,40,12.425,-0.3340617088301386,1.8167574153404864e-6,5.438388678854118e-6,OPTIMAL,2787
4,40,9.215,-0.8097967332495375,4.405280192076866e-6,5.439982666266679e-6,OPTIMAL,2175
5,40,6.852,-0.3956576910141443,2.836814178508451e-6,7.1698699227536015e-6,OPTIMAL,1753
6,40,23.559,-11.590738450818806,0.09096126127870896,0.007847753761735791,OPTIMAL,8790
7,40,16.02,-0.10837252528250024,6.655035827973776e-8,6.140888394568413e-7,OPTIMAL,12975
8,40,9.583,-0.0824560021243973,4.9034328264419e-8,5.946726375412106e-7,OPTIMAL,2947
9,40,5.041,-0.19798643454510978,7.56138860413813e-8,3.8191447921727804e-7,OPTIMAL,2044
10,40,32.434,-1.91771256210715,0.012256105439911735,0.006391002323333031,OPTIMAL,9791
1,45,9.721,-0.2849567239056172,0.0003324745615336244,0.0011667545758412986,OPTIMAL,2444
2,45,215.073,-4.775098537897824,0.021698170857638033,0.004544025779872257,OPTIMAL,97879
3,45,5.214,0.6020908940492066,5.4618054308175346e-5,9.072219812322103e-5,OPTIMAL,3132
4,45,7.335,-0.26184991358522997,0.0005745548383825905,0.0021942143517094483,OPTIMAL,2240
5,45,14.092,-0.20318952160800097,9.505420464628322e-8,4.6781056372416937e-7,OPTIMAL,3682
6,45,11.264,-0.3305977415978644,5.588481299945158e-8,1.6904172644781486e-7,OPTIMAL,2611
7,45,63.252,-0.7504781788953374,0.0006896765783235281,0.0009189828534904161,OPTIMAL,10945
8,45,50.401,-0.9219770200052185,0.005265374172122139,0.0057109603144906325,OPTIMAL,11340
9,45,12.506,-0.3675539000718713,4.816685775788088e-6,1.31047059352281e-5,OPTIMAL,2761
10,45,16.13,-0.3488069945610633,6.444675692757196e-5,0.00018476337324792292,OPTIMAL,3345
