seed,dimension,p,k,Ns,time,solution,termination,ncalls
9,70,70,35.0,1.0,1809.308,-856.9133115424578,Time limit reached,19248
9,70,70,35.0,5.0,19.926,-591.369219490589,OPTIMAL,130
9,70,70,35.0,10.0,19.757,-582.3952971058508,OPTIMAL,110
10,70,70,35.0,0.1,0.016,-542.5786305155099,OPTIMAL,3
10,70,70,35.0,1.0,1803.561,-1544.6637065465727,Time limit reached,16940
10,70,70,35.0,5.0,13.296,-1164.8241197097325,OPTIMAL,117
10,70,70,35.0,10.0,13.273,-1084.9898863992778,OPTIMAL,102
1,90,90,45.0,0.1,0.02,-18670.312276752353,OPTIMAL,3
1,90,90,45.0,1.0,1805.697,-51986.82605783534,Time limit reached,3703
1,90,90,45.0,5.0,33.891,-24742.21840937466,OPTIMAL,79
1,90,90,45.0,10.0,22.817,-39875.69060634597,OPTIMAL,62
2,90,90,45.0,0.1,0.035,-14084.188010188294,OPTIMAL,3
2,90,90,45.0,1.0,1812.929,-37780.68738016131,Time limit reached,5338
2,90,90,45.0,5.0,22.69,-19011.934305295406,OPTIMAL,84
2,90,90,45.0,10.0,33.134,-27740.677769395013,OPTIMAL,84
3,90,90,45.0,0.1,0.02,-4063.3151238691667,OPTIMAL,3
3,90,90,45.0,1.0,1819.274,-9491.04737677451,Time limit reached,4654
3,90,90,45.0,5.0,26.484,-6450.710763922596,OPTIMAL,70
3,90,90,45.0,10.0,26.396,-6394.957922008486,OPTIMAL,75
4,90,90,45.0,0.1,0.038,-10504.732237194454,OPTIMAL,3
4,90,90,45.0,1.0,18.9,-26797.48337802248,OPTIMAL,31
4,90,90,45.0,5.0,41.128,-14054.763890204822,OPTIMAL,102
4,90,90,45.0,10.0,36.718,-19969.33566322021,OPTIMAL,78
5,90,90,45.0,0.1,0.025,-1000.1461563458813,OPTIMAL,3
5,90,90,45.0,1.0,1807.948,-2845.0629901987945,Time limit reached,13514
5,90,90,45.0,5.0,17.283,-2077.5831408631384,OPTIMAL,124
5,90,90,45.0,10.0,17.318,-2250.2100525934984,OPTIMAL,128
6,90,90,45.0,0.1,0.019,-1.4397826701698136e6,OPTIMAL,3
6,90,90,45.0,1.0,8.502,-6.064949686289286e6,OPTIMAL,17
6,90,90,45.0,5.0,84.403,-2.1317104343689275e6,OPTIMAL,174
6,90,90,45.0,10.0,17.164,-4.0717926895593456e6,OPTIMAL,63
7,90,90,45.0,0.1,0.018,-129915.86278481437,OPTIMAL,3
7,90,90,45.0,1.0,1806.16,-510840.73237448954,Time limit reached,6947
7,90,90,45.0,5.0,18.296,-285656.52233493637,OPTIMAL,73
7,90,90,45.0,10.0,18.194,-430257.28109484864,OPTIMAL,66
8,90,90,45.0,0.1,0.019,-118972.5986311546,OPTIMAL,3
8,90,90,45.0,1.0,12.295,-411810.8353111659,OPTIMAL,27
8,90,90,45.0,5.0,27.154,-218304.83075929398,OPTIMAL,83
8,90,90,45.0,10.0,18.234,-310944.66612599214,OPTIMAL,66
9,90,90,45.0,0.1,0.018,-8286.736243114898,OPTIMAL,3
9,90,90,45.0,1.0,12.356,-19916.53259530186,OPTIMAL,27
9,90,90,45.0,5.0,18.222,-13316.99830678982,OPTIMAL,51
9,90,90,45.0,10.0,25.764,-16191.90684547305,OPTIMAL,67
10,90,90,45.0,0.1,0.018,-95338.92676350637,OPTIMAL,3
10,90,90,45.0,1.0,1804.196,-222533.25458275023,Time limit reached,2783
10,90,90,45.0,5.0,9.366,-86326.22789915002,OPTIMAL,31
10,90,90,45.0,10.0,18.746,-153420.8551524373,OPTIMAL,57
