seed,dimension,M,time,solution,termination,ncalls
1,30,20.0,3.919,-19.701334217049705,OPTIMAL,47
2,30,20.0,3.483,-621.5629090824182,OPTIMAL,39
3,30,20.0,3.481,-714.0766044131303,primal>tree.incumbent+1e-2,44
1,40,20.0,5.254,-6377.420519060353,primal>tree.incumbent+1e-2,27
2,40,20.0,5.356,-329.5514021794312,OPTIMAL,50
3,40,20.0,5.234,-2358.917755917285,primal>tree.incumbent+1e-2,39
1,50,20.0,6.815,-812.5307312913062,primal>tree.incumbent+1e-2,75
2,50,20.0,6.168,-918.4785203334446,OPTIMAL,45
3,50,20.0,6.15,-364.4223568010698,primal>tree.incumbent+1e-2,49
1,60,20.0,9.118,-1651.7513848333206,primal>tree.incumbent+1e-2,55
2,60,20.0,8.851,-65027.3942954871,OPTIMAL,24
3,60,20.0,9.032,-1829.7858556047292,OPTIMAL,43
1,70,20.0,11.012,-56293.988473301026,primal>tree.incumbent+1e-2,33
2,70,20.0,11.255,-264.5901971799661,primal>tree.incumbent+1e-2,59
3,70,20.0,10.911,-166058.34962918144,primal>tree.incumbent+1e-2,29
1,80,20.0,12.865,-4.277664909072298e6,primal>tree.incumbent+1e-2,27
2,80,20.0,13.054,-8905.758526501946,primal>tree.incumbent+1e-2,45
3,80,20.0,12.982,-11054.73878137592,primal>tree.incumbent+1e-2,37
1,90,20.0,15.378,-64864.66861527709,primal>tree.incumbent+1e-2,51
2,90,20.0,15.226,-14951.889034406113,primal>tree.incumbent+1e-2,38
3,90,20.0,15.238,-1.0807166993830858e6,OPTIMAL,31
1,100,20.0,18.129,-56280.75227520613,primal>tree.incumbent+1e-2,68
3,100,20.0,17.655,-219729.79773279236,OPTIMAL,40
3,130,20.0,25.773,-1.5513342946434712e7,OPTIMAL,40
3,180,20.0,42.887,-5.568405002509973e9,OPTIMAL,35
