seed,num_v,time,lowerBound,upperBound,termination,LMOcalls,openNodes
2,7,95.0,-14.864162337524448,-13.867057561428325,Optimal (tolerance reached),25,2
2,7,184.0,-14.864162337524448,-13.867057561428325,Optimal (tolerance reached),51,3
2,7,290.0,-14.738915181284629,-13.867057600496008,Optimal (tolerance reached),81,4
2,7,391.0,-14.738915181284629,-13.867058326506601,Optimal (tolerance reached),108,5
2,7,503.0,-14.696876785090435,-13.867058326506601,Optimal (tolerance reached),138,6
2,7,599.0,-14.696876785090435,-13.867058326506601,Optimal (tolerance reached),164,7
2,7,709.0,-14.624350017216802,-13.867058326506601,Optimal (tolerance reached),191,8
2,7,805.0,-14.624350017216802,-13.867058326506601,Optimal (tolerance reached),218,9
2,7,907.0,-14.580457780452452,-13.867058326506601,Optimal (tolerance reached),248,10
2,7,1009.0,-14.580457780452452,-13.867058326506601,Optimal (tolerance reached),279,11
2,7,1145.0,-14.557817932701777,-13.867058326506601,Optimal (tolerance reached),312,12
2,7,1240.0,-14.557817932701777,-13.867058326506601,Optimal (tolerance reached),340,13
2,7,1358.0,-14.515860549852256,-13.867058326506601,Optimal (tolerance reached),367,14
2,7,1464.0,-14.515860549852256,-13.867058326506601,Optimal (tolerance reached),399,15
2,7,1591.0,-14.508384115774373,-13.867058326506601,Optimal (tolerance reached),433,16
2,7,1739.0,-14.508384115774373,-13.867058326506601,Optimal (tolerance reached),468,17
2,7,1813.0,-14.467033619234147,-13.867058326506601,Optimal (tolerance reached),491,18
2,7,1932.0,-14.467033619234147,-13.867058326506601,Optimal (tolerance reached),523,19
2,7,2035.0,-14.44380909478384,-13.867058326506601,Optimal (tolerance reached),550,20
2,7,2124.0,-14.44380909478384,-13.867058326506601,Optimal (tolerance reached),579,21
2,7,2225.0,-14.442316613550167,-13.867058326506601,Optimal (tolerance reached),605,22
2,7,2344.0,-14.442316613550167,-13.867058326506601,Optimal (tolerance reached),636,23
2,7,2430.0,-14.410746118832153,-13.867058326506601,Optimal (tolerance reached),659,24
2,7,2548.0,-14.410746118832153,-13.867058326506601,Optimal (tolerance reached),694,25
2,7,2641.0,-14.402031898060804,-13.867058326506601,Optimal (tolerance reached),716,26
2,7,2744.0,-14.402031898060804,-13.867058326506601,Optimal (tolerance reached),747,27
2,7,2857.0,-14.400832556005776,-13.867058326506601,Optimal (tolerance reached),777,28
2,7,2958.0,-14.400832556005776,-13.867058326506601,Optimal (tolerance reached),801,29
2,7,3079.0,-14.378081706709873,-13.867058326506601,Optimal (tolerance reached),832,30
2,7,3163.0,-14.378081706709873,-13.867058326506601,Optimal (tolerance reached),857,31
2,7,3282.0,-14.36871588625005,-13.867058326506601,Optimal (tolerance reached),881,32
2,7,3375.0,-14.36871588625005,-13.867058326506601,Optimal (tolerance reached),909,33
2,7,3520.0,-14.346327782393775,-13.867058326506601,Optimal (tolerance reached),943,34
2,7,3633.0,-14.346327782393775,-13.867058326506601,Optimal (tolerance reached),970,35
2,7,3726.0,-14.345153198974964,-13.867058326506601,Optimal (tolerance reached),995,36
2,7,3827.0,-14.345153198974964,-13.867058326506601,Optimal (tolerance reached),1019,37
2,7,3943.0,-14.336716506600602,-13.867058326506601,Optimal (tolerance reached),1053,38
2,7,4034.0,-14.336716506600602,-13.867058326506601,Optimal (tolerance reached),1079,39
2,7,4159.0,-14.32049081967065,-13.867058326506601,Optimal (tolerance reached),1109,40
2,7,4263.0,-14.32049081967065,-13.867058326506601,Optimal (tolerance reached),1138,41
2,7,4403.0,-14.310008419272961,-13.867058326506601,Optimal (tolerance reached),1172,42
2,7,4494.0,-14.310008419272961,-13.867058326506601,Optimal (tolerance reached),1195,43
2,7,4614.0,-14.303268198977834,-13.867058326506601,Optimal (tolerance reached),1228,44
2,7,4741.0,-14.303268198977834,-13.867058326506601,Optimal (tolerance reached),1259,45
2,7,4827.0,-14.302157602530158,-13.867058326506601,Optimal (tolerance reached),1280,46
2,7,4930.0,-14.302157602530158,-13.867058326506601,Optimal (tolerance reached),1309,47
2,7,5049.0,-14.278393183749841,-13.867058326506601,Optimal (tolerance reached),1338,48
2,7,5149.0,-14.278393183749841,-13.867058326506601,Optimal (tolerance reached),1364,49
2,7,5246.0,-14.277812910858113,-13.867058326506601,Optimal (tolerance reached),1390,50
2,7,5391.0,-14.277812910858113,-13.867058326506601,Optimal (tolerance reached),1428,51
2,7,5515.0,-14.266551458824964,-13.867058326506601,Optimal (tolerance reached),1462,52
2,7,5630.0,-14.266551458824964,-13.867058326506601,Optimal (tolerance reached),1489,53
2,7,5745.0,-14.255862676036676,-13.867058326506601,Optimal (tolerance reached),1521,54
2,7,5825.0,-14.255862676036676,-13.867058326506601,Optimal (tolerance reached),1542,55
2,7,5945.0,-14.25435046041557,-13.867058326506601,Optimal (tolerance reached),1573,56
2,7,6024.0,-14.25435046041557,-13.867058326506601,Optimal (tolerance reached),1594,57
2,7,6129.0,-14.245733726677951,-13.867058326506601,Optimal (tolerance reached),1625,58
2,7,6228.0,-14.245733726677951,-13.867058326506601,Optimal (tolerance reached),1649,59
2,7,6348.0,-14.244459682445338,-13.867058326506601,Optimal (tolerance reached),1682,60
2,7,6459.0,-14.244459682445338,-13.867058326506601,Optimal (tolerance reached),1714,61
2,7,6573.0,-14.238264124068282,-13.867058326506601,Optimal (tolerance reached),1744,62
2,7,6672.0,-14.238264124068282,-13.867058326506601,Optimal (tolerance reached),1771,63
2,7,6778.0,-14.231171720402422,-13.867058326506601,Optimal (tolerance reached),1802,64
2,7,6873.0,-14.231171720402422,-13.867058326506601,Optimal (tolerance reached),1825,65
2,7,7014.0,-14.220543537988492,-13.867058326506601,Optimal (tolerance reached),1863,66
2,7,7101.0,-14.220543537988492,-13.867058326506601,Optimal (tolerance reached),1887,67
2,7,7235.0,-14.213383776193963,-13.867058326506601,Optimal (tolerance reached),1920,68
2,7,7334.0,-14.213383776193963,-13.867058326506601,Optimal (tolerance reached),1947,69
