seed,dimension,time_afw,solution_afw,termination_afw
1,20,4.877,-0.24907328181143348,Optimal (tree empty)
2,20,13.431,-5.1345392563138885,OPTIMAL
3,20,12.866,-0.7394277769829829,Optimal (tree empty)
4,20,16.665,-0.48809006533446797,OPTIMAL
1,25,16.918,-0.2465479480642135,OPTIMAL
2,25,7.871,-0.20379936365496193,Optimal (tree empty)
3,25,12.387,-0.5449211081101463,OPTIMAL
4,25,7.905,0.11889501718027007,Optimal (tree empty)
1,30,12.339,-0.1234003712799403,Optimal (tree empty)
2,30,11.524,-0.20913012724279495,OPTIMAL
3,30,21.427,-0.50676643861154,OPTIMAL
4,30,6.327,-0.1398184104346633,OPTIMAL
1,35,10.269,-0.05744557203278261,Optimal (tree empty)
2,35,23.829,-0.6323473403415675,OPTIMAL
3,35,14.75,-0.2857008302696895,OPTIMAL
4,35,22.013,-0.35205171243364847,OPTIMAL
1,40,14.283,-0.08212313928731796,OPTIMAL
2,40,22.405,-0.11049633047779528,OPTIMAL
3,40,27.241,-0.28264111628589067,OPTIMAL
4,40,16.475,-0.20697891790824496,OPTIMAL
1,45,68.506,-0.7906363479881606,OPTIMAL
2,45,348.887,-10.592133325078638,OPTIMAL
3,45,258.177,-1.4002230063427383,OPTIMAL
4,45,20.665,0.08275738927625786,OPTIMAL
1,50,337.549,-0.705665386961567,OPTIMAL
2,50,43.195,-0.23052390148148544,OPTIMAL
3,50,243.07,-19.334158975171924,OPTIMAL
4,50,54.241,-0.46051749513388257,OPTIMAL
1,55,44.469,-0.3715021773475234,OPTIMAL
2,55,38.491,-0.43654652514577885,OPTIMAL
3,55,510.063,-9.774816314881374,OPTIMAL
4,55,129.713,-0.4993110117678571,OPTIMAL
1,60,53.855,-0.2006100265675475,OPTIMAL
2,60,179.993,-0.5574431065675468,OPTIMAL
3,60,92.842,-0.5419942411421553,Optimal (tree empty)
4,60,1676.586,-11.863910497065547,OPTIMAL
1,65,54.349,-0.11508688561115665,OPTIMAL
2,65,71.179,-0.2101867919784019,OPTIMAL
3,65,56.536,-0.24032260066225763,OPTIMAL
1,70,80.865,-0.3960194579612021,OPTIMAL
2,70,78.157,-0.3513486871455757,Optimal (tree empty)
3,70,185.955,-0.11200773758584648,OPTIMAL
4,70,1800.426,-22.065152645330418,Time limit reached
1,75,73.032,-0.12878649855016783,Optimal (tree empty)
2,75,152.467,-0.5117598254337974,Optimal (tree empty)
3,75,78.991,-0.23408754811975235,OPTIMAL
4,75,105.279,-0.5669243692342001,Optimal (tree empty)
1,80,95.129,-0.1068844379851519,OPTIMAL
2,80,125.227,-0.5814718895334311,Optimal (tree empty)
3,80,1800.702,-2.6878257132224332,Time limit reached
4,80,175.279,-0.37262350004655226,Optimal (tree empty)
