seed,num_v,time,number_nodes,solution,termination
1,4,1.800543e6,6591,Inf,Time limit reached
2,4,1.800326e6,6331,Inf,Time limit reached
3,4,1.800067e6,6449,Inf,Time limit reached
1,5,1.800328e6,7081,Inf,Time limit reached
2,5,1.800115e6,6477,Inf,Time limit reached
3,5,1.800669e6,5713,Inf,Time limit reached
1,6,1.800083e6,6721,Inf,Time limit reached
2,6,1.800104e6,7405,Inf,Time limit reached
3,6,1.800092e6,7031,Inf,Time limit reached
1,7,1.800353e6,6315,Inf,Time limit reached
2,7,1.80028e6,5481,Inf,Time limit reached
3,7,1.800078e6,6969,Inf,Time limit reached
1,8,1.800135e6,6905,Inf,Time limit reached
2,8,1.800067e6,6937,Inf,Time limit reached
3,8,1.800349e6,7443,Inf,Time limit reached
