seed,dimension,var_A,p,k,M,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
1,25,5.0,125,1.0,5,1569.0,0.22760866342808722,0.6931471805599452,OPTIMAL,230,2,0,0
1,25,5.0,125,1.0,5,2135.0,0.22760866342808722,0.6931471805599452,OPTIMAL,261,3,0,0
1,25,5.0,125,1.0,5,2154.0,0.23398717767205773,0.6687193048051082,OPTIMAL,266,2,0,0
1,25,5.0,125,1.0,5,2623.0,0.23398717767205773,0.6687193048051082,OPTIMAL,282,3,0,0
1,25,5.0,125,1.0,5,2643.0,0.23529982542515643,0.6687193048051082,OPTIMAL,287,2,0,0
1,25,5.0,125,1.0,5,3205.0,0.23529982542515643,0.6687193048051082,OPTIMAL,307,3,0,0
1,25,5.0,125,1.0,5,3220.0,0.23730092751317888,0.6687193048051082,OPTIMAL,311,2,0,0
1,25,5.0,125,1.0,5,3738.0,0.23730092751317888,0.6687193048051082,OPTIMAL,332,3,0,0
1,25,5.0,125,1.0,5,3754.0,0.2383324263669606,0.6687193048051082,OPTIMAL,336,2,0,0
1,25,5.0,125,1.0,5,4323.0,0.2383324263669606,0.6687193048051082,OPTIMAL,357,3,0,0
1,25,5.0,125,1.0,5,4339.0,0.24106476186230155,0.6687193048051082,OPTIMAL,361,2,0,0
1,25,5.0,125,1.0,5,4943.0,0.24106476186230155,0.6687193048051082,OPTIMAL,385,3,0,0
1,25,5.0,125,1.0,5,4958.0,0.2426913631490466,0.6687193048051082,OPTIMAL,389,2,0,0
1,25,5.0,125,1.0,5,5580.0,0.2426913631490466,0.6687193048051082,OPTIMAL,413,3,0,0
1,25,5.0,125,1.0,5,5599.0,0.24457224433872712,0.6687193048051082,OPTIMAL,418,2,0,0
1,25,5.0,125,1.0,5,6124.0,0.24457224433872712,0.6687193048051082,OPTIMAL,435,3,0,0
1,25,5.0,125,1.0,5,6144.0,0.24644498054561384,0.6687193048051082,OPTIMAL,440,2,0,0
1,25,5.0,125,1.0,5,6742.0,0.24644498054561384,0.6687193048051082,OPTIMAL,463,3,0,0
1,25,5.0,125,1.0,5,6758.0,0.24673084806708548,0.6687193048051082,OPTIMAL,467,2,0,0
1,25,5.0,125,1.0,5,7375.0,0.24673084806708548,0.6687193048051082,OPTIMAL,489,3,0,0
1,25,5.0,125,1.0,5,7393.0,0.24887468581958394,0.6687193048051082,OPTIMAL,494,2,0,0
1,25,5.0,125,1.0,5,8163.0,0.24887468581958394,0.6687193048051082,OPTIMAL,521,3,0,0
1,25,5.0,125,1.0,5,8184.0,0.2514163505817336,0.6599240418167368,OPTIMAL,527,2,0,0
1,25,5.0,125,1.0,5,8804.0,0.2514163505817336,0.6599240418167368,OPTIMAL,547,3,0,0
1,25,5.0,125,1.0,5,8822.0,0.25527309694591827,0.6599240418167368,OPTIMAL,552,2,0,0
1,25,5.0,125,1.0,5,9489.0,0.25527309694591827,0.6599240418167368,OPTIMAL,572,3,0,0
1,25,5.0,125,1.0,5,9505.0,0.2553950581112243,0.6599240418167368,OPTIMAL,576,2,0,0
1,25,5.0,125,1.0,5,10140.0,0.2553950581112243,0.6599240418167368,OPTIMAL,600,3,0,0
1,25,5.0,125,1.0,5,10156.0,0.25554683784519455,0.6599240418167368,OPTIMAL,604,2,0,0
1,25,5.0,125,1.0,5,10902.0,0.25554683784519455,0.6599240418167368,OPTIMAL,629,3,0,0
1,25,5.0,125,1.0,5,10917.0,0.2556812434821838,0.6599240418167368,OPTIMAL,633,2,0,0
1,25,5.0,125,1.0,5,11575.0,0.2556812434821838,0.6599240418167368,OPTIMAL,659,3,0,0
1,25,5.0,125,1.0,5,11590.0,0.2556812434821838,0.6599240418167368,OPTIMAL,663,2,0,0
1,25,5.0,125,1.0,5,12325.0,0.2556812434821838,0.6599240418167368,OPTIMAL,691,3,0,0
1,25,5.0,125,1.0,5,12345.0,0.25790544328392667,0.6599240418167368,OPTIMAL,696,2,0,0
1,25,5.0,125,1.0,5,13031.0,0.25790544328392667,0.6599240418167368,OPTIMAL,716,3,0,0
1,25,5.0,125,1.0,5,13046.0,0.26064622561740614,0.6599240418167368,OPTIMAL,720,2,0,0
1,25,5.0,125,1.0,5,13876.0,0.26064622561740614,0.6599240418167368,OPTIMAL,746,3,0,0
1,25,5.0,125,1.0,5,13891.0,0.2606770694849974,0.6599240418167368,OPTIMAL,750,2,0,0
1,25,5.0,125,1.0,5,14582.0,0.2606770694849974,0.6599240418167368,OPTIMAL,778,3,0,0
1,25,5.0,125,1.0,5,14600.0,0.26266011838224645,0.6599240418167368,OPTIMAL,783,2,0,0
1,25,5.0,125,1.0,5,15401.0,0.26266011838224645,0.6599240418167368,OPTIMAL,815,3,0,0
1,25,5.0,125,1.0,5,15419.0,0.2661343297993921,0.6599240418167368,OPTIMAL,820,2,0,0
1,25,5.0,125,1.0,5,16237.0,0.2661343297993921,0.6599240418167368,OPTIMAL,845,3,0,0
1,25,5.0,125,1.0,5,16255.0,0.2716002581852522,0.6599240418167368,OPTIMAL,850,2,0,0
1,25,5.0,125,1.0,5,16945.0,0.2716002581852522,0.6599240418167368,OPTIMAL,870,3,0,0
1,25,5.0,125,1.0,5,16961.0,0.2716272439028202,0.6599240418167368,OPTIMAL,874,2,0,0
