seed,dimension,time_afw,solution_afw,termination_afw
1,20,16.346,-0.24907328181136515,Optimal (tree empty)
2,20,5.303,-5.134539256290312,OPTIMAL
3,20,18.807,-0.7394277769830357,Optimal (tree empty)
4,20,11.391,-0.48809006533403254,OPTIMAL
5,20,9.154,-3.596954840181189,OPTIMAL
6,20,76.31,-9.082536755354594,OPTIMAL
7,20,27.489,-0.1835040686191235,Optimal (tree empty)
8,20,28.325,-0.04223830682343799,Optimal (tree empty)
9,20,36.648,-0.11979333714649498,Optimal (tree empty)
10,20,21.583,-4.058747840178917,OPTIMAL
1,25,20.038,-0.24654794806288854,OPTIMAL
2,25,32.779,-0.20379936365495382,Optimal (tree empty)
3,25,7.768,-0.5449211081106481,OPTIMAL
4,25,16.933,0.11889501718027551,Optimal (tree empty)
5,25,17.097,-8.061134369778227,OPTIMAL
6,25,18.684,-0.2310404511280727,Optimal (tree empty)
7,25,35.512,-0.1729139086924087,OPTIMAL
8,25,12.252,-0.4016057472914892,OPTIMAL
9,25,37.628,-0.10266094220001837,Optimal (tree empty)
10,25,6.414,-12.511823177479574,OPTIMAL
1,30,55.762,-0.12340037127993858,Optimal (tree empty)
2,30,33.759,-0.20913012724279312,OPTIMAL
3,30,13.639,-0.5067664386062302,OPTIMAL
4,30,67.324,-0.1398184104346583,OPTIMAL
5,30,71.064,0.04801406113384432,Optimal (tree empty)
6,30,45.573,-0.3059587152152196,OPTIMAL
7,30,68.337,-8.15843405586961,OPTIMAL
8,30,55.173,-0.0542973762900002,OPTIMAL
9,30,16.846,-1.425328810887645,OPTIMAL
10,30,59.704,-12.128321673844297,OPTIMAL
1,35,53.024,-0.057445572032781944,Optimal (tree empty)
2,35,15.066,-0.6323473403277725,OPTIMAL
3,35,35.185,-0.2857008302696824,OPTIMAL
4,35,13.871,-0.3520517124296838,OPTIMAL
5,35,26.236,-0.7906425618234892,Optimal (tree empty)
6,35,25.171,-1.7512104033320082,OPTIMAL
7,35,19.907,-0.8466459183754167,OPTIMAL
8,35,24.012,-2.7343496437967056,OPTIMAL
9,35,11.948,-0.6692424942106161,OPTIMAL
10,35,49.797,-0.17883327641850655,OPTIMAL
1,40,105.775,-0.08212313928731318,OPTIMAL
2,40,59.188,-0.11049633047778401,OPTIMAL
3,40,17.812,-0.28264111649386614,OPTIMAL
4,40,72.333,-0.2069789179082342,OPTIMAL
5,40,48.165,-0.20815205532594488,OPTIMAL
6,40,39.908,-4.760934488010308,OPTIMAL
7,40,60.312,-0.17675633030711485,OPTIMAL
8,40,199.729,-5.563031454842783,OPTIMAL
9,40,12.245,-1.7448075629601325,OPTIMAL
10,40,11.114,-20.37713886600762,OPTIMAL
1,45,39.292,-0.7906363479658706,OPTIMAL
2,45,262.77,-10.59213332507201,OPTIMAL
3,45,127.384,-1.4002230063456365,OPTIMAL
4,45,83.718,0.08275738927627174,OPTIMAL
5,45,773.631,-3.2104911750115335,OPTIMAL
6,45,42.636,-0.2572306433409342,OPTIMAL
7,45,59.278,-0.207483966143171,OPTIMAL
8,45,75.11,-0.2721073150876916,OPTIMAL
9,45,49.197,-0.5752857690473359,Optimal (tree empty)
10,45,26.62,-0.3210206289481654,OPTIMAL
1,50,196.346,-0.7056653869942581,OPTIMAL
2,50,107.521,-0.23052390148148183,OPTIMAL
3,50,134.707,-19.33415897515262,OPTIMAL
4,50,30.718,-0.46051749573404754,OPTIMAL
5,50,102.987,-0.16434010863384357,OPTIMAL
6,50,2.52,-64.56615958540193,Optimal (tree empty)
7,50,30.909,-0.2491054626984166,OPTIMAL
8,50,41.609,-0.5547321061314298,OPTIMAL
9,50,22.958,-0.5012656924328536,OPTIMAL
10,50,51.098,-0.42091929079241014,OPTIMAL
1,55,23.158,-0.37150228804440605,OPTIMAL
2,55,18.581,-0.43654689958656684,OPTIMAL
3,55,708.013,-9.774816314864928,OPTIMAL
4,55,89.914,-0.49931101173409276,OPTIMAL
5,55,32.947,-0.6678913143658668,OPTIMAL
6,55,30.636,-0.5071732620592952,OPTIMAL
7,55,145.474,-0.07066400005878148,OPTIMAL
8,55,77.746,-0.20585926256564374,OPTIMAL
9,55,21.674,-0.3395042653608911,OPTIMAL
10,55,34.35,-0.20557635134590632,Optimal (tree empty)
1,60,119.001,-0.20061002656753757,OPTIMAL
2,60,69.76,-0.5574431006154253,OPTIMAL
3,60,53.783,-0.5420019957947143,OPTIMAL
4,60,1800.404,-11.854542992121594,Time limit reached
5,60,175.455,-0.7346714967185294,OPTIMAL
6,60,33.061,-0.3735903360552262,OPTIMAL
7,60,24.261,-0.7475508138687066,OPTIMAL
8,60,25.689,-0.43645666858700205,OPTIMAL
9,60,121.248,-0.11493894999813742,OPTIMAL
10,60,1800.287,-1.430375799740856,Time limit reached
1,65,126.485,-0.11508688561113073,OPTIMAL
2,65,92.542,-0.21018679197839957,OPTIMAL
3,65,108.418,-0.24032260066225714,OPTIMAL
4,65,126.161,-0.9459270386231435,OPTIMAL
5,65,145.308,-0.8178466653213661,OPTIMAL
6,65,151.15,-0.2401428959893328,OPTIMAL
7,65,149.168,-0.2782654146816429,OPTIMAL
8,65,64.129,-0.5713142425056628,OPTIMAL
9,65,185.847,-0.07944925048456003,OPTIMAL
10,65,55.115,-0.9792786167793547,OPTIMAL
1,70,45.265,-0.39602870126350564,OPTIMAL
2,70,41.618,-0.3513511715593509,OPTIMAL
3,70,147.609,-0.11200773758582638,OPTIMAL
4,70,1800.215,-35.582495037056546,Time limit reached
5,70,146.23,-0.15227893218830102,OPTIMAL
