Dimension,numInstances,Boscia_BLMO_LazyTerm,Boscia_BLMO_LazyTermRel,Boscia_BLMO_LazyTime,Boscia_BLMO_LazyRelGapNT,Boscia_BLMO_LazyNodesOCuts,Boscia_BLMO_DICGTerm,Boscia_BLMO_DICGTermRel,Boscia_BLMO_DICGTime,Boscia_BLMO_DICGRelGapNT,Boscia_BLMO_DICGNodesOCuts,Boscia_MIP_LazyTerm,Boscia_MIP_LazyTermRel,Boscia_MIP_LazyTime,Boscia_MIP_LazyRelGapNT,Boscia_MIP_LazyNodesOCuts,Boscia_MIP_DICGTerm,Boscia_MIP_DICGTermRel,Boscia_MIP_DICGTime,Boscia_MIP_DICGRelGapNT,Boscia_MIP_DICGNodesOCuts,Boscia_BLMO_DICG_LazyTerm,Boscia_BLMO_DICG_LazyTermRel,Boscia_BLMO_DICG_LazyTime,Boscia_BLMO_DICG_LazyRelGapNT,Boscia_BLMO_DICG_LazyNodesOCuts,Boscia_MIP_DICG_LazyTerm,Boscia_MIP_DICG_LazyTermRel,Boscia_MIP_DICG_LazyTime,Boscia_MIP_DICG_LazyRelGapNT,Boscia_MIP_DICG_LazyNodesOCuts,Boscia_BLMO_DICG_WSTerm,Boscia_BLMO_DICG_WSTermRel,Boscia_BLMO_DICG_WSTime,Boscia_BLMO_DICG_WSRelGapNT,Boscia_BLMO_DICG_WSNodesOCuts,Boscia_BLMO_DICG_Lazy_WSTerm,Boscia_BLMO_DICG_Lazy_WSTermRel,Boscia_BLMO_DICG_Lazy_WSTime,Boscia_BLMO_DICG_Lazy_WSRelGapNT,Boscia_BLMO_DICG_Lazy_WSNodesOCuts,Boscia_MIP_DICG_Lazy_WSTerm,Boscia_MIP_DICG_Lazy_WSTermRel,Boscia_MIP_DICG_Lazy_WSTime,Boscia_MIP_DICG_Lazy_WSRelGapNT,Boscia_MIP_DICG_Lazy_WSNodesOCuts,Boscia_MIP_DICG_WSTerm,Boscia_MIP_DICG_WSTermRel,Boscia_MIP_DICG_WSTime,Boscia_MIP_DICG_WSRelGapNT,Boscia_MIP_DICG_WSNodesOCuts
40,10,10,100 %,7.18,0.0,513,10,100 %,8.04,0.0,1301,10,100 %,10.13,0.0,513,10,100 %,13.45,0.0,1290,10,100 %,6.87,0.0,1121,10,100 %,12.44,0.0,1120,10,100 %,7.68,0.0,1223,10,100 %,8.05,0.0,619,10,100 %,12.69,0.0,619,10,100 %,14.97,0.0,1223
50,10,10,100 %,7.51,0.0,744,10,100 %,6.69,0.0,1920,10,100 %,10.92,0.0,744,10,100 %,17.27,0.0,1912,10,100 %,6.8,0.0,1692,10,100 %,15.04,0.0,1695,10,100 %,7.87,0.0,1796,10,100 %,7.74,0.0,907,10,100 %,11.38,0.0,907,10,100 %,18.67,0.0,1796
60,10,10,100 %,8.44,0.01,1687,10,100 %,7.64,0.01,4327,10,100 %,10.18,0.01,1687,10,100 %,29.14,0.01,4324,10,100 %,7.21,0.01,3854,10,100 %,22.2,0.01,3872,10,100 %,8.28,0.01,4079,10,100 %,7.53,0.01,2074,10,100 %,15.57,0.01,2074,10,100 %,25.62,0.01,4079
70,10,10,100 %,7.72,0.01,2655,10,100 %,7.23,0.01,6927,10,100 %,12.07,0.01,2655,10,100 %,40.07,0.01,6936,10,100 %,8.01,0.01,6189,10,100 %,31.47,0.01,6186,10,100 %,7.34,0.01,6578,10,100 %,7.59,0.01,3306,10,100 %,24.61,0.01,3306,10,100 %,34.22,0.01,6578
80,10,10,100 %,7.53,0.01,5790,10,100 %,7.46,0.01,15106,10,100 %,16.46,0.01,5790,10,100 %,65.38,0.01,15114,10,100 %,7.29,0.01,13736,10,100 %,60.77,0.01,13756,10,100 %,7.74,0.01,14375,10,100 %,7.63,0.01,7157,10,100 %,40.93,0.01,7157,10,100 %,73.71,0.01,14375
90,10,10,100 %,8.12,0.01,9731,10,100 %,7.95,0.01,25838,10,100 %,16.39,0.01,9731,10,100 %,107.27,0.01,25838,10,100 %,10.34,0.01,23393,10,100 %,108.36,0.01,23445,10,100 %,8.43,0.01,24700,10,100 %,8.5,0.01,12082,10,100 %,62.72,0.01,12082,10,100 %,115.21,0.01,24700
100,10,10,100 %,7.65,0.01,15110,10,100 %,8.32,0.01,40685,10,100 %,27.8,0.01,15110,10,100 %,162.02,0.01,40681,10,100 %,10.73,0.01,36472,10,100 %,156.86,0.01,36471,10,100 %,9.14,0.01,38528,10,100 %,8.44,0.01,18692,10,100 %,71.58,0.01,18688,10,100 %,152.97,0.01,38528
110,10,10,100 %,8.71,0.01,20691,10,100 %,8.49,0.01,55194,10,100 %,38.87,0.01,20691,10,100 %,279.21,0.01,55194,10,100 %,9.13,0.01,50178,10,100 %,271.96,0.01,50183,10,100 %,9.28,0.01,53900,10,100 %,9.27,0.01,25908,10,100 %,131.03,0.01,25908,10,100 %,249.14,0.01,53898
120,10,10,100 %,12.06,0.01,38120,10,100 %,10.92,0.01,102433,10,100 %,59.04,0.01,38120,10,100 %,448.85,0.01,102457,10,100 %,11.42,0.01,91830,10,100 %,434.67,0.01,91841,10,100 %,12.53,0.01,101032,10,100 %,14.09,0.01,47778,10,100 %,203.48,0.01,47767,10,100 %,407.41,0.01,101034
130,10,10,100 %,20.9,0.01,93847,10,100 %,20.72,0.01,257232,10,100 %,111.92,0.01,93847,9,90 %,684.74,0.01,246126,10,100 %,21.6,0.01,229746,9,90 %,689.83,0.01,216921,10,100 %,19.09,0.01,253697,10,100 %,20.44,0.01,118433,10,100 %,339.2,0.01,118444,9,90 %,706.13,0.01,241781
140,10,10,100 %,55.53,0.01,245696,10,100 %,54.32,0.01,677454,10,100 %,265.58,0.01,245696,7,70 %,1430.09,0.04,389374,10,100 %,54.19,0.01,620598,7,70 %,1525.58,0.05,315074,10,100 %,57.85,0.01,653261,10,100 %,53.79,0.01,308672,8,80 %,955.01,0.02,247593,7,70 %,1607.65,0.04,399708
150,10,10,100 %,68.27,0.01,254856,10,100 %,81.62,0.01,705263,10,100 %,385.74,0.01,254856,7,70 %,2223.36,0.04,497416,10,100 %,73.61,0.01,635955,6,60 %,2379.28,0.04,456992,10,100 %,82.28,0.01,700448,10,100 %,78.46,0.01,323649,9,90 %,1317.51,0.01,294501,7,70 %,2339.05,0.04,487081
160,10,9,90 %,160.76,0.02,430847,9,90 %,198.49,0.02,1212077,8,80 %,718.27,0.03,373048,4,40 %,2568.13,0.09,539087,9,90 %,200.76,0.02,1099504,5,50 %,2375.27,0.08,513720,9,90 %,186.0,0.02,1208232,9,90 %,193.54,0.02,537463,7,70 %,1689.4,0.04,383405,4,40 %,2734.7,0.09,524834
170,10,9,90 %,443.06,0.02,654040,9,90 %,452.53,0.02,1835470,7,70 %,1455.56,0.02,575147,2,20 %,3254.42,0.13,623188,9,90 %,478.21,0.02,1679013,2,20 %,3120.87,0.13,573210,9,90 %,532.64,0.02,1791466,9,90 %,445.45,0.02,835588,5,50 %,2768.35,0.06,486396,2,20 %,3257.75,0.13,639726
180,10,6,60 %,745.07,0.06,711504,6,60 %,742.65,0.06,2088247,6,60 %,1852.66,0.08,573156,1,10 %,3590.16,0.19,696873,6,60 %,757.55,0.06,1882710,1,10 %,3596.5,0.19,625196,6,60 %,822.47,0.07,1963872,6,60 %,762.6,0.06,939161,4,40 %,3080.25,0.12,505972,1,10 %,3575.5,0.19,693130
190,10,6,60 %,880.93,0.09,740067,6,60 %,933.14,0.09,2165075,4,40 %,2028.51,0.11,610104,0,0 %,3601.34,0.22,698385,6,60 %,940.15,0.09,2035557,1,10 %,3554.15,0.24,591857,6,60 %,1150.91,0.09,2038371,6,60 %,872.43,0.09,947755,4,40 %,2950.14,0.15,525384,0,0 %,3601.37,0.22,694050
