seed,dimension,num_nodes,solution,termination,time
1,20,53,-2.5940747428321194,Optimal,1970.0
1,25,35,-0.5948559510950043,Optimal,1181.0
1,30,27,-30.466486394208804,Optimal,1145.0
1,35,51,-0.31990973023259317,Optimal,1251.0
1,40,75,-0.17714709018044633,Optimal,1332.0
1,45,91,-0.4495766143435196,Optimal,1455.0
1,50,89,-0.3987963226990998,Optimal,1424.0
1,55,91,0.39870374201532427,Optimal,1525.0
1,60,389,-0.502884785359348,Optimal,2915.0
1,65,101,-0.1739499304971291,Optimal,1537.0
1,70,1067,-27.96146855379713,Optimal,7334.0
1,75,135,0.1159183758015432,Optimal,1798.0
1,80,139,-0.2138040652248947,Optimal,1845.0
1,85,147,-0.1838034305051148,Optimal,1910.0
1,90,165,-0.5167234756972979,Optimal,2122.0
1,95,167,-0.032575481330355135,Optimal,2183.0
1,100,635,-0.8256838058549438,Optimal,5962.0
1,105,171,-0.0990517297396051,Optimal,2358.0
1,110,41787,-48.05171657180726,Optimal,385092.0
1,115,215,-0.08332082224035992,Optimal,2933.0
1,120,223,-0.11009527303587029,Optimal,3029.0
2,20,61,-10.16823635667852,Optimal,1326.0
2,25,43,0.15980117453465398,Optimal,1201.0
2,30,259,-5.964209829818329,Optimal,2014.0
2,35,63,-0.2614425952903845,Optimal,1301.0
2,40,151,-0.4593542501373662,Optimal,1583.0
2,45,79,-0.3474806987751189,Optimal,1364.0
2,50,83,0.2182304920425728,Optimal,1485.0
2,55,1387,-0.9085694380719259,Optimal,8417.0
2,60,113,-0.8696975564213664,Optimal,1604.0
2,65,107,-0.03615234306716023,Optimal,1581.0
2,70,6095,-1.272928968878364,Optimal,34365.0
2,75,131,-0.1532550424378124,Optimal,1783.0
2,80,139,-0.27666222169994464,Optimal,1825.0
2,85,147,-0.26961554391098613,Optimal,1909.0
2,90,155,-0.12272464853178598,Optimal,2049.0
2,95,667,-1.1136271267560511,Optimal,6105.0
2,100,167,-1.157677814905282,Optimal,2294.0
2,105,179,-0.035485018053852235,Optimal,2443.0
2,110,1939,-1.0060170367538592,Optimal,18506.0
2,115,171,-0.4961596475245813,Optimal,2549.0
2,120,211,-0.33031664148796214,Optimal,2936.0
3,20,37,0.22284190055289504,Optimal,1172.0
3,25,143,-1.7272039120226312,Optimal,1464.0
3,30,129,-12.213634663375654,Optimal,1474.0
3,35,105,-1.9656040994400632,Optimal,1479.0
3,40,77,0.16875126263836607,Optimal,1340.0
3,45,99,-0.5469593985445256,Optimal,1480.0
3,50,367,-0.587179349075226,Optimal,2608.0
3,55,79,-1.173597914383903,Optimal,1432.0
3,60,91,0.014666998278048848,Optimal,1458.0
3,65,199,-0.8268871365697346,Optimal,2039.0
3,70,3491,-11.582378118046858,Optimal,20313.0
3,75,699,-0.9809361609190361,Optimal,5231.0
3,80,131,-0.1346664604362496,Optimal,1812.0
3,85,151,-0.278909357085316,Optimal,1923.0
3,90,171,-0.5424041312142367,Optimal,2149.0
3,95,155,-0.5109378682035984,Optimal,2074.0
3,100,187,-0.0470915246024433,Optimal,2366.0
3,105,421,-0.6699234305985379,Optimal,4593.0
3,110,133927,-12.022718423177674,Time limit reached,1.800009e6
3,115,531,-0.649755723924725,Optimal,5881.0
3,120,219,-0.08136849771775005,Optimal,3050.0
4,20,161,-1.3786927753855758,Optimal,2523.0
4,25,33,-0.3393726398964769,Optimal,1206.0
4,30,51,-0.1941858028327394,Optimal,1222.0
4,35,63,0.1346594701693085,Optimal,1282.0
4,40,71,-0.09731297208819364,Optimal,1336.0
4,45,591,-11.147321771111447,Optimal,3508.0
4,50,77,-0.3466236887448868,Optimal,1430.0
4,55,91,-0.4273517597459785,Optimal,1502.0
4,60,99,-0.41853300817912836,Optimal,1477.0
4,65,119,-0.13708274105765106,Optimal,1596.0
4,70,123,-0.38184920165913233,Optimal,1658.0
4,75,131,0.0732573191478288,Optimal,1783.0
4,80,115,-0.26744790132234214,Optimal,1753.0
4,85,12135,-5.487532734422652,Optimal,89181.0
