seed,dimension,Ns,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Strong_Branching,solutionBoscia_Strong_Branching,terminationBoscia_Strong_Branching,numberNodesBoscia_Strong_Branching,dualGapBoscia_Strong_Branching,lbBoscia_Strong_Branching,relGapBoscia_Strong_Branching,timeBoscia_Hybrid_Branching_1,solutionBoscia_Hybrid_Branching_1,terminationBoscia_Hybrid_Branching_1,numberNodesBoscia_Hybrid_Branching_1,dualGapBoscia_Hybrid_Branching_1,lbBoscia_Hybrid_Branching_1,relGapBoscia_Hybrid_Branching_1,timeBoscia_Hybrid_Branching_2,solutionBoscia_Hybrid_Branching_2,terminationBoscia_Hybrid_Branching_2,numberNodesBoscia_Hybrid_Branching_2,dualGapBoscia_Hybrid_Branching_2,lbBoscia_Hybrid_Branching_2,relGapBoscia_Hybrid_Branching_2,timeBoscia_Hybrid_Branching_5,solutionBoscia_Hybrid_Branching_5,terminationBoscia_Hybrid_Branching_5,numberNodesBoscia_Hybrid_Branching_5,dualGapBoscia_Hybrid_Branching_5,lbBoscia_Hybrid_Branching_5,relGapBoscia_Hybrid_Branching_5,timeBoscia_Hybrid_Branching_10,solutionBoscia_Hybrid_Branching_10,terminationBoscia_Hybrid_Branching_10,numberNodesBoscia_Hybrid_Branching_10,dualGapBoscia_Hybrid_Branching_10,lbBoscia_Hybrid_Branching_10,relGapBoscia_Hybrid_Branching_10,timeBoscia_Hybrid_Branching_20,solutionBoscia_Hybrid_Branching_20,terminationBoscia_Hybrid_Branching_20,numberNodesBoscia_Hybrid_Branching_20,dualGapBoscia_Hybrid_Branching_20,lbBoscia_Hybrid_Branching_20,relGapBoscia_Hybrid_Branching_20,minimumTime
1,50,0.1,1800.024,0.9889242810874164,0,24415,0.15278494874538884,0.8361393323420275,0.1827266614972387,1812.067,0.8399762136523657,0,3627,0.004141761364519936,0.8358344522878458,0.004588806149796953,1807.94,0.8399762136523655,0,5399,0.003995192309771856,0.8359810213425937,0.004588806149796687,1808.564,0.8399762136523655,0,5494,0.003994171610677166,0.8359820420416884,0.004588806149796687,1802.524,0.8399762136523655,0,13589,0.003699440318787217,0.8362767733335783,0.004588806149796687,1803.05,0.8399762136523655,0,27478,0.0037209233183692625,0.8362552903339963,0.004588806149796687,1802.878,0.8399762136523655,0,31108,0.0037982589668650313,0.8361779546855005,0.004588806149796687,1800.024
1,70,1.0,1800.027,0.5086566636648585,0,33519,0.0212767917726035,0.487379871892255,0.04365545850302811,1806.769,0.5414293278046274,0,4793,0.0548466023266963,0.4865827254779311,0.1108980059076405,1807.275,0.541836246327628,0,6648,0.05495705074377194,0.486879195583856,0.11173291630601355,1807.615,0.541836246327628,0,7057,0.05494329422669386,0.4868929521009341,0.11173291630601355,1804.633,0.541836246327628,0,16799,0.05459110531146255,0.4872451410161654,0.11173291630601355,1804.496,0.5154931757257607,0,39372,0.02804169662428546,0.48745147910147524,0.057682529490509386,1804.927,0.509489455318796,0,39069,0.02205539623913816,0.4874340590796578,0.045364170130170495,1800.027
1,90,5.0,1800.032,0.5068305288643339,0,31700,0.0193862452977982,0.4874442835665357,0.039771202476625196,1806.814,0.5417959610060258,0,5982,0.0553609975951056,0.4864349634109202,0.11150336412155533,1806.86,0.5402034281019135,0,8368,0.053453891268283704,0.48674953683362976,0.10823625656115876,1801.702,0.5402034281019135,0,11531,0.05331709396628398,0.4868863341356295,0.10823625656115876,1804.98,0.5402034281019135,0,15937,0.05317110892110788,0.4870323191808056,0.10823625656115876,1803.725,0.5106211622000734,0,51551,0.02321857488241763,0.48740258731765573,0.04754774938369763,1803.918,0.5181671412046596,0,56753,0.030767932878273396,0.48739920832638617,0.06302844996628264,1800.032
1,50,10.0,2.808,0.8662129150638478,1,24,0.005983028203234042,0.8602298868606137,0.0069551503552950774,15.054,0.8662129150638476,1,24,0.0059830282030668425,0.8602298868607807,0.00695515035529482,15.523,0.8662129150638478,1,24,0.005983028203234042,0.8602298868606137,0.0069551503552950774,10.1,0.8662129150638478,1,24,0.005983028203234042,0.8602298868606137,0.0069551503552950774,10.322,0.8662129150638478,1,24,0.005983028203234042,0.8602298868606137,0.0069551503552950774,11.46,0.8662129150638478,1,24,0.005983028203234042,0.8602298868606137,0.0069551503552950774,10.046,0.8662129150638478,1,24,0.005983028203234042,0.8602298868606137,0.0069551503552950774,2.808
2,70,0.1,1800.019,0.9571916791480566,0,40493,0.14828415520840044,0.8089075239396561,0.18331410058619052,1809.973,0.8108838922071155,0,3527,0.0022936712339008958,0.8085902209732146,0.0024432561312247476,1806.133,0.8108838922071158,0,5450,0.002113943453054823,0.8087699487540609,0.002443256131225022,1803.986,0.8108838922071157,0,6618,0.002071722938206344,0.8088121692689093,0.0024432561312248847,1802.932,0.8108838922071157,0,25163,0.0018179403115340387,0.8090659518955816,0.0024432561312248847,1804.023,0.8108838922071157,0,36592,0.0018879248439552798,0.8089959673631604,0.0024432561312248847,1803.241,0.8108838922071157,0,29467,0.0016905858243851934,0.8091933063827305,0.0024432561312248847,1800.019
2,90,1.0,1800.025,1.0000000000000004,0,37271,0.7345870644508963,0.26541293554910417,2.767713875479102,1810.088,0.29412725211384577,0,4687,0.0297569381651272,0.26437031394871857,0.10818732894587632,1807.964,0.2967465487115759,0,6529,0.03221539422135972,0.2645311544902162,0.11805608908113936,1801.831,0.29674654871157585,0,8039,0.03210013023948166,0.2646464184720942,0.11805608908113915,1806.431,0.29674654871157585,0,9095,0.03206981850438223,0.2646767302071936,0.11805608908113915,1801.584,0.29674654871157585,0,48505,0.031383921557095906,0.26536262715447995,0.11805608908113915,1801.691,0.29674654871157585,0,46888,0.03136143840637662,0.26538511030519923,0.11805608908113915,1800.025
2,50,5.0,1800.02,0.2752792025467366,0,38686,0.00967066023930635,0.26560854230743025,0.03640944735923811,1810.661,0.2986694469187638,0,5980,0.03405841811380289,0.2646110288049609,0.12447229416690594,1805.91,0.2971152116194541,0,8567,0.032256416188116754,0.26485879543133733,0.11862069283734199,1803.988,0.2971152116194541,0,9890,0.03221739855115452,0.26489781306829957,0.11862069283734199,1802.855,0.2971152116194541,0,14033,0.0320631994447968,0.2650520121746573,0.11862069283734199,1801.731,0.2971152116194541,0,66559,0.03157098799606234,0.26554422362339175,0.11862069283734199,1801.767,0.2971152116194541,0,70650,0.03152869148805959,0.2655865201313945,0.11862069283734199,1800.02
2,70,10.0,5.941,0.36738772589457264,1,495,0.003422131941081319,0.3639655939534913,0.009402350106528503,19.636,0.3673877243209401,1,169,0.003505157062287545,0.36388256725865253,0.009402345782953462,15.56,0.3673877243209399,1,169,0.0035051570602061544,0.36388256726073376,0.009402345782953006,12.555,0.3673877243209399,1,169,0.0035051570602061544,0.36388256726073376,0.009402345782953006,13.127,0.3673877243209399,1,169,0.0035051570602061544,0.36388256726073376,0.009402345782953006,14.361,0.3673877243209399,1,169,0.0035051570602061544,0.36388256726073376,0.009402345782953006,11.731,0.3673877243209399,1,249,0.003626946380192342,0.36376077794074757,0.009402345782953006,5.941
3,90,0.1,1800.015,0.9828924019745227,0,33050,0.1466393988137431,0.8362530031607796,0.17535291145083032,1811.423,0.8416469039802631,0,3517,0.006003616874865503,0.8356432871053976,0.006450082450043533,1808.144,0.8416469039802632,0,5469,0.005836574089231328,0.8358103298910319,0.006450082450043666,1804.39,0.8416469039802632,0,5599,0.005832145957499257,0.835814758022764,0.006450082450043666,1802.534,0.8416469039802633,0,20663,0.005520775011606083,0.8361261289686572,0.0064500824500437984,1802.776,0.8416469039802633,0,35096,0.0052506925825127615,0.8363962113977506,0.0064500824500437984,1802.445,0.8416469039802633,0,51603,0.005282137292686784,0.8363647666875765,0.0064500824500437984,1800.015
3,50,1.0,1800.024,0.49232625889296067,0,27165,0.008631240289050712,0.48369501860390995,0.017844385319416935,1811.482,0.5269843816471264,0,4829,0.044274217620755896,0.48271016402637046,0.08949722733999327,1808.274,0.5253916022685887,0,6941,0.04242607725216013,0.4829655250164286,0.08620428588458015,1802.636,0.5253916022685887,0,6779,0.04242607725216013,0.4829655250164286,0.08620428588458015,1801.514,0.5253916022685887,0,14969,0.04211313606421052,0.4832784662043782,0.08620428588458015,1804.504,0.49982036461461943,0,33709,0.01635782625900728,0.48346253835561215,0.03333783766732206,1804.278,0.4989650772063558,0,35622,0.015476602520685279,0.4834884746856705,0.03156960070938884,1800.024
