seed,dimension,Ns,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Strong_Branching,solutionBoscia_Strong_Branching,terminationBoscia_Strong_Branching,numberNodesBoscia_Strong_Branching,dualGapBoscia_Strong_Branching,lbBoscia_Strong_Branching,relGapBoscia_Strong_Branching,timeBoscia_Hybrid_Branching_1,solutionBoscia_Hybrid_Branching_1,terminationBoscia_Hybrid_Branching_1,numberNodesBoscia_Hybrid_Branching_1,dualGapBoscia_Hybrid_Branching_1,lbBoscia_Hybrid_Branching_1,relGapBoscia_Hybrid_Branching_1,timeBoscia_Hybrid_Branching_2,solutionBoscia_Hybrid_Branching_2,terminationBoscia_Hybrid_Branching_2,numberNodesBoscia_Hybrid_Branching_2,dualGapBoscia_Hybrid_Branching_2,lbBoscia_Hybrid_Branching_2,relGapBoscia_Hybrid_Branching_2,timeBoscia_Hybrid_Branching_5,solutionBoscia_Hybrid_Branching_5,terminationBoscia_Hybrid_Branching_5,numberNodesBoscia_Hybrid_Branching_5,dualGapBoscia_Hybrid_Branching_5,lbBoscia_Hybrid_Branching_5,relGapBoscia_Hybrid_Branching_5,timeBoscia_Hybrid_Branching_10,solutionBoscia_Hybrid_Branching_10,terminationBoscia_Hybrid_Branching_10,numberNodesBoscia_Hybrid_Branching_10,dualGapBoscia_Hybrid_Branching_10,lbBoscia_Hybrid_Branching_10,relGapBoscia_Hybrid_Branching_10,timeBoscia_Hybrid_Branching_20,solutionBoscia_Hybrid_Branching_20,terminationBoscia_Hybrid_Branching_20,numberNodesBoscia_Hybrid_Branching_20,dualGapBoscia_Hybrid_Branching_20,lbBoscia_Hybrid_Branching_20,relGapBoscia_Hybrid_Branching_20,minimumTime
3,70,5.0,1800.022,0.4981649506011814,0,29469,0.014696435978876932,0.48346851462230445,0.030397917412177483,1808.757,0.526764863737885,0,6229,0.04391146413630642,0.4828533996015786,0.08955360650404413,1802.807,0.5232232499060389,0,8827,0.04018049980217231,0.48304275010386655,0.082228178426038,1805.634,0.5232232499060389,0,10448,0.04009058462916382,0.48313266527687504,0.082228178426038,1803.435,0.5019733395716335,0,26069,0.018575921931982653,0.48339741763965083,0.03827513972401157,1803.736,0.49864140642487775,0,37329,0.01516088044686592,0.48348052597801183,0.03138341245329426,1803.626,0.4971138672130753,0,40449,0.013649511554016114,0.4834643556590592,0.028223870175767093,1800.022
3,90,10.0,2.879,0.8569825689120638,1,33,0.004110106645874079,0.8528724622661897,0.004819133959317911,15.185,0.856982568912064,1,33,0.004110106645876299,0.8528724622661877,0.0048191339593181715,12.515,0.8569825689120638,1,33,0.004110106645874079,0.8528724622661897,0.004819133959317911,10.301,0.8569825689120638,1,33,0.004110106645874079,0.8528724622661897,0.004819133959317911,10.444,0.8569825689120638,1,33,0.004110106645874079,0.8528724622661897,0.004819133959317911,11.672,0.8569825689120638,1,33,0.004110106645874079,0.8528724622661897,0.004819133959317911,10.578,0.8569825689120638,1,33,0.004110106645874079,0.8528724622661897,0.004819133959317911,2.879
4,50,0.1,1800.023,0.5230051416915293,0,32742,0.049472701803825625,0.4735324398877037,0.10447584502459403,1807.758,0.4787996620524595,0,5741,0.007833267294788837,0.47096639475767066,0.011123255179739916,1805.983,0.47995280446765004,0,8128,0.008448801967919695,0.47150400249973035,0.013558447192063311,1805.358,0.4799528044676502,0,9868,0.008023001368784644,0.47192980309886556,0.013558447192063663,1803.559,0.47880180423135565,0,24641,0.004640754951042603,0.47416104928031305,0.011127779006864973,1804.391,0.47890826050237123,0,34932,0.004172241272792032,0.4747360192295792,0.011352592054606371,1803.524,0.4791847304811633,0,39543,0.005189945742640645,0.47399478473852263,0.011936437965686112,1800.023
4,70,1.0,1800.015,-0.9570683220182009,0,17525,0.04878631623823704,-1.005854638256438,0.050974747691324436,1805.401,-0.7649456986843051,0,4863,0.2415098620009677,-1.0064555606852728,0.3149360013220449,1807.993,-0.7686286127230954,0,6994,0.23775434037204735,-1.0063829530951427,0.3086354340790136,1807.515,-0.7686286127230954,0,7021,0.23775434037204735,-1.0063829530951427,0.3086354340790136,1803.525,-0.9389063067900195,0,21439,0.06713225249862032,-1.0060385592886398,0.07130459235629674,1803.016,-0.9524208508394226,0,35587,0.0534515438567319,-1.0058723946961545,0.05610312643819283,1802.819,-0.9469330433254182,0,28936,0.058936306478733824,-1.005869349804152,0.06222361268976342,1800.015
4,90,5.0,1800.036,-1.0089725778399885,0,17808,0.07921869873594622,-1.0881912765759347,0.07851422375178704,1810.823,-0.9854647018276356,0,7163,0.10288660497518987,-1.0883513068028254,0.10424175980913696,1807.861,-1.0085909085035887,0,9141,0.0797349740134996,-1.0883258825170883,0.07892235335577866,1806.235,-1.0058679908798724,0,13007,0.08236191107554558,-1.088229901955418,0.08184303153344293,1803.639,-1.0263332718932525,0,18926,0.061783767551870206,-1.0881170394451227,0.06027087533523514,1803.484,-1.0402357403256746,0,18493,0.04784113632602183,-1.0880768766516964,0.04610064275934834,1803.999,-1.0171837200120069,0,26203,0.07104575259472701,-1.0882294726067339,0.06980799551440885,1800.036
4,50,10.0,8.104,0.33334465944257563,1,840,0.003023414086057996,0.33032124535651763,0.009152950736773857,18.727,0.33334466304480603,1,654,0.003163697036621671,0.33018096600818436,0.009152961642007636,23.106,0.33334466304480603,1,654,0.003163697036621671,0.33018096600818436,0.009152961642007636,19.093,0.33334466304480603,1,654,0.003163697036621671,0.33018096600818436,0.009152961642007636,21.354,0.33334466304480603,1,654,0.003163697036621671,0.33018096600818436,0.009152961642007636,21.973,0.33334466304480603,1,654,0.003163697036621671,0.33018096600818436,0.009152961642007636,12.715,0.33334466189322315,1,520,0.0031563235706186243,0.3301883383226045,0.009152958155756296,8.104
5,70,0.1,1800.035,0.9632416366089152,0,23012,0.14621003716667735,0.8170315994422378,0.17895273238696083,1813.292,0.8281524838722624,0,3960,0.011599052364236861,0.8165534315080255,0.013611327196667121,1804.913,0.8281524838722624,0,5808,0.011480136998943236,0.8166723468733191,0.013611327196667121,1804.837,0.8281524838722624,0,5702,0.01148768980592374,0.8166647940663386,0.013611327196667121,1803.48,0.8281524838722623,0,16555,0.011216632553228356,0.8169358513190339,0.013611327196666986,1803.573,0.8233209423020597,0,29867,0.006310325166356434,0.8170106171357032,0.007697796344860341,1803.572,0.8281524838722623,0,28941,0.010963750287283802,0.8171887335849785,0.013611327196666986,1800.035
5,90,1.0,1800.017,0.46137730665282084,0,33380,0.013541862507941316,0.4478354441448795,0.030238478630915108,1811.608,0.5069048674369342,0,4871,0.059866880852705695,0.4470379865842285,0.13189983969412006,1805.588,0.511199222015892,0,8228,0.06387644516139973,0.44732277685449223,0.14148897479966677,1802.203,0.511199222015892,0,9591,0.06378012313823422,0.44741909887765774,0.14148897479966677,1801.743,0.511199222015892,0,13206,0.06366231506416553,0.44753690695172643,0.14148897479966677,1804.777,0.4660498254785872,0,30788,0.018324952084334933,0.44772487339425227,0.04067204052704486,1804.65,0.4723463865351463,0,37695,0.02462007629410773,0.4477263102410386,0.05473202871887302,1800.017
5,50,5.0,1800.02,0.4653157986799885,0,37580,0.017468810583494143,0.44784698809649437,0.039006203118039644,1806.199,0.5106140245618183,0,6481,0.06332125762450258,0.4472927669373157,0.14015286053860862,1802.634,0.5109458822980257,0,10963,0.06343997796954043,0.4475059043284853,0.1408938675008704,1803.603,0.5109458822980257,0,11508,0.06343503150816904,0.4475108507898567,0.1408938675008704,1803.72,0.46628207366076513,0,23090,0.01858411751975597,0.44769795614100916,0.0411638038309162,1804.697,0.4679234896039804,0,35805,0.02019635617567972,0.44772713342830067,0.044828930507757,1803.722,0.46633992688486037,0,41367,0.01860928063801187,0.4477306462468485,0.04129298461281927,1800.02
5,70,10.0,2.258,0.941719928409245,1,30,0.003863304259868916,0.9378566241493761,0.004119290902671699,9.629,0.941719928409245,1,30,0.003863304259868916,0.9378566241493761,0.004119290902671699,12.411,0.941719928409245,1,30,0.003863304259868916,0.9378566241493761,0.004119290902671699,10.174,0.941719928409245,1,30,0.003863304259868916,0.9378566241493761,0.004119290902671699,10.384,0.941719928409245,1,30,0.003863304259868916,0.9378566241493761,0.004119290902671699,11.632,0.941719928409245,1,30,0.003863304259868916,0.9378566241493761,0.004119290902671699,10.422,0.941719928409245,1,30,0.003863304259868916,0.9378566241493761,0.004119290902671699,2.258
6,90,0.1,1800.023,0.9198980856489041,0,61505,0.03708279471742415,0.8828152909314799,0.04200515679593315,1804.15,0.909050701593275,0,3047,0.027170509442493218,0.8818801921507817,0.029717893347897727,1804.028,0.909050701593275,0,5410,0.026869005876837715,0.8821816957164372,0.029717893347897727,1801.956,0.909050701593275,0,5506,0.026866576349838578,0.8821841252434364,0.029717893347897727,1804.112,0.909050701593275,0,10688,0.026562815705975185,0.8824878858872998,0.029717893347897727,1801.57,0.909050701593275,0,66080,0.026291325516354935,0.88275937607692,0.029717893347897727,1801.71,0.909050701593275,0,60415,0.02623711546641605,0.8828135861268589,0.029717893347897727,1800.023
6,50,1.0,1800.021,0.6255786315898251,0,41600,0.010100792343902265,0.6154778392459228,0.016411301430897418,1812.13,0.6408587382176781,0,4576,0.026546532888191754,0.6143122053294864,0.041237713778373805,1805.986,0.6408045808419952,0,7920,0.02624661278464946,0.6145579680573457,0.04114972137275075,1807.595,0.6408045808419952,0,6738,0.026318285311163092,0.6144862955308321,0.04114972137275075,1807.275,0.6408045808419952,0,7807,0.026262381337960217,0.614542199504035,0.04114972137275075,1801.596,0.6408045808419952,0,56212,0.025490847959375507,0.6153137328826197,0.04114972137275075,1801.844,0.6408045808419952,0,55929,0.025405633136398098,0.6153989477055971,0.04114972137275075,1800.021
6,70,5.0,1800.018,1.0000000000000004,0,74763,0.3845651138896127,0.6154348861103878,0.6248672647078947,1803.945,0.6381644517413704,0,6157,0.023571267237063376,0.614593184504307,0.036932527134813264,1805.239,0.6408230565849934,0,10593,0.025970756788756932,0.6148522997962365,0.041252407115010145,1807.502,0.6408230565849934,0,8958,0.02606625839617782,0.6147567981888156,0.041252407115010145,1805.408,0.6408230565849934,0,13723,0.025839866700083758,0.6149831898849096,0.041252407115010145,1801.635,0.6408230565849934,0,75528,0.025397610468145926,0.6154254461168475,0.041252407115010145,1801.772,0.6408230565849934,0,69510,0.025370076481174397,0.615452980103819,0.041252407115010145,1800.018
6,90,10.0,2.679,0.8748151635168242,1,127,0.0068051214655598935,0.8680100420512643,0.007839910987064347,10.739,0.8747496515098362,1,87,0.007753459545137065,0.8669961919646991,0.00776443719780588,13.996,0.8747496515098362,1,87,0.007753459545137065,0.8669961919646991,0.00776443719780588,11.317,0.8747496515098362,1,87,0.007753459545137065,0.8669961919646991,0.00776443719780588,11.5,0.8747496515098362,1,87,0.007753459545137065,0.8669961919646991,0.00776443719780588,13.579,0.8747496515098362,1,87,0.007753459545137065,0.8669961919646991,0.00776443719780588,11.468,0.8747496515098362,1,87,0.007753459545137065,0.8669961919646991,0.00776443719780588,2.679
7,50,0.1,1800.009,0.8898007903567755,0,26010,0.12149215162884186,0.7683086387279336,0.15812935779297352,1808.914,0.7742116418497522,0,4803,0.007006592911506404,0.7672050489382458,0.007683114342683956,1805.968,0.7742116418497522,0,8283,0.006658449089621321,0.7675531927601309,0.007683114342683956,1807.142,0.7742116418497522,0,7220,0.006752284443201972,0.7674593574065502,0.007683114342683956,1803.133,0.7742116418497522,0,20485,0.0060143841721735924,0.7681972576775786,0.007683114342683956,1803.409,0.7742628909954077,0,25101,0.006300767591854606,0.7679621234035531,0.007749818194589506,1803.295,0.7742116418497522,0,29054,0.006562373014506018,0.7676492688352462,0.007683114342683956,1800.009
7,70,1.0,1800.02,0.18329837824137984,0,27978,0.02054931184072495,0.1627490664006549,0.12626377708451333,1803.836,0.22576723137184143,0,6794,0.0637246582840223,0.16204257308781914,0.3872106081152485,1804.404,0.22576723137184143,0,8150,0.06359539600193964,0.1621718353699018,0.3872106081152485,1807.712,0.22576723137184143,0,6931,0.06371503261034575,0.16205219876149568,0.3872106081152485,1802.281,0.22576723137184143,0,12416,0.06335480484826853,0.1624124265235729,0.3872106081152485,1804.763,0.18513640290425626,0,31552,0.02250461483805996,0.1626317880661963,0.13755738818487795,1804.303,0.18875788924127013,0,34339,0.026080879761026354,0.16267700948024377,0.15980935200320492,1800.02
7,90,5.0,1800.018,0.18642334711725336,0,31185,0.023737027500578767,0.1626863196166746,0.14590672133040147,1807.723,0.22559359007699392,0,9168,0.06339227765162864,0.16220131242536528,0.3866783058867085,1804.624,0.22559359007699387,0,9993,0.06333734258743487,0.162256247489559,0.38667830588670815,1804.598,0.22559359007699387,0,9135,0.06339227765163094,0.16220131242536293,0.38667830588670815,1801.599,0.22559359007699387,0,20897,0.06304600384441394,0.16254758623257992,0.38667830588670815,1803.812,0.18088437491400083,0,39186,0.01823486773458316,0.16264950717941767,0.11185977616436915,1803.505,0.1868425611725297,0,39961,0.02417062184702007,0.16267193932550963,0.14848354559112667,1800.018
7,50,10.0,2.404,0.6930363224575776,1,80,0.0052327920791302995,0.6878035303784473,0.007607975021952972,10.527,0.6930363224575776,1,73,0.005778062638723491,0.6872582598188541,0.007607975021952972,13.786,0.6930363224575776,1,73,0.005778062638723491,0.6872582598188541,0.007607975021952972,11.182,0.6930363224575776,1,73,0.005778062638723491,0.6872582598188541,0.007607975021952972,11.394,0.6930363224575776,1,73,0.005778062638723491,0.6872582598188541,0.007607975021952972,13.116,0.6930363224575776,1,73,0.005778062638723491,0.6872582598188541,0.007607975021952972,11.362,0.6930363224575776,1,73,0.005778062638723491,0.6872582598188541,0.007607975021952972,2.404
8,70,0.1,1800.027,0.8034801858866946,0,37091,0.10340890101993438,0.7000712848667602,0.14771195913229823,1808.476,0.7126680211486925,0,8092,0.012967339335933414,0.6997006818127591,0.017993505167591347,1806.732,0.7126680211486925,0,10030,0.012690760286685476,0.6999772608620071,0.017993505167591347,1804.494,0.7126680211486925,0,7974,0.013013837015434349,0.6996541841332582,0.017993505167591347,1802.858,0.7113507860839675,0,22604,0.010054473527997265,0.7012963125559702,0.01611193240036132,1803.476,0.7094122317023602,0,29298,0.007978052668208613,0.7014341790341516,0.013342850988921576,1803.455,0.712439262522355,0,34222,0.011711554157347592,0.7007277083650074,0.01766674040622698,1800.027
8,90,1.0,1800.021,-0.20700861217746053,0,29386,0.02178283048669688,-0.2287914426641574,0.10522668722605269,1806.761,-0.1420765082387414,0,7137,0.08743277390877616,-0.22950928214751756,0.6103397071083887,1805.568,-0.1420765082387414,0,8808,0.08728353193185198,-0.2293600401705934,0.6103397071083887,1807.506,-0.1420765082387414,0,7064,0.08743277390877591,-0.2295092821475173,0.6103397071083887,1802.166,-0.1420765082387414,0,12734,0.08713570506285392,-0.22921221330159533,0.6103397071083887,1803.088,-0.19701987951564076,0,49978,0.031840959430987276,-0.22886083894662804,0.16126069727899922,1803.604,-0.205855338816655,0,39440,0.022963229479126768,-0.22881856829578176,0.11141855236472856,1800.021
8,50,5.0,1800.02,-0.20067102316925936,0,35051,0.030585703514553586,-0.23125672668381295,0.152417140409732,1804.663,-0.14847834037571292,0,10391,0.08296209284629313,-0.23144043322200605,0.5575115272613888,1805.891,-0.14847834037571292,0,13374,0.08290501611657045,-0.23138335649228337,0.5575115272613888,1805.711,-0.14847834037571292,0,10242,0.08296209284626369,-0.2314404332219766,0.5575115272613888,1803.137,-0.19944046223846784,0,28985,0.03184487221401949,-0.23128533445248733,0.15952763089419084,1802.748,-0.20122475807575974,0,38271,0.030021279450665267,-0.231246037526425,0.1492458924798229,1803.066,-0.1942628435892939,0,48816,0.03702557805150447,-0.23128842164079838,0.1904321094605753,1800.02
8,70,10.0,5.638,0.26320428439175897,1,1153,0.00254316390634568,0.2606611204854133,0.00975659086253332,36.247,0.26320428356742726,1,1858,0.002574361178661777,0.2606299223887655,0.009756587700068153,38.28,0.26320428356742726,1,1858,0.002574361178661777,0.2606299223887655,0.009756587700068153,32.575,0.26320428356742726,1,1858,0.002574361178661777,0.2606299223887655,0.009756587700068153,44.132,0.26320428356742726,1,1858,0.002574361178661777,0.2606299223887655,0.009756587700068153,34.275,0.26320428356742726,1,1719,0.002574361178661777,0.2606299223887655,0.009756587700068153,14.805,0.2632042841865468,1,1281,0.002601080192473959,0.26060320399407283,0.009756590075257565,5.638
9,90,0.1,1800.023,0.9093250241821065,0,43799,0.13208739766746014,0.7772376265146463,0.16994467735662444,1806.871,0.7862998526099123,0,6976,0.009232119719245424,0.7770677328906669,0.011659530864329816,1804.495,0.7862998526099123,0,8322,0.009141895240694198,0.7771579573692181,0.011659530864329816,1807.127,0.7862998526099123,0,6957,0.009232119719245313,0.777067732890667,0.011659530864329816,1806.257,0.7865761192842172,0,22477,0.008966483887534071,0.7776096353966832,0.012014977724955661,1804.003,0.7845193689020702,0,29744,0.006629239687983901,0.7778901292140863,0.00936874662138688,1803.271,0.7862469046400222,0,32010,0.009019856335842125,0.7772270483041801,0.011591407592779625,1800.023
9,50,1.0,1800.011,0.13548847120428625,0,40870,0.01565416949625352,0.11983430170803273,0.13063179134129496,1807.514,0.17022850709710385,0,6939,0.0510795374481354,0.11914896964896846,0.42053239073277043,1802.023,0.17022850709710385,0,8321,0.0509756337428412,0.11925287335426266,0.42053239073277043,1803.221,0.17022850709710385,0,7028,0.051068917494902,0.11915958960220185,0.42053239073277043,1801.597,0.17022850709710385,0,10003,0.05086906489954918,0.11935944219755468,0.42053239073277043,1803.869,0.14564271129897696,0,37428,0.025833196543452328,0.11980951475552463,0.21536746343150126,1804.108,0.14752985025795365,0,42126,0.02771649989937601,0.11981335035857764,0.23111536642821215,1800.011
9,70,5.0,1800.019,0.13737850008427402,0,40349,0.017526666558921725,0.1198518335253523,0.14623611540506223,1804.081,0.17219055341236017,0,9435,0.05274331335875282,0.11944724005360735,0.4366951956219898,1806.143,0.17219055341236017,0,10783,0.052693237665417655,0.11949731574694251,0.4366951956219898,1805.988,0.17219055341236017,0,9393,0.052745327010085205,0.11944522640227496,0.4366951956219898,1806.28,0.17219055341236017,0,30474,0.05238752040290054,0.11980303300945963,0.4366951956219898,1802.86,0.14314428969932055,0,41934,0.023302037520696844,0.11984225217862371,0.1943437617000761,1803.837,0.14439303451867605,0,46627,0.024553550923841982,0.11983948359483407,0.2047628331704458,1800.019
9,90,10.0,2.581,0.6407601876218824,1,81,0.004871874782073182,0.6358883128398092,0.007661525905887326,10.712,0.6407601766805252,1,79,0.004350702398998263,0.6364094742815269,0.007661508699473978,13.628,0.6407601766805252,1,79,0.004350702398998263,0.6364094742815269,0.007661508699473978,11.303,0.6407601766805252,1,79,0.004350702398998263,0.6364094742815269,0.007661508699473978,11.45,0.6407601766805252,1,79,0.004350702398998263,0.6364094742815269,0.007661508699473978,13.488,0.6407601766805252,1,79,0.004350702398998263,0.6364094742815269,0.007661508699473978,11.595,0.6407601766805252,1,79,0.004350702398998263,0.6364094742815269,0.007661508699473978,2.581
