seed,dimension,var_A,p,k,M,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,5,1,25,5.0,0.1,0.6330541727029532,0.006171862821174545,0.009845329376639251,1913,OPTIMAL,4.427
1,5,5,25,5.0,0.1,0.28694865548636417,0.0020884385276803696,0.007331450316150245,1368,OPTIMAL,3.236
1,5,1,25,5.0,1.0,0.6330541727029194,0.006261533312282075,0.009989800324345682,50802,OPTIMAL,159.428
1,5,5,25,5.0,1.0,0.2867351506391778,0.0028369811963130376,0.009992953465957403,74203,OPTIMAL,227.785
2,5,1,25,5.0,0.1,0.561558803563659,0.0035444455575379674,0.0063518895287979086,78,OPTIMAL,0.881
2,5,5,25,5.0,0.1,0.20313961626515484,0.0017881421733989544,0.008880700682549252,167,OPTIMAL,1.306
2,5,1,25,5.0,1.0,0.5304053488365846,0.005179502514635614,0.009861476831170113,13737,OPTIMAL,28.63
2,5,5,25,5.0,1.0,0.15519907526447277,0.0014664893757479203,0.009539222717618232,26213,OPTIMAL,87.533
3,5,1,25,5.0,0.1,0.6595374915715047,0.006469767137026627,0.009906732326465991,2322,OPTIMAL,8.444
3,5,5,25,5.0,0.1,0.38760816244687524,0.0036715345976249814,0.0095628661901635,2358,OPTIMAL,5.073
3,5,1,25,5.0,1.0,0.6595374915714965,0.006510768543108059,0.009970141057803267,22729,OPTIMAL,70.262
3,5,5,25,5.0,1.0,0.3872486896147957,0.003833164918779719,0.009997417088989222,98537,OPTIMAL,270.31
1,10,1,50,10.0,0.1,0.4718474259178642,0.0026424354629098756,0.005631729237039223,62,OPTIMAL,0.989
1,10,5,50,10.0,0.1,0.10447247263399045,0.0010093425253391713,0.009755576931407502,3422,OPTIMAL,17.444
1,10,1,50,10.0,1.0,0.40512819222018664,0.05404831957235512,0.15394878426018752,526558,Time limit reached,1800.16
1,10,5,50,10.0,1.0,0.08746280438412808,0.024829754302027635,0.39643214356446604,512437,Time limit reached,1800.207
2,10,1,50,10.0,0.1,0.6484994987895639,0.008425225698988958,0.01316288757913682,553991,Time limit reached,1800.148
2,10,5,50,10.0,0.1,0.3194128293759913,0.006503370516843021,0.020783553621402096,522168,Time limit reached,1800.14
2,10,1,50,10.0,1.0,0.6484994987895611,0.018932248873212876,0.030071845185289478,303719,Time limit reached,1800.174
2,10,5,50,10.0,1.0,0.3198717719193123,0.04525023941602824,0.16477309336800497,292778,Time limit reached,1800.183
3,10,1,50,10.0,0.1,0.6681557145501542,0.009858652852926753,0.014975994010225542,314833,Time limit reached,1800.149
3,10,5,50,10.0,0.1,0.42004685877632925,0.015984624962528837,0.03955980941761278,332125,Time limit reached,1800.196
3,10,1,50,10.0,1.0,0.6681557145501444,0.01365021379679221,0.020855766347388175,319440,Time limit reached,1800.136
3,10,5,50,10.0,1.0,0.4354637801330473,0.07590052005499365,0.21109086628738774,289326,Time limit reached,1800.118
1,15,1,75,15.0,0.1,0.6931471805599453,0.07015474280681488,0.11260930078033259,271878,Time limit reached,1800.033
1,15,5,75,15.0,0.1,0.6931471805599453,0.42084950350556677,1.5455493710345611,266958,Time limit reached,1800.03
1,15,1,75,15.0,1.0,0.6385696145987435,0.02076704117600703,0.03361436495959205,238273,Time limit reached,1800.28
1,15,5,75,15.0,1.0,0.3134311195648377,0.05459846482920322,0.210941176973859,231492,Time limit reached,1800.317
2,15,1,75,15.0,0.1,0.6931471805599453,0.061203992423586984,0.09685046626435131,273965,Time limit reached,1800.028
2,15,5,75,15.0,0.1,0.6931471805599453,0.402910652409874,1.3882148293943994,272860,Time limit reached,1800.039
2,15,1,75,15.0,1.0,0.6535000643878349,0.024454986123270017,0.03887636509411603,243958,Time limit reached,1800.25
2,15,5,75,15.0,1.0,0.3541476515852805,0.08308966222023423,0.30653832567293765,233732,Time limit reached,1800.259
3,15,1,75,15.0,0.1,0.6157929994854142,0.021804255844854126,0.036708197046320654,278170,Time limit reached,1800.175
3,15,5,75,15.0,0.1,0.24568316421158842,0.030654518462427283,0.14256016148744624,276401,Time limit reached,1800.212
3,15,1,75,15.0,1.0,0.6162763311014614,0.044948378991751414,0.07867351636791638,259921,Time limit reached,1800.258
3,15,5,75,15.0,1.0,0.2512161674035276,0.07154585497837765,0.3982063258680168,243885,Time limit reached,1800.144
