seed,dimension,p,k,Ns,solution,dual_gap,rel_dual_gap,ncalls,termination,time
3,70,70,35.0,1.0,-21509.317644634684,7.556445780210197e-8,3.5131034396598296e-12,18,OPTIMAL,6.404
3,70,70,35.0,5.0,-13073.4919523863,9.327777661383152e-9,7.134878497156649e-13,25,OPTIMAL,6.869
3,70,70,35.0,10.0,-18482.32813137273,5.932452040724456e-8,3.2097969468762144e-12,24,OPTIMAL,6.407
4,70,70,35.0,0.1,-328.13495141799325,5.140539417425316e-5,1.566593072518222e-7,3,OPTIMAL,4.55
4,70,70,35.0,1.0,-193.46503154001775,618.9484313126248,3.1992780627366084,45,OPTIMAL,7.747
4,70,70,35.0,5.0,-497.65893816227657,2.0390245936141582e-8,4.0972329385738336e-11,67,OPTIMAL,8.121
4,70,70,35.0,10.0,-550.9697502267926,7.876610652601812e-8,1.429590399356699e-10,75,OPTIMAL,8.428
5,70,70,35.0,0.1,-5397.011808484763,0.0,0.0,3,OPTIMAL,4.568
5,70,70,35.0,1.0,-15979.851906571737,3.4235199564136565e-8,2.1423977996978365e-12,26,OPTIMAL,6.829
5,70,70,35.0,5.0,-9978.941494662175,4.4186890590935946e-8,4.42801379430593e-12,56,OPTIMAL,8.321
5,70,70,35.0,10.0,-13210.445066072783,2.999695425387472e-8,2.270699745833185e-12,53,OPTIMAL,8.086
6,70,70,35.0,0.1,-2064.4753519199753,0.0,0.0,3,OPTIMAL,4.56
6,70,70,35.0,1.0,-5546.8208574263035,9.104951459448785e-8,1.6414720600285325e-11,28,OPTIMAL,7.683
6,70,70,35.0,5.0,-3351.279194378927,3.9508449845016e-8,1.1789065474247327e-11,34,OPTIMAL,6.923
6,70,70,35.0,10.0,-3715.2149357820736,9.053565008798614e-9,2.4368886229439074e-12,52,OPTIMAL,8.13
7,70,70,35.0,0.1,-131.6705302495301,0.0,0.0,3,OPTIMAL,4.595
7,70,70,35.0,1.0,-81.30796067167276,306.9778271335824,3.7754953463066228,163,OPTIMAL,11.031
7,70,70,35.0,5.0,-251.43412986048463,8.478664881295117e-8,3.372121710763668e-10,44,OPTIMAL,6.959
7,70,70,35.0,10.0,-248.2383559798765,7.727004458502051e-8,3.112735913836153e-10,103,OPTIMAL,8.587
8,70,70,35.0,0.1,-1838.5093965151996,0.0,0.0,3,OPTIMAL,4.578
8,70,70,35.0,1.0,-705.5430752045067,3330.0327453223417,4.7198149373900495,47,OPTIMAL,9.105
8,70,70,35.0,5.0,-2252.35762981628,3.4779077395796776e-8,1.544118790701707e-11,39,OPTIMAL,7.989
8,70,70,35.0,10.0,-2546.8074728541064,2.5432200345676392e-8,9.985913979267357e-12,41,OPTIMAL,8.096
9,70,70,35.0,0.1,-21529.041039589552,0.0,0.0,3,OPTIMAL,7.756
9,70,70,35.0,1.0,-73999.5686269785,5.181937012821436e-8,7.002658405946739e-13,19,OPTIMAL,11.258
9,70,70,35.0,5.0,-45402.62230434595,3.3076503314077854e-8,7.285152626726533e-13,27,OPTIMAL,10.676
9,70,70,35.0,10.0,-89998.59629919131,20.4397093445441,0.00022711142378925927,31,OPTIMAL,13.582
10,70,70,35.0,0.1,-69.85417711408567,0.0,0.0,3,OPTIMAL,7.698
10,70,70,35.0,1.0,-31.882801384488275,2.630991247087877e-8,8.252070498321756e-10,63,OPTIMAL,10.751
10,70,70,35.0,5.0,-90.2677072482818,4.200762759865029e-8,4.6536717148590127e-10,94,OPTIMAL,14.853
10,70,70,35.0,10.0,-94.39716555917771,2.815943389578024e-8,2.98308044833476e-10,86,OPTIMAL,14.236
1,90,90,45.0,0.1,-3394.920373277349,0.0,0.0,3,OPTIMAL,8.126
1,90,90,45.0,1.0,-7150.225953983165,290.5535383109136,0.04063557434140321,13717,Time limit reached,1807.451
1,90,90,45.0,5.0,-4637.851414543107,8.014831109903753e-8,1.72813451607598e-11,40,OPTIMAL,13.449
