seed,dimension,varA,p,M,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeIpopt,solutionIpopt,terminationIpopt,numberNodesIpopt,relGapIpopt,timeScipOA,solutionScipOA,terminationScipOA,numberNodesScipOA,relGapScipOA,timePavito,solutionPavito,terminationPavito,relGapPavito,timeShot,solutionShot,terminationShot,relGapShot,minimumTime
1,5,1,25,0.1,3.004,0.633054172702953,1,1208,0.006238038242867505,0.6268161344600856,0.009951942682906053,43.102,0.6330541634511341,1,1215,0.00995192792288558,1800.0,0.6538391778664474,0,103,0.04311159512452313,1800.0,NaN,0,Inf,1.6233530044555664,0.633054172524986,1,0.009951942398983742,1.1304750000000001
1,10,5,50,0.1,1.731,0.28694865548636417,1,897,0.0020145471396686987,0.28493410834669547,0.007070221081491182,11.688,0.2869486348793038,1,213,0.00707014875929532,1800.0,0.3958092142887905,0,75,0.38912542477079304,1222.0133788585663,0.28694883815738637,1,0.00707086218066761,4.520857095718384,0.28694865517026724,1,0.007070219972122674,1.5091649999999999
1,15,1,75,1.0,46.134,0.6330541727029194,1,24861,0.006266560957103762,0.6267876117458157,0.009997901744817943,83.224,0.633054172689896,1,4407,0.009997901724039995,1800.0,0.6538393811748692,0,98,0.04315938752156442,1800.0,NaN,0,Inf,3.8691608905792236,0.6330541725339214,1,0.00999790147519226,0.9003089999999999
1,20,5,100,1.0,95.854,0.2867351506391778,1,37948,0.002833152247559312,0.2839019983916185,0.009979331824396745,115.889,0.2867351130900134,1,5759,0.009979199563389067,1800.0,0.3949207611839686,0,106,0.3910460772425041,1800.0,NaN,0,Inf,19.3983371257782,0.2867351500849805,1,0.00997932987232419,0.9249729999999999
2,5,1,25,0.1,0.138,0.561558803563659,1,44,0.004645671566534837,0.5569131319971241,0.008341824423990826,3.945,0.5615589174207781,1,83,0.008342028867220184,1800.0,0.6068296931594598,0,26,0.0896307849364799,6.392085075378418,0.561560050840242,1,0.008344064049008365,0.815986156463623,0.561558803563659,1,0.008341824423990826,0.138
2,10,5,50,0.1,0.213,0.20313961626515484,1,97,0.001686821856970916,0.20145279440818392,0.008373285969680198,3.714,0.20313971626323657,1,53,0.00837378235436439,1800.0,0.3094217684103034,0,26,0.5359517316168501,5.3895509243011475,0.20314006442464355,1,0.008375510607417444,3.1647160053253174,0.20313961608842612,1,0.008373285092409095,0.213
2,15,1,75,1.0,16.013,0.5304053488365846,1,8998,0.005216047258271073,0.5251893015783136,0.009931746976938908,66.365,0.5304053482494641,1,3135,0.0099317458590171,1800.0,0.5823943996073447,0,123,0.10892281670079115,1800.0,NaN,0,Inf,6.1278510093688965,0.5304053487584914,1,0.009931746828243574,0.8958499999999999
2,20,5,100,1.0,39.16,0.15519907526447274,1,14674,0.0014597731483160514,0.1537393021161567,0.009495120169162272,87.99,0.1551990676842367,1,3857,0.009495070863383297,1800.0,0.21604874977477995,0,172,0.4052929003902059,1800.0,NaN,0,Inf,57.30695605278015,0.1551990751704862,1,0.00949511955782516,0.945311
3,5,1,25,0.1,2.919,0.6595374915715047,1,1475,0.0064063725717237174,0.6531311189997809,0.009808708213956447,64.853,0.6595374944590824,1,3293,0.009808712635086675,1800.0,0.6749461820451982,0,79,0.033400740541692925,1800.0,NaN,0,Inf,1.471060037612915,0.6595374914316379,1,0.009808707999808352,1.351035
3,10,5,50,0.1,3.209,0.38760816244687524,1,1668,0.003584151978040906,0.38402401046883433,0.009333145533439972,20.841,0.3876081283987773,1,581,0.009333056872061974,1800.0,0.500115119464954,0,87,0.3023016942466443,1233.836853981018,0.3876082668314628,1,0.009333417351307447,7.56010103225708,0.38760816208045756,1,0.00933314457928694,1.356735
