seed,dimension,varA,M,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Strong_Branching,solutionBoscia_Strong_Branching,terminationBoscia_Strong_Branching,numberNodesBoscia_Strong_Branching,dualGapBoscia_Strong_Branching,lbBoscia_Strong_Branching,relGapBoscia_Strong_Branching,timeBoscia_Hybrid_Branching_1,solutionBoscia_Hybrid_Branching_1,terminationBoscia_Hybrid_Branching_1,numberNodesBoscia_Hybrid_Branching_1,dualGapBoscia_Hybrid_Branching_1,lbBoscia_Hybrid_Branching_1,relGapBoscia_Hybrid_Branching_1,timeBoscia_Hybrid_Branching_2,solutionBoscia_Hybrid_Branching_2,terminationBoscia_Hybrid_Branching_2,numberNodesBoscia_Hybrid_Branching_2,dualGapBoscia_Hybrid_Branching_2,lbBoscia_Hybrid_Branching_2,relGapBoscia_Hybrid_Branching_2,timeBoscia_Hybrid_Branching_5,solutionBoscia_Hybrid_Branching_5,terminationBoscia_Hybrid_Branching_5,numberNodesBoscia_Hybrid_Branching_5,dualGapBoscia_Hybrid_Branching_5,lbBoscia_Hybrid_Branching_5,relGapBoscia_Hybrid_Branching_5,timeBoscia_Hybrid_Branching_10,solutionBoscia_Hybrid_Branching_10,terminationBoscia_Hybrid_Branching_10,numberNodesBoscia_Hybrid_Branching_10,dualGapBoscia_Hybrid_Branching_10,lbBoscia_Hybrid_Branching_10,relGapBoscia_Hybrid_Branching_10,timeBoscia_Hybrid_Branching_20,solutionBoscia_Hybrid_Branching_20,terminationBoscia_Hybrid_Branching_20,numberNodesBoscia_Hybrid_Branching_20,dualGapBoscia_Hybrid_Branching_20,lbBoscia_Hybrid_Branching_20,relGapBoscia_Hybrid_Branching_20,minimumTime
1,5,1,0.1,0.154,0.561017178215877,1,19,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,13.05,0.561017178215877,1,19,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,8.989,0.561017178215877,1,19,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,8.761,0.561017178215877,1,19,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,8.869,0.561017178215877,1,19,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,8.84,0.561017178215877,1,19,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,8.888,0.561017178215877,1,19,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,0.154
1,10,5,0.1,0.155,0.17013998171893613,1,19,6.895497070558143e-8,0.17013991276396542,4.05283919483622e-7,12.892,0.17013998171893607,1,19,6.895497120518179e-8,0.17013991276396487,4.0528391915735433e-7,8.928,0.17013998171893613,1,19,6.895497070558143e-8,0.17013991276396542,4.05283919483622e-7,8.847,0.17013998171893613,1,19,6.895497070558143e-8,0.17013991276396542,4.05283919483622e-7,8.716,0.17013998171893613,1,19,6.895497070558143e-8,0.17013991276396542,4.05283919483622e-7,8.805,0.17013998171893613,1,19,6.895497070558143e-8,0.17013991276396542,4.05283919483622e-7,8.908,0.17013998171893613,1,19,6.895497070558143e-8,0.17013991276396542,4.05283919483622e-7,0.155
1,15,1,1.0,0.186,0.5610171782158274,1,29,5.5632678908068556e-8,0.5610171225831485,9.916395893928036e-8,13.375,0.5610171782158274,1,29,5.563267324593113e-8,0.5610171225831542,9.916395893928036e-8,8.92,0.5610171782158274,1,29,5.5632678908068556e-8,0.5610171225831485,9.916395893928036e-8,8.811,0.5610171782158274,1,29,5.5632678908068556e-8,0.5610171225831485,9.916395893928036e-8,8.8,0.5610171782158274,1,29,5.5632678908068556e-8,0.5610171225831485,9.916395893928036e-8,8.809,0.5610171782158274,1,29,5.5632678908068556e-8,0.5610171225831485,9.916395893928036e-8,8.863,0.5610171782158274,1,29,5.5632678908068556e-8,0.5610171225831485,9.916395893928036e-8,0.186
1,20,5,1.0,0.343,0.17013998171891992,1,34,5.6461156722198425e-8,0.1701399252577632,3.3185130789648207e-7,12.968,0.1701399817189199,1,34,5.6461152725395536e-8,0.17013992525776717,3.318513077333483e-7,8.969,0.17013998171891992,1,34,5.6461156722198425e-8,0.1701399252577632,3.3185130789648207e-7,8.85,0.17013998171891992,1,34,5.6461156722198425e-8,0.1701399252577632,3.3185130789648207e-7,8.76,0.17013998171891992,1,34,5.6461156722198425e-8,0.1701399252577632,3.3185130789648207e-7,8.86,0.17013998171891992,1,34,5.6461156722198425e-8,0.1701399252577632,3.3185130789648207e-7,8.957,0.17013998171891992,1,34,5.6461156722198425e-8,0.1701399252577632,3.3185130789648207e-7,0.343
2,5,1,0.1,0.255,0.6388970613934949,1,17,7.932099954643945e-8,0.6388969820724953,1.241530352657683e-7,12.337,0.6388970613934949,1,17,7.932099965746175e-8,0.6388969820724952,1.241530352657683e-7,8.724,0.638897061393495,1,17,7.932099943541715e-8,0.6388969820724956,1.2415303543954015e-7,8.725,0.638897061393495,1,17,7.932099943541715e-8,0.6388969820724956,1.2415303543954015e-7,8.739,0.638897061393495,1,17,7.932099943541715e-8,0.6388969820724956,1.2415303543954015e-7,8.793,0.638897061393495,1,17,7.932099943541715e-8,0.6388969820724956,1.2415303543954015e-7,8.806,0.638897061393495,1,17,7.932099943541715e-8,0.6388969820724956,1.2415303543954015e-7,0.255
2,10,5,0.1,0.303,0.2972560059455308,1,20,8.860585531955678e-8,0.2972559173396755,2.9807936579545537e-7,13.721,0.2972560059455309,1,20,8.860585543057908e-8,0.2972559173396755,2.98079366168946e-7,8.89,0.2972560059455309,1,20,8.860585504200102e-8,0.2972559173396759,2.98079366168946e-7,8.769,0.2972560059455309,1,20,8.860585504200102e-8,0.2972559173396759,2.98079366168946e-7,8.894,0.2972560059455309,1,20,8.860585504200102e-8,0.2972559173396759,2.98079366168946e-7,9.096,0.2972560059455309,1,20,8.860585504200102e-8,0.2972559173396759,2.98079366168946e-7,8.846,0.2972560059455309,1,20,8.860585504200102e-8,0.2972559173396759,2.98079366168946e-7,0.303
2,15,1,1.0,0.343,0.6388970613934828,1,32,8.029048770286096e-8,0.6388969811029951,1.2567047595724595e-7,13.699,0.6388970613934827,1,32,8.029048914615089e-8,0.6388969811029935,1.256704757834741e-7,8.71,0.6388970613934829,1,32,8.029048725877175e-8,0.6388969811029956,1.2567047613101778e-7,8.883,0.6388970613934829,1,32,8.029048725877175e-8,0.6388969811029956,1.2567047613101778e-7,8.751,0.6388970613934829,1,32,8.029048725877175e-8,0.6388969811029956,1.2567047613101778e-7,8.913,0.6388970613934829,1,32,8.029048725877175e-8,0.6388969811029956,1.2567047613101778e-7,8.897,0.6388970613934829,1,32,8.029048725877175e-8,0.6388969811029956,1.2567047613101778e-7,0.343
2,20,5,1.0,0.37,0.2972560059455193,1,36,5.074309050723258e-8,0.2972559552024288,1.7070504263800857e-7,13.717,0.29725600594551926,1,36,5.0743076240866714e-8,0.297255955202443,1.707050424512633e-7,8.747,0.29725600594551926,1,36,5.0743083124249466e-8,0.29725595520243614,1.707050424512633e-7,9.1,0.29725600594551926,1,36,5.0743083124249466e-8,0.29725595520243614,1.707050424512633e-7,9.037,0.29725600594551926,1,36,5.0743083124249466e-8,0.29725595520243614,1.707050424512633e-7,8.864,0.29725600594551926,1,36,5.0743083124249466e-8,0.29725595520243614,1.707050424512633e-7,8.831,0.29725600594551926,1,36,5.0743083124249466e-8,0.29725595520243614,1.707050424512633e-7,0.37
3,5,1,0.1,0.196,0.6501357879783465,1,17,5.9217531767075116e-8,0.6501357287608147,9.108487527665362e-8,13.583,0.6501357879783466,1,17,5.921753143400821e-8,0.6501357287608152,9.10848754474215e-8,8.922,0.6501357879783465,1,17,5.92175312119636e-8,0.6501357287608153,9.108487527665362e-8,8.701,0.6501357879783465,1,17,5.92175312119636e-8,0.6501357287608153,9.108487527665362e-8,8.864,0.6501357879783465,1,17,5.92175312119636e-8,0.6501357287608153,9.108487527665362e-8,9.027,0.6501357879783465,1,17,5.92175312119636e-8,0.6501357287608153,9.108487527665362e-8,8.761,0.6501357879783465,1,17,5.92175312119636e-8,0.6501357287608153,9.108487527665362e-8,0.196
3,10,5,0.1,0.258,0.337609345163554,1,21,5.280038412047716e-8,0.3376092923631699,1.5639493732796676e-7,12.961,0.337609345163554,1,21,5.2800383842921406e-8,0.33760929236317017,1.5639493732796676e-7,8.668,0.3376093451635539,1,21,5.280038312127644e-8,0.3376092923631708,1.563949369991183e-7,8.895,0.3376093451635539,1,21,5.280038312127644e-8,0.3376092923631708,1.563949369991183e-7,8.832,0.3376093451635539,1,21,5.280038312127644e-8,0.3376092923631708,1.563949369991183e-7,8.894,0.3376093451635539,1,21,5.280038312127644e-8,0.3376092923631708,1.563949369991183e-7,8.969,0.3376093451635539,1,21,5.280038312127644e-8,0.3376092923631708,1.563949369991183e-7,0.258
3,15,1,1.0,0.349,0.6501357879783406,1,30,3.198856735053823e-8,0.6501357559897732,4.9202904248572694e-8,14.305,0.6501357879783405,1,30,3.1988572013474936e-8,0.6501357559897685,4.9202904077804817e-8,8.706,0.6501357879783405,1,30,3.1988572013474936e-8,0.6501357559897685,4.9202904077804817e-8,8.879,0.6501357879783405,1,30,3.1988572013474936e-8,0.6501357559897685,4.9202904077804817e-8,8.796,0.6501357879783405,1,30,3.1988572013474936e-8,0.6501357559897685,4.9202904077804817e-8,8.859,0.6501357879783405,1,30,3.1988572013474936e-8,0.6501357559897685,4.9202904077804817e-8,8.844,0.6501357879783405,1,30,3.1988572013474936e-8,0.6501357559897685,4.9202904077804817e-8,0.349
3,20,5,1.0,0.336,0.33760934516354946,1,35,7.78538507550941e-8,0.3376092673096987,2.3060341730393474e-7,14.513,0.33760934516354935,1,35,7.785385558456426e-8,0.33760926730969376,2.3060341697508624e-7,8.892,0.33760934516354935,1,35,7.785385558456426e-8,0.33760926730969376,2.3060341697508624e-7,8.87,0.33760934516354935,1,35,7.785385558456426e-8,0.33760926730969376,2.3060341697508624e-7,8.813,0.33760934516354935,1,35,7.785385558456426e-8,0.33760926730969376,2.3060341697508624e-7,8.889,0.33760934516354935,1,35,7.785385558456426e-8,0.33760926730969376,2.3060341697508624e-7,8.911,0.33760934516354935,1,35,7.785385558456426e-8,0.33760926730969376,2.3060341697508624e-7,0.336
1,5,1,0.1,0.443,0.5458764634955549,1,19,6.288653797703603e-8,0.5458764006090169,1.1520288824883348e-7,9.252,0.545876463495555,1,19,6.288653797703603e-8,0.545876400609017,1.1520288845221707e-7,9.077,0.545876463495555,1,19,6.288653797703603e-8,0.545876400609017,1.1520288845221707e-7,8.738,0.545876463495555,1,19,6.288653797703603e-8,0.545876400609017,1.1520288845221707e-7,9.019,0.545876463495555,1,19,6.288653797703603e-8,0.545876400609017,1.1520288845221707e-7,9.097,0.545876463495555,1,19,6.288653797703603e-8,0.545876400609017,1.1520288845221707e-7,9.645,0.545876463495555,1,19,6.288653797703603e-8,0.545876400609017,1.1520288845221707e-7,0.443
1,10,5,0.1,0.54,0.164076227501058,1,25,9.517327931307662e-8,0.16407613232777868,5.800555995734149e-7,9.166,0.16407622750105805,1,25,9.51732796738991e-8,0.16407613232777837,5.800555999117405e-7,9.023,0.16407622750105805,1,25,9.51732796738991e-8,0.16407613232777837,5.800555999117405e-7,8.848,0.16407622750105805,1,25,9.51732796738991e-8,0.16407613232777837,5.800555999117405e-7,9.269,0.16407622750105805,1,25,9.51732796738991e-8,0.16407613232777837,5.800555999117405e-7,9.103,0.16407622750105805,1,25,9.51732796738991e-8,0.16407613232777837,5.800555999117405e-7,9.204,0.16407622750105805,1,25,9.51732796738991e-8,0.16407613232777837,5.800555999117405e-7,0.54
1,15,1,1.0,0.519,0.5458764634955288,1,41,5.9221035297873925e-8,0.5458764042744935,1.0848799258246502e-7,9.17,0.5458764634955289,1,41,5.922104096001135e-8,0.5458764042744879,1.0848799278584862e-7,9.528,0.5458764634955289,1,41,5.922104096001135e-8,0.5458764042744879,1.0848799278584862e-7,8.908,0.5458764634955289,1,41,5.922104096001135e-8,0.5458764042744879,1.0848799278584862e-7,9.234,0.5458764634955289,1,41,5.922104096001135e-8,0.5458764042744879,1.0848799278584862e-7,9.099,0.5458764634955289,1,41,5.922104096001135e-8,0.5458764042744879,1.0848799278584862e-7,9.153,0.5458764634955289,1,41,5.922104096001135e-8,0.5458764042744879,1.0848799278584862e-7,0.519
1,20,5,1.0,0.785,0.16407622750102263,1,52,7.48365542868612e-8,0.16407615266446834,4.5610866095757433e-7,9.325,0.16407622750102263,1,52,7.483655495299502e-8,0.16407615266446768,4.5610866095757433e-7,9.358,0.16407622750102263,1,52,7.483655495299502e-8,0.16407615266446768,4.5610866095757433e-7,9.251,0.16407622750102263,1,52,7.483655495299502e-8,0.16407615266446768,4.5610866095757433e-7,9.336,0.16407622750102263,1,52,7.483655495299502e-8,0.16407615266446768,4.5610866095757433e-7,9.292,0.16407622750102263,1,52,7.483655495299502e-8,0.16407615266446768,4.5610866095757433e-7,9.359,0.16407622750102263,1,52,7.483655495299502e-8,0.16407615266446768,4.5610866095757433e-7,0.785
2,5,1,0.1,0.446,0.5887953632346095,1,22,7.099091103857091e-8,0.5887952922436984,1.2056976673174258e-7,9.077,0.5887953632346097,1,22,7.099091148266012e-8,0.5887952922436982,1.2056976710885938e-7,9.042,0.5887953632346097,1,22,7.099091148266012e-8,0.5887952922436982,1.2056976710885938e-7,8.76,0.5887953632346097,1,22,7.099091148266012e-8,0.5887952922436982,1.2056976710885938e-7,9.055,0.5887953632346097,1,22,7.099091148266012e-8,0.5887952922436982,1.2056976710885938e-7,9.026,0.5887953632346097,1,22,7.099091148266012e-8,0.5887952922436982,1.2056976710885938e-7,9.058,0.5887953632346097,1,22,7.099091148266012e-8,0.5887952922436982,1.2056976710885938e-7,0.446
2,10,5,0.1,0.942,0.20137971596839935,1,24,4.669880043772778e-8,0.2013796692695989,2.3189431488840778e-7,9.079,0.2013797159683994,1,24,4.669880032670548e-8,0.20137966926959908,2.3189431516406197e-7,9.259,0.2013797159683994,1,24,4.669880032670548e-8,0.20137966926959908,2.3189431516406197e-7,8.766,0.2013797159683994,1,24,4.669880032670548e-8,0.20137966926959908,2.3189431516406197e-7,9.101,0.2013797159683994,1,24,4.669880032670548e-8,0.20137966926959908,2.3189431516406197e-7,9.036,0.2013797159683994,1,24,4.669880032670548e-8,0.20137966926959908,2.3189431516406197e-7,9.148,0.2013797159683994,1,24,4.669880032670548e-8,0.20137966926959908,2.3189431516406197e-7,0.942
2,15,1,1.0,0.675,0.588795363234593,1,39,5.48191553262356e-8,0.5887953084154377,9.310392685322948e-8,9.488,0.5887953632345929,1,39,5.481915565930251e-8,0.5887953084154373,9.310392666467108e-8,9.272,0.5887953632345929,1,39,5.481915565930251e-8,0.5887953084154373,9.310392666467108e-8,8.952,0.5887953632345929,1,39,5.481915565930251e-8,0.5887953084154373,9.310392666467108e-8,9.286,0.5887953632345929,1,39,5.481915565930251e-8,0.5887953084154373,9.310392666467108e-8,9.293,0.5887953632345929,1,39,5.481915565930251e-8,0.5887953084154373,9.310392666467108e-8,9.305,0.5887953632345929,1,39,5.481915565930251e-8,0.5887953084154373,9.310392666467108e-8,0.675
2,20,5,1.0,0.752,0.20137971596839177,1,48,4.603597111851876e-8,0.20137966993242065,2.2860287304059836e-7,9.258,0.2013797159683917,1,48,4.603597605901122e-8,0.20137966993241563,2.2860287262711705e-7,9.335,0.2013797159683917,1,48,4.603597605901122e-8,0.20137966993241563,2.2860287262711705e-7,8.939,0.2013797159683917,1,48,4.603597605901122e-8,0.20137966993241563,2.2860287262711705e-7,9.326,0.2013797159683917,1,48,4.603597605901122e-8,0.20137966993241563,2.2860287262711705e-7,9.289,0.2013797159683917,1,48,4.603597605901122e-8,0.20137966993241563,2.2860287262711705e-7,9.3,0.2013797159683917,1,48,4.603597605901122e-8,0.20137966993241563,2.2860287262711705e-7,0.752
