seed,n0,m0,M,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,2,15,20.0,3.3703471620782786,5.5996004721947656e-8,1.6614313885028297e-8,60,OPTIMAL,4.09
2,2,15,20.0,2.1185418107851888,7.042956884362184e-8,3.3244362148748355e-8,13,OPTIMAL,4.037
3,2,15,20.0,2.9781211642550884,7.740213137097385e-8,2.5990256646268975e-8,54,OPTIMAL,4.047
4,2,15,20.0,2.004918106446408,4.783715645828579e-8,2.385990602103156e-8,38,OPTIMAL,4.081
5,2,15,20.0,0.4872728372600649,5.7724846458384604e-8,1.1846515726457166e-7,41,OPTIMAL,4.111
6,2,15,20.0,0.06023019318797068,9.992629945720921e-8,1.6590759543253034e-6,47,OPTIMAL,4.09
7,2,15,20.0,3.4917781560540333,8.564693754209429e-8,2.4528173273082322e-8,62,OPTIMAL,4.092
8,2,15,20.0,0.4427752877117986,4.108690276893867e-8,9.279403734090426e-8,39,OPTIMAL,4.137
9,2,15,20.0,0.4517898929545432,3.89891842145218e-8,8.629937983846645e-8,15,OPTIMAL,3.959
10,2,15,20.0,2.5368572106681615,7.242485144942634e-8,2.8549046123889406e-8,42,OPTIMAL,4.135
1,2,16,20.0,2.7928948734415444,5.584536033609311e-8,1.9995511461530312e-8,55,OPTIMAL,4.126
2,2,16,20.0,2.9760070981254225,7.213589237053952e-8,2.4239153920194173e-8,15,OPTIMAL,4.116
3,2,16,20.0,2.614162952782346,3.41189361208194e-8,1.3051572217336785e-8,36,OPTIMAL,4.043
4,2,16,20.0,1.8597915468796633,5.8004884229134746e-8,3.11889179922149e-8,36,OPTIMAL,4.333
5,2,16,20.0,0.9308823765777834,4.969351330430527e-8,5.338323853524325e-8,38,OPTIMAL,4.328
6,2,16,20.0,0.2903317453268258,3.6739147057929245e-8,1.2654197241027224e-7,39,OPTIMAL,4.335
7,2,16,20.0,3.5649391289865155,3.69964086033292e-8,1.0377851528082116e-8,66,OPTIMAL,4.366
8,2,16,20.0,0.6965811464093504,8.797526573900427e-8,1.2629580531054463e-7,41,OPTIMAL,4.355
9,2,16,20.0,0.30240000137385065,4.864608116328384e-8,1.6086669566075186e-7,38,OPTIMAL,4.313
10,2,16,20.0,1.2374357547542743,4.863368063823259e-8,3.930198587100817e-8,17,OPTIMAL,4.226
1,2,17,20.0,2.850453968052113,6.682882069952711e-8,2.3444975086545708e-8,60,OPTIMAL,4.334
2,2,17,20.0,3.2896187047479772,6.360634019486611e-8,1.9335475364643488e-8,15,OPTIMAL,4.158
3,2,17,20.0,3.9267258080778857,5.5694498790614944e-8,1.4183445013141116e-8,40,OPTIMAL,4.26
4,2,17,20.0,0.9491274334055988,6.599332613710374e-8,6.953052709567292e-8,41,OPTIMAL,4.321
5,2,17,20.0,1.5152772581707277,4.480809678852893e-8,2.9570890655111837e-8,36,OPTIMAL,4.322
6,2,17,20.0,1.2136511779515222,4.169408684973064e-8,3.435426013632194e-8,19,OPTIMAL,4.267
7,2,17,20.0,3.14258502601508,6.164797428098723e-8,1.961696341705838e-8,61,OPTIMAL,4.3
8,2,17,20.0,0.28816835828575804,7.516267674922972e-8,2.6082910976405594e-7,40,OPTIMAL,4.316
9,2,17,20.0,0.6231478446384661,6.941911667723843e-8,1.1140072939007565e-7,15,OPTIMAL,4.236
10,2,17,20.0,1.3680759300316858,8.851733612758039e-8,6.470206800055678e-8,58,OPTIMAL,4.313
1,2,18,20.0,3.0532239454771357,1.328985321791265e-8,4.352727973146734e-9,50,OPTIMAL,4.317
2,2,18,20.0,3.2249689175887406,8.787726812897745e-8,2.724902867877937e-8,15,OPTIMAL,4.219
3,2,18,20.0,3.341321590695351,3.93831678380252e-8,1.1786703923349995e-8,38,OPTIMAL,4.303
4,2,18,20.0,1.4352713939575419,9.017705693281641e-8,6.28292760367265e-8,38,OPTIMAL,4.322
5,2,18,20.0,0.9996270147139671,8.404304763232062e-8,8.407441321725243e-8,65,OPTIMAL,4.392
6,2,18,20.0,0.0995988959833829,5.489334209407559e-8,5.511443857509357e-7,37,OPTIMAL,4.336
7,2,18,20.0,4.155671012596181,4.337326497960703e-8,1.0437126832425224e-8,58,OPTIMAL,4.314
8,2,18,20.0,1.7918318160727857,8.244646765298569e-8,4.6012393968562056e-8,42,OPTIMAL,4.32
9,2,18,20.0,0.3516914944738504,2.601112303324271e-8,7.396006262801737e-8,64,OPTIMAL,4.374
10,2,18,20.0,1.594802807237277,2.3901405077353388e-8,1.4987060047235732e-8,77,OPTIMAL,4.341
1,2,19,20.0,3.0758039096430787,8.391367289917184e-8,2.7281867652685e-8,62,OPTIMAL,4.318
2,2,19,20.0,2.8257415463844584,7.264427148712116e-8,2.5708038814664913e-8,15,OPTIMAL,4.183
3,2,19,20.0,4.25751543319662,5.4112044622911526e-8,1.2709770794661549e-8,64,OPTIMAL,4.382
4,2,19,20.0,1.420694644575787,2.570762358544698e-8,1.809510871937256e-8,15,OPTIMAL,4.256
5,2,19,20.0,1.9826704151691419,6.398687135700243e-8,3.227307621705591e-8,67,OPTIMAL,4.425
6,2,19,20.0,0.40531192181987985,4.223502569900006e-8,1.0420376955706263e-7,19,OPTIMAL,4.342
7,2,19,20.0,4.461341255540128,3.219172128865466e-8,7.215704801995295e-9,78,OPTIMAL,4.362
8,2,19,20.0,2.5479034351512273,5.8699334282152904e-8,2.3038288980917016e-8,38,OPTIMAL,4.306
9,2,19,20.0,0.8896981060266753,7.47943504908477e-8,8.406711925309052e-8,39,OPTIMAL,4.333
10,2,19,20.0,2.740546208481591,7.854316841360287e-8,2.865967755681152e-8,81,OPTIMAL,4.349
1,2,20,20.0,3.388221407824682,2.9710965243623377e-8,8.768897285030413e-9,61,OPTIMAL,4.396
2,2,20,20.0,3.26727906600248,8.614195134981628e-8,2.636504316919195e-8,15,OPTIMAL,4.22
3,2,20,20.0,3.1647135439810334,4.104312356645323e-8,1.2968985511121788e-8,62,OPTIMAL,4.347
4,2,20,20.0,2.7126330459355774,3.2106715508462e-8,1.1835996739987916e-8,37,OPTIMAL,4.401
5,2,20,20.0,1.9437670310453399,1.7731493162642664e-8,9.12223174958247e-9,39,OPTIMAL,4.377
6,2,20,20.0,0.8511158152098122,5.8876476582980786e-8,6.917563932387369e-8,45,OPTIMAL,4.34
7,2,20,20.0,4.367876856557003,4.4887715766606107e-8,1.0276781535294996e-8,76,OPTIMAL,4.327
8,2,20,20.0,0.7424441245381959,8.624588099248598e-8,1.1616482393859464e-7,37,OPTIMAL,4.347
9,2,20,20.0,1.1139874445287137,9.513102172675758e-8,8.539686000760493e-8,39,OPTIMAL,4.306
10,2,20,20.0,1.4400681162035136,1.403999894122876e-8,9.749538178184415e-9,62,OPTIMAL,4.29
1,2,21,20.0,3.8774773891148415,7.80679836331899e-8,2.013370482163125e-8,60,OPTIMAL,4.354
2,2,21,20.0,4.217212338020206,3.7265689201149144e-8,8.836569407350398e-9,14,OPTIMAL,4.174
3,2,21,20.0,4.311855546219652,5.1229712916267545e-8,1.1881129359690445e-8,54,OPTIMAL,4.384
4,2,21,20.0,2.184584876887847,8.531783546317229e-8,3.905448568185641e-8,39,OPTIMAL,4.361
5,2,21,20.0,2.067139151750794,3.838577411485744e-8,1.8569516616794428e-8,48,OPTIMAL,4.311
6,2,21,20.0,0.9623225959819908,5.144701331616375e-8,5.346129902944803e-8,21,OPTIMAL,4.258
7,2,21,20.0,4.456969779803133,1.3436094903340745e-8,3.0146255432853798e-9,58,OPTIMAL,4.386
8,2,21,20.0,1.0971610544385286,6.39916626354875e-8,5.8324770195688553e-8,37,OPTIMAL,4.304
9,2,21,20.0,0.5976298112501273,5.6446784357788715e-8,9.445109435082126e-8,42,OPTIMAL,4.407
10,2,21,20.0,2.9169270157864955,5.064401342735891e-9,1.7362111990187178e-9,66,OPTIMAL,4.351
1,2,22,20.0,3.7142270359803407,5.539843517254894e-8,1.491519916854131e-8,58,OPTIMAL,4.294
2,2,22,20.0,3.968882895009224,6.442248912108539e-8,1.6231894936430153e-8,16,OPTIMAL,4.202
3,2,22,20.0,3.912591566422815,4.962454003276662e-8,1.2683291833484072e-8,63,OPTIMAL,4.372
4,2,22,20.0,2.7452959277722004,4.4547322275434453e-8,1.6226783621991613e-8,41,OPTIMAL,4.272
5,2,22,20.0,2.1908761446624747,3.19586521690951e-8,1.4587156244838518e-8,67,OPTIMAL,4.397
6,2,22,20.0,0.6513958580723096,7.921392297660645e-8,1.2160644196287854e-7,41,OPTIMAL,4.363
7,2,22,20.0,4.524304927622753,0.012211688153668021,0.0027064352409315257,54,OPTIMAL,4.401
8,2,22,20.0,1.2815295867275722,3.765839129421522e-8,2.938550369093542e-8,42,OPTIMAL,4.361
9,2,22,20.0,1.0517412371714123,5.974235306460685e-8,5.680328425539516e-8,40,OPTIMAL,4.323
10,2,22,20.0,2.5276615987871183,4.394263974916157e-8,1.7384700758272706e-8,64,OPTIMAL,4.313
1,2,23,20.0,4.168537226182991,3.241544455079293e-8,7.776215742840877e-9,62,OPTIMAL,4.324
2,2,23,20.0,3.903034787427202,7.935936086056472e-8,2.033273255206352e-8,16,OPTIMAL,4.18
3,2,23,20.0,4.7985761081539176,4.1169055720047254e-8,8.579431720025942e-9,63,OPTIMAL,4.337
4,2,23,20.0,2.116421835990861,3.019439098750354e-8,1.4266717014919683e-8,38,OPTIMAL,4.292
5,2,23,20.0,2.4384225432404003,4.856210145121054e-8,1.9915376255425062e-8,40,OPTIMAL,4.307
6,2,23,20.0,1.6707479174665025,5.084610288363933e-8,3.043313949368745e-8,44,OPTIMAL,4.321
7,2,23,20.0,4.939014399234411,3.956621874579014e-8,8.010954385734614e-9,63,OPTIMAL,4.317
8,2,23,20.0,1.9385387538858083,7.682362879180005e-8,3.9629660063437516e-8,58,OPTIMAL,4.356
9,2,23,20.0,0.9733858225458037,5.968347771556637e-8,6.131533867935553e-8,60,OPTIMAL,4.343
10,2,23,20.0,3.5932974485273177,3.7185003964879115e-8,1.0348434796269277e-8,63,OPTIMAL,4.365
1,2,24,20.0,3.4517559686486585,2.8455477973921006e-8,8.243768814178812e-9,62,OPTIMAL,4.384
2,2,24,20.0,3.7215360828757533,4.947259624188405e-8,1.3293595923252113e-8,16,OPTIMAL,4.184
3,2,24,20.0,4.594821855435146,8.807948947975319e-8,1.9169294031277167e-8,39,OPTIMAL,4.347
4,2,24,20.0,2.359692333846276,4.633752404004099e-8,1.963710450101182e-8,17,OPTIMAL,4.218
5,2,24,20.0,1.908738745476035,7.422308434534841e-8,3.888593313647607e-8,43,OPTIMAL,4.308
6,2,24,20.0,0.45465059065083757,3.337862941599212e-8,7.341600902516366e-8,37,OPTIMAL,4.362
7,2,24,20.0,5.085363468798052,3.7311620459945516e-8,7.337060755368565e-9,55,OPTIMAL,4.331
8,2,24,20.0,1.3877354705692668,4.8413420383752737e-8,3.4886635889528934e-8,37,OPTIMAL,4.258
9,2,24,20.0,1.259291947038172,5.28390753373742e-8,4.195935476181206e-8,39,OPTIMAL,4.32
10,2,24,20.0,2.47963622141298,1.3473129722996191e-8,5.433510641542872e-9,37,OPTIMAL,4.297
1,2,25,20.0,3.2110174730164687,4.5824603223110216e-8,1.4271054038839414e-8,61,OPTIMAL,4.316
2,2,25,20.0,3.665499737781815,8.755697722406808e-8,2.388677822372659e-8,16,OPTIMAL,4.184
3,2,25,20.0,4.526011675027838,9.762790043055247e-8,2.1570404485495565e-8,58,OPTIMAL,4.3
4,2,25,20.0,1.2083682555308264,6.262820306801586e-8,5.182874179895165e-8,40,OPTIMAL,4.284
5,2,25,20.0,2.665073778163115,2.8528972073615932e-8,1.0704758949928627e-8,41,OPTIMAL,4.29
6,2,25,20.0,1.7363731205668058,4.593305646949375e-8,2.6453448939354432e-8,52,OPTIMAL,4.281
7,2,25,20.0,4.261687815864774,6.788944784119622e-8,1.593017880614309e-8,61,OPTIMAL,4.35
8,2,25,20.0,1.2417842215013055,5.8268115221693506e-8,4.692290089284344e-8,60,OPTIMAL,4.375
9,2,25,20.0,2.6947219376248883,9.66084821030222e-8,3.5851003481154484e-8,41,OPTIMAL,4.32
10,2,25,20.0,3.2338851358636154,2.8011979846809254e-8,8.66202073128641e-9,62,OPTIMAL,4.447
1,3,26,20.0,3.352452770160834,5.140052650176585e-8,1.5332215191023807e-8,115,OPTIMAL,4.721
2,3,26,20.0,3.7072986966631043,0.013903056113678591,0.0037643018692712776,20,OPTIMAL,4.322
3,3,26,20.0,3.7959953365216155,7.014893022017077e-8,1.847972015181213e-8,105,OPTIMAL,4.668
4,3,26,20.0,0.5622672722197355,6.144484654413418e-8,1.0928050821148528e-7,99,OPTIMAL,4.725
5,3,26,20.0,1.1653012423841405,6.208137648400225e-8,5.327496233022995e-8,55,OPTIMAL,4.633
6,3,26,20.0,0.13376590350838996,4.234475925457559e-8,3.1655879075735813e-7,56,OPTIMAL,4.524
7,3,26,20.0,5.159338267215357,4.386024166080915e-8,8.501137115272674e-9,93,OPTIMAL,4.625
8,3,26,20.0,0.8255661158804148,3.716742735804246e-8,4.5020535989056686e-8,105,OPTIMAL,4.691
9,3,26,20.0,1.9182542341783964,9.000779943590942e-8,4.692172812942179e-8,102,OPTIMAL,4.681
10,3,26,20.0,2.6076704768437198,5.193426311222993e-8,1.9915961241165353e-8,93,OPTIMAL,4.716
1,3,27,20.0,3.643621812275055,8.499502524017544e-8,2.3327071689086774e-8,72,OPTIMAL,4.511
2,3,27,20.0,3.2941979741211584,2.209093441507548e-8,6.706013037698834e-9,19,OPTIMAL,4.287
3,3,27,20.0,3.397482390624811,4.3236347391228946e-8,1.2725996184928923e-8,98,OPTIMAL,4.585
4,3,27,20.0,0.8664493447295626,8.694864828129312e-8,1.0035053697660214e-7,99,OPTIMAL,4.669
5,3,27,20.0,1.5021059430555845,5.356762367014767e-8,3.566168273823082e-8,79,OPTIMAL,4.686
6,3,27,20.0,-0.5204368475555328,8.721974120717846e-8,1.6758948106162247e-7,52,OPTIMAL,4.572
7,3,27,20.0,4.69101707442986,1.9373655568699633e-8,4.129947800513275e-9,69,OPTIMAL,4.56
8,3,27,20.0,0.9076318062146532,5.851739981466153e-8,6.447262335537032e-8,99,OPTIMAL,4.665
9,3,27,20.0,1.0910343120805825,8.238256365977747e-8,7.550868837779698e-8,97,OPTIMAL,4.641
10,3,27,20.0,2.079116257483274,4.6157132338464635e-8,2.220036190715083e-8,69,OPTIMAL,4.573
1,3,28,20.0,2.140254855895619,6.086559478646336e-8,2.8438480749021998e-8,100,OPTIMAL,4.636
2,3,28,20.0,3.8579498656413826,0.008910409432956179,0.0023149696266646113,20,OPTIMAL,4.326
3,3,28,20.0,3.5124846272613435,3.730080511132883e-8,1.0619492884877792e-8,48,OPTIMAL,4.468
4,3,28,20.0,1.0011534798147328,6.369261740246657e-8,6.361923794774095e-8,76,OPTIMAL,4.621
5,3,28,20.0,1.0012176678740634,4.525648655828718e-8,4.520144825254765e-8,82,OPTIMAL,4.58
6,3,28,20.0,-0.3706234321366112,5.148787929343257e-8,1.3892235306496816e-7,54,OPTIMAL,4.535
7,3,28,20.0,5.2278278138315715,9.507874754177692e-8,1.8187046830315092e-8,76,OPTIMAL,4.596
8,3,28,20.0,2.653307207160749,8.505331905439562e-8,3.205558766481609e-8,110,OPTIMAL,4.784
9,3,28,20.0,1.3490393487245946,5.5908828011652645e-8,4.1443439275187896e-8,104,OPTIMAL,4.703
