seed,numV,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Afw,solutionBoscia_Afw,terminationBoscia_Afw,numberNodesBoscia_Afw,dualGapBoscia_Afw,lbBoscia_Afw,relGapBoscia_Afw,timeBoscia_No_As_No_Ss,solutionBoscia_No_As_No_Ss,terminationBoscia_No_As_No_Ss,numberNodesBoscia_No_As_No_Ss,dualGapBoscia_No_As_No_Ss,lbBoscia_No_As_No_Ss,relGapBoscia_No_As_No_Ss,timeBoscia_No_As,solutionBoscia_No_As,terminationBoscia_No_As,numberNodesBoscia_No_As,dualGapBoscia_No_As,lbBoscia_No_As,relGapBoscia_No_As,timeBoscia_No_Ss,solutionBoscia_No_Ss,terminationBoscia_No_Ss,numberNodesBoscia_No_Ss,dualGapBoscia_No_Ss,lbBoscia_No_Ss,relGapBoscia_No_Ss,timeBoscia_Global_Tightening,solutionBoscia_Global_Tightening,terminationBoscia_Global_Tightening,numberNodesBoscia_Global_Tightening,dualGapBoscia_Global_Tightening,lbBoscia_Global_Tightening,relGapBoscia_Global_Tightening,timeBoscia_Local_Tightening,solutionBoscia_Local_Tightening,terminationBoscia_Local_Tightening,numberNodesBoscia_Local_Tightening,dualGapBoscia_Local_Tightening,lbBoscia_Local_Tightening,relGapBoscia_Local_Tightening,timeBoscia_No_Tightening,solutionBoscia_No_Tightening,terminationBoscia_No_Tightening,numberNodesBoscia_No_Tightening,dualGapBoscia_No_Tightening,lbBoscia_No_Tightening,relGapBoscia_No_Tightening,timeBoscia_Strong_Convexity,solutionBoscia_Strong_Convexity,terminationBoscia_Strong_Convexity,numberNodesBoscia_Strong_Convexity,dualGapBoscia_Strong_Convexity,lbBoscia_Strong_Convexity,relGapBoscia_Strong_Convexity,minimumTime
1,4,1802.765,-266.890675229526,0,2588,9.176608114935107,-276.0672833444611,0.03438339727322142,1804.996,-266.90094101288855,0,1488,10.244509875317931,-277.1454508882065,0.03434361189131176,1800.0,-266.8867958571502,0,161,9.752028847310044,-276.63882470446026,0.03439843270562055,1832.699,-266.8867958571502,0,146,9.760830780720426,-276.64762663787064,0.03439843270562055,1804.648,-266.890675229526,0,2764,9.179430505812888,-276.07010573533887,0.03438339727322142,1804.744,-266.890675229526,0,2666,9.171020645057183,-276.06169587458317,0.03438339727322142,1803.771,-266.890675229526,0,2591,9.174653970975555,-276.06532920050154,0.03438339727322142,1804.48,-266.890675229526,0,2586,9.176608114935107,-276.0672833444611,0.03438339727322142,1803.641,-266.890675229526,0,2530,9.162344888144162,-276.05302011767014,0.03438339727322142,1800.0
1,5,1803.841,-294.5182579085957,0,1882,10.903048556390218,-305.4213064649859,0.03701994108553365,1805.335,-296.78196239223297,0,1360,9.28566428842936,-306.06762668066233,0.029110071256065725,1800.0,-294.0701896254219,0,81,12.044300537859158,-306.11449016328106,0.03860002557220339,1800.0,-294.0701896254219,0,82,12.044300537859158,-306.11449016328106,0.03860002557220339,1803.4,-295.64974048853827,0,1846,9.770875087904471,-305.42061557644274,0.033051156954512675,1804.652,-294.5182579085957,0,1907,10.903048556390218,-305.4213064649859,0.03701994108553365,1805.436,-294.5182579085957,0,1861,10.903048556390218,-305.4213064649859,0.03701994108553365,1803.76,-296.8319929583018,0,1836,8.634994674719735,-305.4669876330215,0.0289366163703611,1804.975,-294.5182579085957,0,1785,10.932927513352922,-305.4511854219486,0.03701994108553365,1800.0
1,6,1801.487,-215.73568295060636,0,3205,16.303634468282723,-232.03931741888908,0.075572266234768,1803.535,-219.70994384453473,0,2222,13.249024314578918,-232.95896815911365,0.05611659335309161,1800.0,-214.97279152786413,0,106,20.199848452471855,-235.172639980336,0.07938923698077782,1800.0,-217.30018119482895,0,284,17.475431948440843,-234.7756131432698,0.06782845804829396,1804.062,-215.2665049254526,0,2946,17.46665823392533,-232.73316315937794,0.07791649936085016,1803.556,-215.73568295060636,0,3237,16.24527589760939,-231.98095884821575,0.075572266234768,1803.591,-215.73568295060636,0,3102,16.32201040152512,-232.05769335213148,0.075572266234768,1804.144,-213.80831363638413,0,2960,18.25928738582931,-232.06760102221344,0.0852679836084847,1803.698,-215.07386146426373,0,3010,16.978882284276978,-232.0527437485407,0.07888199820806353,1800.0
1,7,1802.597,-196.59532134777575,0,2140,18.39246475553793,-214.98778610331368,0.09355494642215716,1802.655,-192.13083878378455,0,1740,23.418692424504684,-215.54953120828924,0.11896553132342962,1803.168,-202.77968868978553,0,169,13.087376184471907,-215.86706487425744,0.060203748671318974,1802.195,-192.13083878378455,0,190,23.7329161448649,-215.86375492864946,0.11896553132342962,1806.385,-192.13083878378455,0,2064,22.84943465004369,-214.98027343382824,0.11896553132342962,1805.368,-196.59532134777575,0,2185,18.382735105650397,-214.97805645342615,0.09355494642215716,1804.394,-196.59532134777575,0,2165,18.382735105650397,-214.97805645342615,0.09355494642215716,1804.93,-196.59532134777575,0,2077,18.39246475553793,-214.98778610331368,0.09355494642215716,1804.619,-192.13083878378455,0,2092,22.830428846464883,-214.96126763024944,0.11896553132342962,1802.195
1,8,1802.72,-115.70232966268935,0,3300,13.748946593714862,-129.4512762564042,0.11883033499669021,1804.222,-99.23190825504807,0,2120,31.261487538870256,-130.49339579391832,0.3045327710889692,1800.0,-91.91307516209397,0,255,35.42928112743607,-127.34235628953004,0.40840980489565243,1804.272,-120.2994052867225,0,312,11.768586195488467,-132.06799148221097,0.07607577899382854,1805.871,-119.10156390068167,0,2840,11.270297900810817,-130.37186180149249,0.08689820701559495,1804.623,-115.70232966268935,0,3517,13.747331791597787,-129.44966145428714,0.11883033499669021,1804.779,-115.70232966268935,0,3310,13.748946593714862,-129.4512762564042,0.11883033499669021,1805.328,-116.86648579844386,0,3105,12.596601060182437,-129.4630868586263,0.1076851962474936,1805.395,-116.86648579844386,0,3146,12.590079937198041,-129.4565657356419,0.1076851962474936,1800.0
2,4,1803.596,-373.68427225309676,0,2034,6.777812200245307,-380.4620844533421,0.018137804300349808,1804.535,-370.7970793082594,0,1395,10.762132248036437,-381.55921155629585,0.026065483479840813,1800.0,-373.87444017618475,0,67,7.721904630656979,-381.5963448068417,0.01761993752248204,1800.0,-373.87444017618475,0,129,7.711005274785066,-381.5854454509698,0.01761993752248204,1802.829,-373.68093354422535,0,2335,6.75058205584719,-380.43151560007254,0.01814690100669577,1804.081,-373.68427225309676,0,2122,6.773509894025722,-380.4577821471225,0.018137804300349808,1803.854,-373.68427225309676,0,2069,6.777812200245307,-380.4620844533421,0.018137804300349808,1804.478,-373.68427225309676,0,2116,6.779471410658573,-380.46374366375534,0.018137804300349808,1804.086,-373.68427225309676,0,2119,6.771949058574307,-380.4562213116711,0.018137804300349808,1800.0
2,5,1803.011,-214.35779697324827,0,1152,10.543237485122773,-224.90103445837104,0.049185229714030713,1813.693,-205.5285755220317,0,468,21.76621650105318,-227.29479202308488,0.09425676642352199,1800.0,-212.67344251602427,0,92,14.64431302858361,-227.31775554460788,0.05749468197669047,1800.0,-211.67232112981986,0,92,15.648179126238944,-227.3205002560588,0.06249618872199135,1807.822,-210.4192380666513,0,1022,14.792941758693814,-225.21217982534512,0.06882353783228015,1805.528,-214.35779697324827,0,1169,10.543237485122773,-224.90103445837104,0.049185229714030713,1804.78,-214.35779697324827,0,1112,10.543237485122773,-224.90103445837104,0.049185229714030713,1805.337,-214.35779697324827,0,1033,10.543237485122773,-224.90103445837104,0.049185229714030713,1805.672,-214.35779697324827,0,1035,10.527801518446608,-224.88559849169488,0.049185229714030713,1800.0
2,6,1801.626,-228.33358593593812,0,14618,11.951306869819632,-240.28489280575775,0.05234143203607691,1801.648,-225.58432201660062,0,9015,16.740167734633957,-242.32448975123458,0.06516663329145418,1800.0,-227.71756170463323,0,174,14.058891806231713,-241.77645351086494,0.05518823847861719,1800.0,-227.71756170463323,0,193,14.05683425644466,-241.7743959610779,0.05518823847861719,1803.674,-230.9763487698365,0,14383,9.435245728090393,-240.4115944979269,0.04030085368262977,1803.302,-228.33358593593812,0,15228,11.846612225524865,-240.18019816146298,0.05234143203607691,1803.232,-228.33358593593812,0,14753,11.94879337878092,-240.28237931471904,0.05234143203607691,1803.046,-228.33358593593812,0,14326,12.044439085931515,-240.37802502186963,0.05234143203607691,1803.813,-235.67851835311131,0,14415,4.700572697049381,-240.3790910501607,0.019545160436492636,1800.0
2,7,1804.246,-166.3529005438893,0,1705,22.519185399562986,-188.87208594345228,0.1353699594412644,1804.981,-159.4868037679509,0,1541,29.871819101071196,-189.3586228690221,0.18424898788652247,1800.0,-159.69450820301884,0,309,31.019305420724493,-190.71381362374333,0.18270871095542074,1803.123,-156.39855789591803,0,181,34.34222930319169,-190.74078719910972,0.20763316800622364,1806.02,-165.57572703166656,0,1741,22.962133917019713,-188.53786094868627,0.14069911894350468,1804.714,-166.3529005438893,0,1771,22.519185399562986,-188.87208594345228,0.1353699594412644,1806.619,-166.3529005438893,0,1730,22.519185399562986,-188.87208594345228,0.1353699594412644,1805.228,-166.3529005438893,0,1662,22.519185399562986,-188.87208594345228,0.1353699594412644,1805.351,-166.3529005438893,0,1670,22.494678763763147,-188.84757930765244,0.1353699594412644,1800.0
2,8,1802.867,-171.85198995634764,0,1896,25.39375200514087,-197.2457419614885,0.14776524852340187,1806.1,-168.34819160455996,0,1170,30.745350187374868,-199.09354179193483,0.17165346465263615,1800.0,-159.2048912295232,0,216,39.461085321603235,-198.66597655112645,0.2389427261824663,1800.0,-159.20489213570238,0,300,41.20228449482954,-200.40717663053192,0.23894271913052162,1805.237,-171.21705103823822,0,1842,26.04189169911433,-197.25894273735256,0.15202160512294563,1806.044,-171.85198995634764,0,2002,25.213426592863556,-197.0654165492112,0.14776524852340187,1806.932,-171.85198995634764,0,2063,25.14328817667993,-196.99527813302757,0.14776524852340187,1806.236,-171.85198995634764,0,1865,25.39375200514087,-197.2457419614885,0.14776524852340187,1805.312,-171.85198995634764,0,1846,25.379310400536127,-197.23130035688376,0.14776524852340187,1800.0
