seed,num_v,solution,dual_gap,rel_dual_gap,number_nodes,ncalls,termination,time
1,4,-266.8867958571502,10.420790716942975,0.039045733542099434,3,80,Time limit reached,1232.836
1,5,-294.0701896254219,12.044300537859158,0.04095723049385196,3,81,Time limit reached,2021.269
1,6,-214.97279152786413,20.199848452471855,0.09396467482655177,3,106,Time limit reached,1647.07
1,7,-192.13083878378458,4.291655386623461e-8,2.2337150109739006e-10,1,3,Optimal (tree empty),806.653
1,8,-91.91307516209397,40.45861548718074,0.4401834604688141,3,109,Time limit reached,603.895
2,4,-371.84229582492435,21.34767333844701,0.05741055705104134,3,10,Time limit reached,602.345
2,5,-205.77516596909666,1.0543326595779945e-5,5.1237118658737194e-8,1,3,Optimal (tree empty),736.935
2,6,-216.44253495962468,4.58733211416984e-8,2.1194226518487058e-10,1,3,Optimal (tree empty),627.297
2,7,-157.8769187374783,32.85104680068386,0.2080801111612104,3,105,Time limit reached,1184.373
2,8,-170.78626734965331,30.113853965072735,0.17632479725913902,3,104,Time limit reached,604.012
3,4,-349.3525634942163,3.3531136978126597e-8,9.598079556866259e-11,1,3,Optimal (tree empty),1579.85
3,5,-303.98628392560084,14.348055617233001,0.04719968095910741,3,89,Time limit reached,1855.412
3,6,-196.44070075660352,3.060819153688499e-8,1.5581389915122295e-10,1,3,Optimal (tree empty),775.245
3,7,-131.99681824205084,51.94255273654343,0.3935136727409074,3,55,Time limit reached,602.925
3,8,-150.80279633590592,35.81136005842458,0.23747145894202462,3,110,Time limit reached,1084.638
