seed,dimension,Ns,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Afw,solutionBoscia_Afw,terminationBoscia_Afw,numberNodesBoscia_Afw,dualGapBoscia_Afw,lbBoscia_Afw,relGapBoscia_Afw,timeBoscia_No_As_No_Ss,solutionBoscia_No_As_No_Ss,terminationBoscia_No_As_No_Ss,numberNodesBoscia_No_As_No_Ss,dualGapBoscia_No_As_No_Ss,lbBoscia_No_As_No_Ss,relGapBoscia_No_As_No_Ss,timeBoscia_No_As,solutionBoscia_No_As,terminationBoscia_No_As,numberNodesBoscia_No_As,dualGapBoscia_No_As,lbBoscia_No_As,relGapBoscia_No_As,timeBoscia_No_Ss,solutionBoscia_No_Ss,terminationBoscia_No_Ss,numberNodesBoscia_No_Ss,dualGapBoscia_No_Ss,lbBoscia_No_Ss,relGapBoscia_No_Ss,timeBoscia_Global_Tightening,solutionBoscia_Global_Tightening,terminationBoscia_Global_Tightening,numberNodesBoscia_Global_Tightening,dualGapBoscia_Global_Tightening,lbBoscia_Global_Tightening,relGapBoscia_Global_Tightening,timeBoscia_Local_Tightening,solutionBoscia_Local_Tightening,terminationBoscia_Local_Tightening,numberNodesBoscia_Local_Tightening,dualGapBoscia_Local_Tightening,lbBoscia_Local_Tightening,relGapBoscia_Local_Tightening,timeBoscia_No_Tightening,solutionBoscia_No_Tightening,terminationBoscia_No_Tightening,numberNodesBoscia_No_Tightening,dualGapBoscia_No_Tightening,lbBoscia_No_Tightening,relGapBoscia_No_Tightening,minimumTime
3,70,5.0,2.014,-83.22443081119467,1,54,3.366793066561513e-9,-83.22443081456146,4.045438381188231e-11,2.014,-83.22443081119468,1,57,3.366793066561513e-9,-83.22443081456147,4.045421305848001e-11,1.631,-83.22443081119468,1,56,3.366793066561513e-9,-83.22443081456147,4.045421305848001e-11,1.854,-83.22443081119468,1,59,3.366793066561513e-9,-83.22443081456147,4.045421305848001e-11,5.67,-83.22443081119468,1,53,3.366793066561513e-9,-83.22443081456147,4.045421305848001e-11,6.114,-83.22443081119468,1,54,3.366793066561513e-9,-83.22443081456147,4.045421305848001e-11,6.161,-83.22443081119468,1,54,3.366793066561513e-9,-83.22443081456147,4.045421305848001e-11,6.081,-83.22443081119468,1,54,3.366793066561513e-9,-83.22443081456147,4.045421305848001e-11,1.631
3,90,10.0,4.43,-84.35382326925938,1,121,5.7506568396092916e-8,-84.35382332676595,6.817304322120718e-10,2.244,-84.06045233547995,1,65,1.3148024891052046e-8,-84.06045234862798,0.003490000150310537,1.775,-84.06045233547995,1,64,1.3148024891052046e-8,-84.06045234862798,0.003490000150310537,1.8,-84.06045233547995,1,67,1.3148024891052046e-8,-84.06045234862798,0.003490000150310537,5.595,-84.06045233547995,1,61,1.3148024891052046e-8,-84.06045234862798,0.003490000150310537,6.334,-84.06045233547995,1,63,1.3148024891052046e-8,-84.06045234862798,0.003490000150310537,6.329,-84.06045233547995,1,63,1.3148024891052046e-8,-84.06045234862798,0.003490000150310537,6.606,-84.06045233547995,1,63,1.3148024891052046e-8,-84.06045234862798,0.003490000150310537,1.775
4,50,0.1,0.067,-66369.00604801116,1,4,0.0,-66369.00604801116,0.0,0.653,-66369.00604801116,1,5,0.0,-66369.00604801116,0.0,0.058,-66369.00604801116,1,4,0.0,-66369.00604801116,0.0,0.061,-66369.00604801116,1,5,0.0,-66369.00604801116,0.0,4.327,-66369.00604801116,1,3,0.0,-66369.00604801116,0.0,4.553,-66369.00604801116,1,4,0.0,-66369.00604801116,0.0,4.69,-66369.00604801116,1,4,0.0,-66369.00604801116,0.0,4.606,-66369.00604801116,1,4,0.0,-66369.00604801116,0.0,0.058
4,70,1.0,1.724,-267998.66469999024,1,10,4.4121406972408295e-8,-267998.66470003437,1.646329358461535e-13,1.802,-267998.66469999024,1,19,4.4121406972408295e-8,-267998.66470003437,1.646329358461535e-13,1.455,-267998.66469999024,1,11,4.4121406972408295e-8,-267998.66470003437,1.646329358461535e-13,1.576,-267998.66469999024,1,14,4.4121406972408295e-8,-267998.66470003437,1.646329358461535e-13,5.591,-267998.66469999024,1,8,4.4121406972408295e-8,-267998.66470003437,1.646329358461535e-13,5.67,-267998.66469999024,1,10,4.4121406972408295e-8,-267998.66470003437,1.646329358461535e-13,5.65,-267998.66469999024,1,10,4.4121406972408295e-8,-267998.66470003437,1.646329358461535e-13,5.87,-267998.66469999024,1,10,4.4121406972408295e-8,-267998.66470003437,1.646329358461535e-13,1.455
4,90,5.0,1.798,-111480.15939659905,1,15,1.724401954561472e-8,-111480.15939661629,1.546824084119563e-13,1.885,-111480.15939659905,1,22,1.724401954561472e-8,-111480.15939661629,1.546824084119563e-13,1.388,-111480.15939659905,1,16,1.724401954561472e-8,-111480.15939661629,1.546824084119563e-13,1.523,-111480.15939659905,1,19,1.724401954561472e-8,-111480.15939661629,1.546824084119563e-13,5.624,-111480.15939659905,1,13,1.724401954561472e-8,-111480.15939661629,1.546824084119563e-13,5.681,-111480.15939659905,1,15,1.724401954561472e-8,-111480.15939661629,1.546824084119563e-13,5.641,-111480.15939659905,1,15,1.724401954561472e-8,-111480.15939661629,1.546824084119563e-13,5.702,-111480.15939659905,1,15,1.724401954561472e-8,-111480.15939661629,1.546824084119563e-13,1.388
4,50,10.0,1.841,-204123.14864787948,1,17,4.4674379751086235e-8,-204123.14864792416,2.1885993845877476e-13,1.936,-204123.14864787942,1,21,4.4674379751086235e-8,-204123.1486479241,2.1914509798771133e-13,1.405,-204123.14864787942,1,18,4.4674379751086235e-8,-204123.1486479241,2.1914509798771133e-13,1.521,-204123.14864787942,1,21,4.4674379751086235e-8,-204123.1486479241,2.1914509798771133e-13,5.611,-204123.14864787942,1,15,4.4674379751086235e-8,-204123.1486479241,2.1914509798771133e-13,5.759,-204123.14864787942,1,17,4.4674379751086235e-8,-204123.1486479241,2.1914509798771133e-13,5.784,-204123.14864787942,1,17,4.4674379751086235e-8,-204123.1486479241,2.1914509798771133e-13,5.815,-204123.14864787942,1,17,4.4674379751086235e-8,-204123.1486479241,2.1914509798771133e-13,1.405
5,70,0.1,0.031,-462.8989001336959,1,4,0.0,-462.8989001336959,0.0,0.611,-462.8989001336959,1,5,0.0,-462.8989001336959,0.0,0.045,-462.8989001336959,1,4,0.0,-462.8989001336959,0.0,0.053,-462.8989001336959,1,5,0.0,-462.8989001336959,0.0,4.366,-462.8989001336959,1,3,0.0,-462.8989001336959,0.0,4.442,-462.8989001336959,1,4,0.0,-462.8989001336959,0.0,4.649,-462.8989001336959,1,4,0.0,-462.8989001336959,0.0,4.622,-462.8989001336959,1,4,0.0,-462.8989001336959,0.0,0.031
5,90,1.0,6.958,-1372.1635619598508,1,89,0.007601686385896755,-1372.1711636462367,5.53992730650807e-6,4.136,-1372.1508165958826,1,96,0.03531753987272168,-1372.1861341357553,1.482858160195096e-5,1.663,-1327.020954288824,1,37,5.5142436394817196e-8,-1327.0209543439664,0.03402373505217899,1.612,-1327.020954288824,1,40,5.5142436394817196e-8,-1327.0209543439664,0.03402373505217899,19.805,-1372.1635619598508,1,528,0.007601686386124129,-1372.171163646237,5.53992730650807e-6,11.275,-1324.0459773710402,1,133,9.489931971984333e-5,-1324.04607227036,0.036347065810170325,10.838,-1324.0459773710402,1,133,9.489931971984333e-5,-1324.04607227036,0.036347065810170325,11.035,-1324.0459773710402,1,133,9.489931971984333e-5,-1324.04607227036,0.036347065810170325,1.612
5,50,5.0,1.951,-967.5597880039638,1,36,1.5386262930405792e-8,-967.5597880193501,1.5902131445692902e-11,2.212,-967.559788003964,1,60,1.5386262930405792e-8,-967.5597880193502,1.590201394717846e-11,1.44,-967.559788003964,1,38,1.5386262930405792e-8,-967.5597880193502,1.590201394717846e-11,1.477,-967.559788003964,1,41,1.5386262930405792e-8,-967.5597880193502,1.590201394717846e-11,5.569,-967.559788003964,1,35,1.5386262930405792e-8,-967.5597880193502,1.590201394717846e-11,5.946,-967.559788003964,1,36,1.5386262930405792e-8,-967.5597880193502,1.590201394717846e-11,5.912,-967.559788003964,1,36,1.5386262930405792e-8,-967.5597880193502,1.590201394717846e-11,5.977,-967.559788003964,1,36,1.5386262930405792e-8,-967.5597880193502,1.590201394717846e-11,1.44
5,70,10.0,1.987,-864.6884026695483,1,34,6.066761670808773e-8,-864.6884027302159,7.016124712762297e-11,2.238,-854.3234833361363,1,64,2.3855704966990743e-8,-854.323483359992,0.012132312404201461,1.419,-854.3234833361363,1,34,2.3855704966990743e-8,-854.323483359992,0.012132312404201461,1.529,-854.3234833361363,1,37,2.3855704966990743e-8,-854.323483359992,0.012132312404201461,5.509,-854.3234833361363,1,31,2.3855704966990743e-8,-854.323483359992,0.012132312404201461,5.934,-854.3234833361363,1,32,2.3855704966990743e-8,-854.323483359992,0.012132312404201461,5.789,-854.3234833361363,1,32,2.3855704966990743e-8,-854.323483359992,0.012132312404201461,6.181,-854.3234833361363,1,32,2.3855704966990743e-8,-854.323483359992,0.012132312404201461,1.419
