seed,num_v,solution,termination,time
1,4,-10.521637260991561,LOCALLY_SOLVED,0.5442860126495361
1,5,-6.753903222759954,LOCALLY_SOLVED,0.495028018951416
1,6,-6.609683524031688,LOCALLY_SOLVED,0.476499080657959
1,7,-11.690896291367242,LOCALLY_SOLVED,0.47047901153564453
1,8,-1.095043898962758,LOCALLY_SOLVED,0.599315881729126
2,4,-12.460514284573465,LOCALLY_SOLVED,0.5593738555908203
2,5,-14.61593536513434,LOCALLY_SOLVED,0.49054908752441406
2,6,-9.397587997810408,LOCALLY_SOLVED,0.4636270999908447
2,7,-4.423288842330429,LOCALLY_SOLVED,0.5364749431610107
2,8,-10.365833529843512,LOCALLY_SOLVED,0.5377359390258789
3,4,-9.927340542529338,LOCALLY_SOLVED,0.4870150089263916
3,5,-10.774937173568055,LOCALLY_SOLVED,0.4730491638183594
3,6,-3.4326763705997188,LOCALLY_SOLVED,0.5251829624176025
3,7,-5.729822203285688,LOCALLY_SOLVED,0.5411942005157471
3,8,-0.9868809399401965,LOCALLY_SOLVED,0.518164873123169
