seed,numV,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Strong_Branching,solutionBoscia_Strong_Branching,terminationBoscia_Strong_Branching,numberNodesBoscia_Strong_Branching,dualGapBoscia_Strong_Branching,lbBoscia_Strong_Branching,relGapBoscia_Strong_Branching,timeBoscia_Hybrid_Branching_1,solutionBoscia_Hybrid_Branching_1,terminationBoscia_Hybrid_Branching_1,numberNodesBoscia_Hybrid_Branching_1,dualGapBoscia_Hybrid_Branching_1,lbBoscia_Hybrid_Branching_1,relGapBoscia_Hybrid_Branching_1,timeBoscia_Hybrid_Branching_2,solutionBoscia_Hybrid_Branching_2,terminationBoscia_Hybrid_Branching_2,numberNodesBoscia_Hybrid_Branching_2,dualGapBoscia_Hybrid_Branching_2,lbBoscia_Hybrid_Branching_2,relGapBoscia_Hybrid_Branching_2,timeBoscia_Hybrid_Branching_5,solutionBoscia_Hybrid_Branching_5,terminationBoscia_Hybrid_Branching_5,numberNodesBoscia_Hybrid_Branching_5,dualGapBoscia_Hybrid_Branching_5,lbBoscia_Hybrid_Branching_5,relGapBoscia_Hybrid_Branching_5,timeBoscia_Hybrid_Branching_10,solutionBoscia_Hybrid_Branching_10,terminationBoscia_Hybrid_Branching_10,numberNodesBoscia_Hybrid_Branching_10,dualGapBoscia_Hybrid_Branching_10,lbBoscia_Hybrid_Branching_10,relGapBoscia_Hybrid_Branching_10,timeBoscia_Hybrid_Branching_20,solutionBoscia_Hybrid_Branching_20,terminationBoscia_Hybrid_Branching_20,numberNodesBoscia_Hybrid_Branching_20,dualGapBoscia_Hybrid_Branching_20,lbBoscia_Hybrid_Branching_20,relGapBoscia_Hybrid_Branching_20,minimumTime
1,4,603.299,-266.88679585715033,0,510,10.251133412465322,-277.13792926961565,0.03841004340264246,607.084,-266.890675229526,0,537,9.258566829757058,-276.14924205928304,0.03839494965973252,607.157,-266.890675229526,0,542,9.255762668574278,-276.14643789810026,0.03839494965973252,606.431,-266.890675229526,0,412,9.946196587385316,-276.8368718169113,0.03839494965973252,608.174,-266.890675229526,0,438,9.33893637881988,-276.22961160834586,0.03839494965973252,604.668,-266.890675229526,0,715,8.765622669195693,-275.6562978987217,0.03839494965973252,604.105,-266.890675229526,0,715,8.765622669195693,-275.6562978987217,0.03839494965973252,603.299
1,5,604.689,-292.4946578242522,0,525,13.573423215246464,-306.0680810394987,0.04640571324007622,605.937,-297.1993334307928,0,674,8.528069713692503,-305.7274031444853,0.029841075033134542,605.91,-297.1993334307928,0,676,8.528069713692503,-305.7274031444853,0.029841075033134542,608.227,-292.4924613942767,0,396,13.275878182995143,-305.76833957727183,0.04641357107293853,607.888,-299.10571799292256,0,506,6.632947944834598,-305.73866593775716,0.023277264952657504,604.618,-298.0644434943682,0,875,7.135453142083463,-305.1998966364517,0.02685203726851668,605.178,-298.0644434943682,0,860,7.135453142083463,-305.1998966364517,0.02685203726851668,604.618
1,6,602.987,-213.14238020047736,0,512,20.355174890965827,-233.4975550914432,0.09550036399058773,605.887,-213.74717500908702,0,579,21.26780087369849,-235.0149758827855,0.09240066017956274,603.431,-213.74717500908702,0,569,21.26780087369849,-235.0149758827855,0.09240066017956274,606.577,-212.99957811094612,0,419,22.02147643483781,-235.02105454578393,0.09623482432354956,609.054,-213.0796825872714,0,429,22.06300345327415,-235.14268604054556,0.09582270940266302,604.519,-213.1219692718807,0,742,21.756264953818345,-234.87823422569903,0.09560528128176815,604.382,-213.1219692718807,0,743,21.756264953818345,-234.87823422569903,0.09560528128176815,602.987
1,7,602.799,-188.18866828036377,0,721,27.638265167357503,-215.82693344772127,0.14686466204321066,606.832,-192.1308387837846,0,579,23.08944828621398,-215.2202870699986,0.12333311411086473,606.724,-192.1308387837846,0,573,23.08944828621398,-215.2202870699986,0.12333311411086473,609.915,-192.1308387837846,0,408,23.25706659836058,-215.3879053821452,0.12333311411086473,610.489,-192.1308387837846,0,475,23.26632094564866,-215.39715972943327,0.12333311411086473,605.595,-192.13083878378455,0,704,23.082501611982195,-215.21334039576675,0.12333311411086506,605.171,-192.13083878378455,0,699,23.082501611982195,-215.21334039576675,0.12333311411086506,602.799
1,8,605.329,-112.17005317633968,0,527,18.92717917457975,-131.09723235091943,0.16873647322627916,607.265,-105.91488646114755,0,634,25.80491213166607,-131.71979859281362,0.2377602122909271,607.359,-105.91488646114755,0,632,25.80491213166607,-131.71979859281362,0.2377602122909271,610.989,-91.91307516209389,0,446,39.88987541051884,-131.80295057261273,0.4263175518795565,608.503,-105.91488646114755,0,486,25.888064111464814,-131.80295057261236,0.2377602122909271,606.994,-105.9148864611476,0,789,25.802911385539062,-131.71779784668666,0.23776021229092642,605.644,-105.9148864611476,0,789,25.802911385539062,-131.71779784668666,0.23776021229092642,605.329
2,4,602.731,-369.9064923829714,0,470,11.671507719803799,-381.5780001027752,0.03155258953314088,604.602,-371.241523260408,0,556,9.371615839152582,-380.61313909956056,0.027842997603252196,604.665,-371.241523260408,0,554,9.371615839152582,-380.61313909956056,0.027842997603252196,605.077,-373.4760053941209,0,379,7.683947143576347,-381.1599525376972,0.021693481218705006,606.966,-373.87444017618463,0,390,7.120698910934607,-380.99513908711924,0.02060467124460379,603.292,-373.4551285586776,0,731,7.1486610138290985,-380.6037895725067,0.02175059578227575,604.823,-373.4551285586776,0,719,7.1486610138290985,-380.6037895725067,0.02175059578227575,602.731
2,5,605.655,-194.5843193000834,0,217,32.45311855050397,-227.03743785058737,0.16678177700668434,612.628,-213.7507942816876,0,205,13.521394452242788,-227.2721887339304,0.062159505014003365,610.366,-213.7507942816876,0,206,13.519695702560682,-227.2704899842483,0.062159505014003365,613.769,-213.7507942816876,0,151,13.548728887204902,-227.2995231688925,0.062159505014003365,617.436,-213.7507942816876,0,162,13.548728887204987,-227.2995231688926,0.062159505014003365,606.953,-213.7507942816876,0,256,13.469532088882886,-227.2203263705705,0.062159505014003365,608.74,-213.7507942816876,0,254,13.469532088882886,-227.2203263705705,0.062159505014003365,605.655
2,6,601.423,-230.24430796165942,0,3795,11.671920527711592,-241.916228489371,0.05069363334556447,605.669,-229.52199134810456,0,1595,14.299386712756132,-243.8213780608607,0.05400021613819445,605.92,-229.52199134810456,0,1625,14.299386712756132,-243.8213780608607,0.05400021613819445,607.167,-232.04466136915207,0,1048,11.667661992739909,-243.71232336189198,0.04254166875451013,605.223,-232.04466136915207,0,1121,11.667661992740051,-243.71232336189212,0.04254166875451013,604.24,-229.52199134810456,0,2046,14.29272602940597,-243.81471737751053,0.05400021613819445,603.829,-229.52199134810456,0,2062,14.29272602940597,-243.81471737751053,0.05400021613819445,601.423
2,7,602.692,-158.5986893995471,0,650,31.656804611401554,-190.25549401094867,0.19960319174927527,606.978,-158.66723527520938,0,482,31.93073529245271,-190.5979705676621,0.19908495084665237,607.618,-158.66723527520938,0,473,31.93695302684509,-190.60418830205447,0.19908495084665237,609.854,-158.66723527520932,0,349,31.993359793558625,-190.66059506876795,0.19908495084665281,610.119,-158.66723527520938,0,375,31.93609381860827,-190.60332909381765,0.19908495084665237,606.593,-150.35130037740845,0,615,40.22697438059987,-190.57827475800832,0.2654063751585361,605.252,-150.35130037740845,0,613,40.22697438059987,-190.57827475800832,0.2654063751585361,602.692
2,8,602.135,-158.54948993414985,0,474,41.0186098223148,-199.56809975646465,0.2587117110206473,607.89,-170.78626734965314,0,338,30.07176665575588,-200.85803400540902,0.16852544910935988,608.907,-170.78626734965314,0,333,30.07176665575588,-200.85803400540902,0.16852544910935988,613.615,-170.78626734965326,0,225,30.075361848391083,-200.86162919804434,0.1685254491093591,613.395,-170.78626734965314,0,237,30.07176665575588,-200.85803400540902,0.16852544910935988,606.264,-170.78626734965331,0,421,30.062395204841295,-200.8486625544946,0.1685254491093587,606.291,-170.78626734965331,0,421,30.062395204841295,-200.8486625544946,0.1685254491093587,602.135
