seed,dimension,var_A,p,k,M,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,5,1,25,5.0,0.1,0.6346725759752028,0.006273783601028704,0.00998376139031954,7392,OPTIMAL,90.985
1,5,5,25,5.0,0.1,0.28694865548636406,0.0026847176426242347,0.009444453851547033,2326,OPTIMAL,39.524
1,5,1,25,5.0,1.0,0.6330541727029194,0.004673933360391236,0.0074380654701706635,126978,OPTIMAL,1192.572
1,5,5,25,5.0,1.0,0.2867351506391778,0.002836247861931873,0.00999034457050108,177416,OPTIMAL,1497.759
2,5,1,25,5.0,0.1,0.561558803563659,0.00541121756678109,0.00972982298769066,30,OPTIMAL,15.519
2,5,5,25,5.0,0.1,0.20313961626515484,0.0016303011912233156,0.008090450759684118,93,OPTIMAL,13.157
2,5,1,25,5.0,1.0,0.5304053488365846,0.0052226916391096,0.009944524190839387,63374,OPTIMAL,459.434
2,5,5,25,5.0,1.0,0.15519907526447274,0.00153318259885446,0.009977377362396955,212878,OPTIMAL,1361.733
3,5,1,25,5.0,0.1,0.662806520128681,0.006541486522455231,0.009967751118034234,13162,OPTIMAL,101.22
3,5,5,25,5.0,0.1,0.38760816244687524,0.0037106658896155498,0.009665772564010692,2911,OPTIMAL,28.817
3,5,1,25,5.0,1.0,0.6606647305650158,0.006541139507785787,0.009999852622978546,96439,OPTIMAL,338.613
3,5,5,25,5.0,1.0,0.3872486896147957,0.0009584888975169292,0.0024812664047319075,252338,OPTIMAL,791.695
1,10,1,50,10.0,0.1,0.4718474259178642,0.00369369671175912,0.007889922650029703,48,OPTIMAL,8.054
1,10,5,50,10.0,0.1,0.10447247263399045,0.001032346090350078,0.00998013174234219,2727,OPTIMAL,22.92
1,10,1,50,10.0,1.0,0.6931471805599454,0.3548665182233107,1.0490298670107572,216750,Time limit reached,1801.456
1,10,5,50,10.0,1.0,0.11332132258669111,0.05370116457798139,0.9007216077846749,211257,Time limit reached,1801.597
2,10,1,50,10.0,0.1,0.6931471805599454,0.05786687632146026,0.09108873033743063,216267,Time limit reached,1801.35
2,10,5,50,10.0,0.1,0.3213881440436759,0.01735366663857202,0.057077956377458855,244403,Time limit reached,1801.466
2,10,1,50,10.0,1.0,0.6632910143807178,0.037637380420751154,0.06015689572924216,229436,Time limit reached,1801.418
2,10,5,50,10.0,1.0,0.4185638364685981,0.1583790974463269,0.6087178596311522,227556,Time limit reached,1801.505
3,10,1,50,10.0,0.1,0.6931471805599454,0.03658867321785664,0.05572797063581833,207495,Time limit reached,1801.322
3,10,5,50,10.0,0.1,0.42749626459710754,0.03207270167181653,0.08110973821222726,234507,Time limit reached,1801.468
3,10,1,50,10.0,1.0,0.6764033249335353,0.02482380044568122,0.03809788293331178,232378,Time limit reached,1801.507
3,10,5,50,10.0,1.0,0.507484409427645,0.15982550877240398,0.45971930668588395,225531,Time limit reached,1801.595
1,15,1,75,15.0,0.1,0.6931471805599453,0.07348330733716035,0.11858575352308982,121504,Time limit reached,1801.644
1,15,5,75,15.0,0.1,0.6931471805599453,0.42968846177481246,1.6309517625994774,123466,Time limit reached,1801.305
1,15,1,75,15.0,1.0,0.6697061438318295,0.05357969169708754,0.0869621674437865,135752,Time limit reached,1801.486
1,15,5,75,15.0,1.0,0.4382195381189772,0.18814221370183454,0.752336158987382,142921,Time limit reached,1801.871
2,15,1,75,15.0,0.1,0.6931471805599453,0.06399540404585369,0.10171695675792204,117322,Time limit reached,1801.652
