seed,dimension,varA,M,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeScipOA,solutionScipOA,terminationScipOA,numberNodesScipOA,relGapScipOA,minimumTime
1,5,1,0.1,0.154,0.561017178215877,1,19,8.914683369276588e-8,0.5610170890690434,1.5890217148411097e-7,2.28695,0.5610176221794871,1,1031,9.50257049521711e-7,0.154
1,10,5,0.1,0.155,0.17013998171893613,1,19,6.895497070558143e-8,0.17013991276396542,4.05283919483622e-7,2.724529,0.17014042505504479,1,1082,3.010998836433078e-6,0.155
1,15,1,1.0,0.186,0.5610171782158274,1,29,5.5632678908068556e-8,0.5610171225831485,9.916395893928036e-8,3.969419,0.5610174767629486,1,1402,6.313172731932739e-7,0.186
1,20,5,1.0,0.343,0.17013998171891992,1,34,5.6461156722198425e-8,0.1701399252577632,3.3185130789648207e-7,3.6950469999999997,0.17014045292363417,1,1423,3.1013641869785864e-6,0.343
2,5,1,0.1,0.255,0.6388970613934949,1,17,7.932099954643945e-8,0.6388969820724953,1.241530352657683e-7,2.758642,0.6388973864250419,1,1112,6.328916208764089e-7,0.255
2,10,5,0.1,0.303,0.2972560059455308,1,20,8.860585531955678e-8,0.2972559173396755,2.9807936579545537e-7,3.336956,0.29725640196891323,1,1144,1.630343449770584e-6,0.303
2,15,1,1.0,0.343,0.6388970613934828,1,32,8.029048770286096e-8,0.6388969811029951,1.2567047595724595e-7,3.779286,0.6388973654894581,1,1476,6.016407564315795e-7,0.343
2,20,5,1.0,0.37,0.2972560059455193,1,36,5.074309050723258e-8,0.2972559552024288,1.7070504263800857e-7,3.8152049999999997,0.29725641477592835,1,1465,1.546053128593787e-6,0.37
3,5,1,0.1,0.196,0.6501357879783465,1,17,5.9217531767075116e-8,0.6501357287608147,9.108487527665362e-8,2.7586079999999997,0.6501361682096285,1,1127,6.759339540072175e-7,0.196
3,10,5,0.1,0.258,0.337609345163554,1,21,5.280038412047716e-8,0.3376092923631699,1.5639493732796676e-7,3.214264,0.3376096777771608,1,1130,1.1415976977143364e-6,0.258
3,15,1,1.0,0.349,0.6501357879783406,1,30,3.198856735053823e-8,0.6501357559897732,4.9202904248572694e-8,4.2942219999999995,0.6501361678590749,1,1500,6.335127669406726e-7,0.349
