seed,dimension,num_nodes,solution,termination,time
1,20,941,-1.5315297355179918,Optimal,8932.0
1,25,675,4.732725625997347,Optimal,4465.0
1,30,4299,-30.256792589821647,Optimal,15580.0
1,35,291,7.554286908660143,Optimal,2475.0
1,40,1389,8.098852168492977,Optimal,7086.0
1,45,2749,5.5391452015681475,Optimal,11893.0
1,50,1911,4.585952748585426,Optimal,10000.0
1,55,459,16.533885753709125,Optimal,3690.0
1,60,12533,2.8661354800662533,Optimal,62217.0
1,65,1223,14.605136821470847,Optimal,10303.0
1,75,1543,16.762973888813498,Optimal,9409.0
1,80,3049,20.41736237781244,Optimal,18752.0
1,85,1433,10.23629433509486,Optimal,11354.0
1,90,9551,9.436662791118634,Optimal,72207.0
1,95,3683,30.948562657078334,Optimal,23739.0
1,100,37307,5.124362607899436,Optimal,336783.0
1,105,2315,24.383438950258487,Optimal,56390.0
1,115,2929,29.724647287749562,Optimal,35621.0
1,120,4115,34.22481803753569,Optimal,53747.0
2,20,1071,-9.114481284154273,Optimal,7488.0
2,25,369,5.401151306729967,Optimal,2341.0
2,30,3263,-5.09776174657352,Optimal,11782.0
2,35,519,4.6425553616673465,Optimal,3277.0
2,40,4357,4.983745551952739,Optimal,17833.0
2,45,1567,5.830242566664516,Optimal,9033.0
2,50,779,8.807016396443254,Optimal,4433.0
2,55,100745,1.752693211045107,Optimal,414535.0
2,60,3311,2.6138727871343734,Optimal,16678.0
2,65,1671,17.47555530346127,Optimal,9831.0
2,70,323101,2.8719669187164216,Time limit reached,1.800004e6
2,75,1219,12.369619926990731,Optimal,8991.0
2,80,1895,11.009298212503344,Optimal,12271.0
2,85,4785,12.647034167167252,Optimal,35842.0
2,90,3077,17.517642041077387,Optimal,24954.0
2,95,30579,2.8471235283168554,Optimal,211067.0
2,100,14431,5.673555295693051,Optimal,145914.0
2,105,3001,33.943578694144975,Optimal,34893.0
2,110,208769,7.104506801468941,Time limit reached,1.800002e6
2,115,4569,23.62845009455348,Optimal,58077.0
2,120,4275,20.998195867066826,Optimal,58783.0
