numInstances,BosciaTerm,BosciaTermRel,BosciaTime,BosciaRelGapNT,BosciaNodesOCuts,Boscia_AfwTerm,Boscia_AfwTermRel,Boscia_AfwTime,Boscia_AfwRelGapNT,Boscia_AfwNodesOCuts,Boscia_No_As_No_SsTerm,Boscia_No_As_No_SsTermRel,Boscia_No_As_No_SsTime,Boscia_No_As_No_SsRelGapNT,Boscia_No_As_No_SsNodesOCuts,Boscia_No_AsTerm,Boscia_No_AsTermRel,Boscia_No_AsTime,Boscia_No_AsRelGapNT,Boscia_No_AsNodesOCuts,Boscia_No_SsTerm,Boscia_No_SsTermRel,Boscia_No_SsTime,Boscia_No_SsRelGapNT,Boscia_No_SsNodesOCuts,Boscia_Global_TighteningTerm,Boscia_Global_TighteningTermRel,Boscia_Global_TighteningTime,Boscia_Global_TighteningRelGapNT,Boscia_Global_TighteningNodesOCuts,Boscia_Local_TighteningTerm,Boscia_Local_TighteningTermRel,Boscia_Local_TighteningTime,Boscia_Local_TighteningRelGapNT,Boscia_Local_TighteningNodesOCuts,Boscia_No_TighteningTerm,Boscia_No_TighteningTermRel,Boscia_No_TighteningTime,Boscia_No_TighteningRelGapNT,Boscia_No_TighteningNodesOCuts
15,15,100 %,5.65,0.0,3,15,100 %,9.0,-0.0,4,15,100 %,6.92,-0.0,4,15,100 %,8.12,-0.0,4,15,100 %,9.63,-0.0,3,15,100 %,12.67,-0.0,3,15,100 %,10.71,-0.0,3,15,100 %,14.96,-0.0,3
3,3,100 %,13.61,0.0,4,3,100 %,18.81,0.0,5,3,100 %,12.27,0.0,4,3,100 %,16.37,0.0,5,3,100 %,15.51,0.0,3,3,100 %,20.76,0.0,4,3,100 %,18.69,0.0,4,3,100 %,26.27,0.0,4
0,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1
0,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1
0,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1,0,NaN,Inf,NaN,-1
