seed,num_v,solution,dual_gap,rel_dual_gap,number_nodes,ncalls,termination,time
1,4,-10.52163726099156,0.09626649698620504,0.009149383750674265,21,186,Optimal (tolerance reached),19.29
1,5,-6.753903222760302,0.06587981891160499,0.009754332678264243,449,3869,Optimal (tolerance reached),60.132
1,6,-6.609683524031659,0.06606041698301368,0.009994490166258262,3797,47959,Optimal (tolerance reached),459.722
1,7,-11.690896291367242,0.11641282603890701,0.009957562118215713,517,4852,Optimal (tolerance reached),71.068
1,8,-1.0950438989627638,0.010429731824701083,0.009524487406011965,1707,25069,Optimal (tolerance reached),246.119
2,4,-12.460514291879214,0.10325677234597386,0.008286718343019639,9,85,Optimal (tolerance reached),17.682
2,5,-14.615935365134433,0.14276239038128402,0.009767584955379346,409,3581,Optimal (tolerance reached),63.347
2,6,-9.397587997810406,0.09277285987134931,0.009871986289776159,259,2902,Optimal (tolerance reached),53.346
2,7,-4.423288842330427,0.04405304680369859,0.009959342103575825,1903,25513,Optimal (tolerance reached),260.477
2,8,-10.365833529843716,0.10354293766067357,0.009988867500386597,2779,37046,Optimal (tolerance reached),352.624
3,4,-9.927340542531102,0.09873842131558952,0.009946110027410715,73,555,Optimal (tolerance reached),23.686
3,5,-10.77493717608612,0.10522815603542313,0.009766011097397984,441,4284,Optimal (tolerance reached),67.461
3,6,-3.4326763706031858,0.03385298244045476,0.009861979046543836,563,7568,Optimal (tolerance reached),97.326
3,7,-5.729822203312297,0.05708852461995306,0.009963402457226564,2123,27782,Optimal (tolerance reached),274.928
3,8,-0.9868809399417318,0.9072653998700524,0.9193260941118387,4197,59410,Time limit reached,602.095
