seed,dimension,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,20,-1.5315296315467162,0.01404683905769799,0.009171770998326598,3382,OPTIMAL,12.689
1,25,4.732725723895142,0.04153065500997677,0.008852894497061765,7294,OPTIMAL,32.829
1,30,-30.148229091749364,0.29721238730538957,0.009858369670765418,799,OPTIMAL,81.036
1,35,7.5542870779353555,0.049891390144157555,0.006648288845606209,4274,OPTIMAL,22.625
1,40,8.098852387127241,0.06687605787318773,0.008326226962299657,16929,OPTIMAL,99.156
1,45,5.539145438148692,0.05374588845508299,0.009797989730408062,24436,OPTIMAL,129.635
1,50,4.585952906710067,0.04495402757780642,0.009899590106570712,16580,OPTIMAL,101.076
1,55,16.533886380781954,0.12178524508163235,0.007420454216963101,5299,OPTIMAL,35.917
1,60,2.86613555120942,0.02436426068375308,0.008573617716873412,120874,OPTIMAL,637.891
1,65,14.605036632131924,0.14160047887860472,0.009790237767721189,14348,OPTIMAL,103.01
1,70,-27.341499472969126,0.6309314997179598,0.023075965542479603,56666,Time limit reached,1800.059
1,75,16.762974827801166,0.1421892176101096,0.008554903537347001,13257,OPTIMAL,94.886
1,80,20.417363511271507,0.19759590261882565,0.00977241214850897,33986,OPTIMAL,245.851
1,85,10.236294863872313,0.09683936869178567,0.009550746461465828,14979,OPTIMAL,110.895
1,90,9.436663323353024,0.08876123546756709,0.009495310780222917,109437,OPTIMAL,753.399
1,95,30.948564636447877,0.2993671924565575,0.009767537730918548,30407,OPTIMAL,247.039
1,100,5.124362714402975,1.1355499835257055,0.28468370418481925,266086,Time limit reached,1800.017
1,105,24.383439443446974,0.23690228788992584,0.009811025339316843,34261,OPTIMAL,262.54
1,110,-46.18164975466717,3.5708801401979144,0.07732248975876045,98843,Time limit reached,1800.029
1,115,29.724648332400744,0.2858729786133054,0.009710763276588763,57324,OPTIMAL,471.151
1,120,34.22481925672192,0.31999270383294487,0.009437969055343207,110087,OPTIMAL,840.305
2,20,-9.114481093385423,0.08766841539283732,0.00961858546796045,3842,OPTIMAL,72.257
2,25,5.401151430831927,0.051971445446191034,0.009715778042275634,3015,OPTIMAL,16.781
2,30,-5.097761657956127,0.049692218441505176,0.00974785048334891,24531,OPTIMAL,142.167
2,35,4.642555494445428,0.04457210247189636,0.00969383720474146,4770,OPTIMAL,26.154
2,40,4.9837457348195215,0.04365102310853075,0.008836070086885504,36068,OPTIMAL,207.758
2,45,5.830242767434988,0.05757012330611122,0.009972871641121584,23311,OPTIMAL,129.553
2,50,8.80701698090926,0.06031326516401059,0.006895542266447022,6695,OPTIMAL,41.478
2,55,1.7526932412468637,0.757962964718033,0.7619783800720222,331611,Time limit reached,1800.03
2,60,2.6138728690704593,0.02501762750603964,0.009663586864332259,40559,OPTIMAL,236.179
2,65,17.475556187178498,0.14470763916903095,0.008349714600999807,15349,OPTIMAL,111.209
2,70,1.9116687935507768,1.7438724699381316,10.39279307432164,301345,Time limit reached,1800.022
2,75,12.36962069471928,0.11763019741725955,0.009600905048299099,13515,OPTIMAL,91.241
2,80,11.009298728836544,0.09913812856768445,0.009086770781838113,18293,OPTIMAL,137.621
2,85,12.647034830321303,0.12371216046171796,0.009878541320304817,64000,OPTIMAL,429.416
2,90,17.517643141136713,0.1672886063715353,0.009641797580351255,37594,OPTIMAL,288.206
2,95,2.847123627488698,0.7585032227843298,0.36315992177223383,265593,Time limit reached,1800.013
2,100,5.673555409956627,0.05413738890933928,0.00963398499748017,230957,OPTIMAL,1409.094
2,105,33.94358101198295,0.3038838547511915,0.00903348960993436,35864,OPTIMAL,279.274
2,110,4.135696097878222,4.462626665584294,Inf,235225,Time limit reached,1800.011
2,115,23.62845063423777,3.8609953096647267,0.19532080615682992,244389,Time limit reached,1800.004
2,120,20.99819808604681,0.20566146631840354,0.009891119591597473,146746,OPTIMAL,1085.0
3,20,4.20407077799835,0.0,0.0,1743,OPTIMAL,9.827
3,25,-1.2079100763198598,0.004068577486650682,0.0033682784558320923,2905,OPTIMAL,15.583
3,30,-11.64065520659113,0.11461055233380435,0.009845713175054782,24925,OPTIMAL,781.263
3,35,-0.2880865954664342,0.002779299576971539,0.009647444972132912,11376,OPTIMAL,55.736
3,40,10.050698707324818,0.06518921706180869,0.00652838166398775,4102,OPTIMAL,25.481
3,45,4.9990692537816654,0.04744865265535214,0.00958244915706169,15804,OPTIMAL,90.003
3,50,3.4362127268012794,0.032707492825447826,0.00960994344857825,76880,OPTIMAL,432.462
3,55,5.481378312318317,0.05372576484956415,0.009898526919270057,50933,OPTIMAL,312.148
3,60,19.405259896663715,0.17692656358267556,0.009201346810349155,12094,OPTIMAL,79.172
3,65,3.6627533428631693,0.0357421265075919,0.009854429549712175,92241,OPTIMAL,554.489
3,70,-9.518703651771812,1.9847086700261727,0.2085061939770274,239783,Time limit reached,1800.015
3,75,3.3435397905712,0.032402272682780175,0.009785843235965557,264196,OPTIMAL,1519.32
3,80,24.905690740422084,0.24449800527192522,0.009914281433899856,18618,OPTIMAL,138.097
3,85,13.258941132080682,0.12916842704301246,0.009837826590360756,21419,OPTIMAL,156.747
3,90,8.285236923504623,0.07966101589969199,0.00970815659944869,49184,OPTIMAL,352.507
3,95,9.229624282947771,0.09121738839668225,0.009981760436939175,24344,OPTIMAL,185.411
3,100,29.25283530545489,0.28267792671854153,0.009757555784837496,23623,OPTIMAL,189.42
3,105,6.638772394916881,0.7890221132053385,0.134881332571086,263249,Time limit reached,1800.016
3,110,-5.547697572992888,9.875248809427674,1.7800625718139402,202621,Time limit reached,1800.024
3,115,6.698316420954534,2.978015114260945,0.8004768616194827,237261,Time limit reached,1800.012
3,120,37.13028787025724,0.35222508592615753,0.009577042923430416,49828,OPTIMAL,434.808
4,20,-0.10255377782761688,0.0005794047812655023,0.005649765357639253,5419,OPTIMAL,21.022
4,25,3.9673796980592613,0.02470910653779912,0.006267098902691733,1804,OPTIMAL,10.203
4,30,4.469739487754895,0.04290026443868644,0.009690947033434217,2828,OPTIMAL,15.448
4,35,9.528010025567454,0.07674204600916035,0.00811976193830734,8628,OPTIMAL,47.722
4,40,7.00877873652416,0.06477461284321251,0.00932813571096731,4781,OPTIMAL,28.506
4,45,-8.907047977525977,0.977782060541049,0.10977622024807347,258030,Time limit reached,1800.048
4,50,12.196312427923242,0.11201523018832837,0.00926948653739868,12045,OPTIMAL,71.853
4,55,9.11070901180248,0.089576669972665,0.009929648139326107,11900,OPTIMAL,80.331
4,60,6.211856795992851,0.053162354516461896,0.008632081851379784,19275,OPTIMAL,119.793
4,65,15.88525578180656,0.15167878271252278,0.009640451292243122,10181,OPTIMAL,69.496
4,70,11.446821123188663,0.10938832052341496,0.009648420628142513,26266,OPTIMAL,180.8
4,75,22.58669276453785,0.21445016559943753,0.009585546225464828,24932,OPTIMAL,178.872
4,80,15.604545326924146,0.14877468359878776,0.00962583406755177,19986,OPTIMAL,144.987
4,85,3.315069099598274,9.922161304627878,Inf,249173,Time limit reached,1800.03
4,90,24.78573593455474,0.2401873325925763,0.009785372349484818,40936,OPTIMAL,314.197
4,95,18.646584476493437,0.16464259346736654,0.00890829516234846,44194,OPTIMAL,335.43
4,100,11.390991601620275,0.11100178797603455,0.009840592926933954,43761,OPTIMAL,316.542
4,105,28.79427705775312,0.2720436786565905,0.009537951500528946,72316,OPTIMAL,521.177
4,110,18.78344630640528,0.1780152589452868,0.009567919092612981,256548,OPTIMAL,1771.106
4,115,32.55709720621315,0.3063154430825108,0.00949792303740969,35179,OPTIMAL,291.032
4,120,32.02814871577698,47.91416483260255,Inf,217735,Time limit reached,1800.019
5,20,-9.518173438085164,0.08826712556506067,0.00927353616103238,4577,OPTIMAL,81.454
