seed,num_v,solution,dual_gap,rel_dual_gap,number_nodes,ncalls,termination,time
1,4,-271.01171330788446,3.791038616896344,0.013988467769987167,115,2754,Time limit reached,1803.429
1,5,-296.8319929583018,8.76012507497154,0.029512065015856095,111,2676,Time limit reached,1805.814
1,6,-220.4497816902557,14.378911435987902,0.0652253376063265,73,2263,Time limit reached,1807.021
1,7,-192.13083878378455,23.048925184156673,0.11996473512560314,77,1979,Time limit reached,1805.066
1,8,-105.9148864611476,25.77666805752014,0.24337153084685323,61,2164,Time limit reached,1807.461
2,4,-374.33604298902037,5.212465800077098,0.013924562963417295,163,3246,Time limit reached,1804.094
2,5,-206.5806487926882,20.228552305315958,0.09792084797650193,29,871,Time limit reached,1806.783
2,6,-224.91979872193497,18.300878866349734,0.08136624241325612,203,5986,Time limit reached,1806.165
2,7,-160.5123476237869,30.01694937709894,0.18700710457150288,59,1764,Time limit reached,1806.995
2,8,-160.53970956157926,40.28825961411579,0.25095510465379384,33,1091,Time limit reached,1808.398
3,4,-350.8591606370959,7.431307663757934,0.02118031534437933,139,2358,Time limit reached,1802.895
3,5,-303.58076278784307,14.306843159099913,0.0471269754635218,69,1728,Time limit reached,1805.272
3,6,-197.47775222227224,23.08554000380414,0.11690197880022493,33,865,Time limit reached,1808.718
3,7,-154.15950880984462,28.725243483964533,0.1863345550704696,57,1823,Time limit reached,1807.178
3,8,-156.9874463178072,29.13876253049139,0.1856120550652346,23,719,Time limit reached,1808.712
