seed,num_v,solution,dual_gap,rel_dual_gap,number_nodes,ncalls,termination,time
1,4,-10.52163726099156,0.09626649698620504,0.009149383750674265,21,186,Optimal (tolerance reached),13.309
1,5,-6.753903222760302,0.06587981891160766,0.009754332678264636,449,3869,Optimal (tolerance reached),46.845
1,6,-6.609683524031659,0.06606041698300835,0.009994490166257457,3797,47959,Optimal (tolerance reached),349.696
1,7,-11.690896291367242,0.11641282603890524,0.00995756211821556,517,4852,Optimal (tolerance reached),44.96
1,8,-1.0950438989627638,0.010429731824702415,0.009524487406013183,1707,25069,Optimal (tolerance reached),183.564
2,4,-12.460514291879214,0.10325677234597741,0.008286718343019925,9,85,Optimal (tolerance reached),12.314
2,5,-14.615935365134433,0.14276239038128402,0.009767584955379346,409,3581,Optimal (tolerance reached),33.335
2,6,-9.3975879978104,0.0927728598713582,0.009871986289777111,259,2902,Optimal (tolerance reached),26.145
2,7,-4.4232888423304235,0.04405304680369504,0.00995934210357503,1903,25513,Optimal (tolerance reached),193.005
2,8,-10.365833529843716,0.10354293766067002,0.009988867500386253,2779,37046,Optimal (tolerance reached),263.379
3,4,-9.927340542531102,0.09873842131559307,0.009946110027411073,73,555,Optimal (tolerance reached),17.236
3,5,-10.77493717608612,0.10522815603543023,0.009766011097398643,441,4284,Optimal (tolerance reached),37.52
3,6,-3.432676370603183,0.03385298244045831,0.009861979046544879,563,7568,Optimal (tolerance reached),60.158
3,7,-5.729822203312294,0.05708852461995573,0.009963402457227034,2123,27782,Optimal (tolerance reached),201.411
3,8,-0.9868809399417389,0.43624948952158804,0.4420487536696598,23409,331574,Time limit reached,1801.554
