minTime,numInstances,BosciaTerm,BosciaTermRel,BosciaTime,BosciaRelGapNT,BosciaNodesOCuts,Boscia_AfwTerm,Boscia_AfwTermRel,Boscia_AfwTime,Boscia_AfwRelGapNT,Boscia_AfwNodesOCuts,Boscia_No_As_No_SsTerm,Boscia_No_As_No_SsTermRel,Boscia_No_As_No_SsTime,Boscia_No_As_No_SsRelGapNT,Boscia_No_As_No_SsNodesOCuts,Boscia_No_AsTerm,Boscia_No_AsTermRel,Boscia_No_AsTime,Boscia_No_AsRelGapNT,Boscia_No_AsNodesOCuts,Boscia_No_SsTerm,Boscia_No_SsTermRel,Boscia_No_SsTime,Boscia_No_SsRelGapNT,Boscia_No_SsNodesOCuts,Boscia_Global_TighteningTerm,Boscia_Global_TighteningTermRel,Boscia_Global_TighteningTime,Boscia_Global_TighteningRelGapNT,Boscia_Global_TighteningNodesOCuts,Boscia_Local_TighteningTerm,Boscia_Local_TighteningTermRel,Boscia_Local_TighteningTime,Boscia_Local_TighteningRelGapNT,Boscia_Local_TighteningNodesOCuts,Boscia_No_TighteningTerm,Boscia_No_TighteningTermRel,Boscia_No_TighteningTime,Boscia_No_TighteningRelGapNT,Boscia_No_TighteningNodesOCuts
0,210,158,75 %,236.29,1.86,102695,101,48 %,616.09,1.87,175929,140,67 %,448.87,1.88,80977,146,70 %,437.36,2.24,76202,157,75 %,314.28,1.86,96942,175,83 %,208.29,1.86,75119,154,73 %,312.1,1.86,90737,175,83 %,214.79,1.86,76329
10,193,141,73 %,326.24,2.04,111530,84,44 %,830.78,2.05,191001,123,64 %,606.48,2.05,87815,129,67 %,592.02,2.45,82633,140,73 %,422.94,2.04,105267,158,82 %,266.99,2.04,81535,137,71 %,416.07,2.04,98519,158,82 %,272.65,2.04,82852
300,88,36,41 %,1325.3,4.92,206764,4,5 %,1770.36,4.95,245297,18,20 %,1672.51,4.96,142245,24,27 %,1641.35,5.91,136296,35,40 %,1392.19,4.92,191551,53,60 %,902.52,4.92,157361,32,36 %,1418.11,4.91,178136,53,60 %,897.79,4.92,160247
600,55,6,11 %,1698.1,8.87,243413,1,2 %,1784.64,8.91,221859,2,4 %,1743.76,8.94,149041,2,4 %,1745.61,10.66,142500,5,9 %,1712.09,8.87,221720,20,36 %,1450.83,8.86,216919,5,9 %,1708.98,8.86,201322,20,36 %,1434.85,8.86,221585
1200,40,0,0 %,1800.0,13.85,255180,0,0 %,1800.0,13.91,221269,0,0 %,1800.0,13.95,156470,0,0 %,1800.0,16.67,148510,0,0 %,1800.0,13.85,227549,5,12 %,1760.78,13.83,251412,0,0 %,1800.0,13.83,206765,5,12 %,1749.17,13.84,257850
