seed,dimension,var_A,p,k,M,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,5,1,25,5.0,0.1,0.6330541727029532,0.00609211875447202,0.00971688592013676,1631,OPTIMAL,4.915
1,5,5,25,5.0,0.1,0.28694865548636417,0.002214185452591444,0.007776316834167695,1311,OPTIMAL,4.42
1,5,1,25,5.0,1.0,0.6330541727029194,0.006248076662719537,0.009968117256981528,15712,OPTIMAL,38.353
1,5,5,25,5.0,1.0,0.2867351506391778,0.0028201837432594856,0.00993319857030767,35906,OPTIMAL,110.961
2,5,1,25,5.0,0.1,0.561558803563659,0.003522811540558335,0.006312875138728514,57,OPTIMAL,0.193
2,5,5,25,5.0,0.1,0.20313961626515484,0.001464593213834936,0.007262144769718179,122,OPTIMAL,0.394
2,5,1,25,5.0,1.0,0.5304053488365846,0.005221892482894508,0.009942987387968618,7947,OPTIMAL,28.927
2,5,5,25,5.0,1.0,0.15519907526447277,0.0015067908251743256,0.009803945791237428,37563,OPTIMAL,116.461
3,5,1,25,5.0,0.1,0.6595374915715047,0.0063961919068671325,0.009792968091516072,1851,OPTIMAL,3.351
3,5,5,25,5.0,0.1,0.38760816244687524,0.003432101299128243,0.008933667779493216,2426,OPTIMAL,4.363
3,5,1,25,5.0,1.0,0.6595374915714965,0.006526571250672131,0.009994582092847122,14682,OPTIMAL,49.032
3,5,5,25,5.0,1.0,0.3872486896147957,0.0037600035885448913,0.009804731470715434,72596,OPTIMAL,194.425
1,10,1,50,10.0,0.1,0.4718474259178642,0.003474199147500634,0.007417586977498144,60,OPTIMAL,0.312
1,10,5,50,10.0,0.1,0.10447247263399045,0.001027156226460546,0.009929460918404404,4141,OPTIMAL,18.775
1,10,1,50,10.0,1.0,0.6931471805599454,0.34242227805401576,0.9763272456771914,528247,Time limit reached,1800.03
1,10,5,50,10.0,1.0,0.08821500748571258,0.02636900284055737,0.4263655023772505,473698,Time limit reached,1800.186
2,10,1,50,10.0,0.1,0.6484994987895639,0.007101540914932647,0.011071973067180744,539119,Time limit reached,1800.161
2,10,5,50,10.0,0.1,0.3194128293759913,0.004948496830321558,0.015736273777894626,533329,Time limit reached,1800.133
2,10,1,50,10.0,1.0,0.6487523141907058,0.01883883585412982,0.02990702136407349,278370,Time limit reached,1800.181
2,10,5,50,10.0,1.0,0.3287973704251086,0.0619093780678272,0.23196764126034372,269970,Time limit reached,1800.201
3,10,1,50,10.0,0.1,0.6680688253172661,0.007897123217478152,0.0119622261789774,320150,Time limit reached,1800.153
3,10,5,50,10.0,0.1,0.42004685877632925,0.015279453957270483,0.03774872624464607,315281,Time limit reached,1800.176
3,10,1,50,10.0,1.0,0.6684753106468795,0.013766812640755743,0.02102739262233767,297696,Time limit reached,1800.206
3,10,5,50,10.0,1.0,0.43975338206698034,0.08457327747869908,0.23811378054729443,273017,Time limit reached,1800.179
1,15,1,75,15.0,0.1,0.6931471805599453,0.06931429688452884,0.1111103609610189,265614,Time limit reached,1800.023
1,15,5,75,15.0,0.1,0.4748713053572951,0.20240731889613445,0.742877330413674,254765,Time limit reached,1800.092
