seed,num_v,solution,dual_gap,rel_dual_gap,number_nodes,ncalls,termination,time
1,4,-266.88564921539154,10.255967524500136,0.03842832147270309,17,370,Time limit reached,606.784
1,5,-292.5452824006466,13.514432595383653,0.04619603667672674,17,377,Time limit reached,609.032
1,6,-213.77148914905115,20.573984404291508,0.0962428829316261,13,427,Time limit reached,606.282
1,7,-192.1308387837846,23.71025596318438,0.12340682065031129,15,397,Time limit reached,606.768
1,8,-91.91307516209395,39.18159733712588,0.4262897010901539,13,504,Time limit reached,608.388
2,4,-371.241523260408,10.339403629463561,0.027850881384868603,21,364,Time limit reached,607.065
2,5,-213.7507942816876,13.548728887204987,0.06338563060191506,5,155,Time limit reached,606.462
2,6,-235.10403460375753,7.80859847018516,0.0332133750207465,57,1738,Time limit reached,605.729
2,7,-162.84717218786093,27.734762043485375,0.17031159749885297,13,399,Time limit reached,608.505
2,8,-170.7542284932267,29.610981045197377,0.17341287127406016,9,334,Time limit reached,606.994
3,4,-350.8557083198778,9.664920936847182,0.027546711390642672,15,228,Time limit reached,609.786
3,5,-301.2063625424759,16.43576328266016,0.05456645451950704,15,433,Time limit reached,606.979
3,6,-196.29349192805086,24.19677383948863,0.12326834477200946,7,218,Time limit reached,610.14
3,7,-143.36985923086135,39.808514461501034,0.27766306443392236,15,477,Time limit reached,607.292
3,8,-143.32567506068455,43.15649227183212,0.30110789468502086,7,234,Time limit reached,612.039
