numInstances,BosciaTerm,BosciaTermRel,BosciaTime,BosciaRelGapNT,BosciaNodesOCuts,Boscia_Strong_BranchingTerm,Boscia_Strong_BranchingTermRel,Boscia_Strong_BranchingTime,Boscia_Strong_BranchingRelGapNT,Boscia_Strong_BranchingNodesOCuts,Boscia_Hybrid_Branching_1Term,Boscia_Hybrid_Branching_1TermRel,Boscia_Hybrid_Branching_1Time,Boscia_Hybrid_Branching_1RelGapNT,Boscia_Hybrid_Branching_1NodesOCuts,Boscia_Hybrid_Branching_2Term,Boscia_Hybrid_Branching_2TermRel,Boscia_Hybrid_Branching_2Time,Boscia_Hybrid_Branching_2RelGapNT,Boscia_Hybrid_Branching_2NodesOCuts,Boscia_Hybrid_Branching_5Term,Boscia_Hybrid_Branching_5TermRel,Boscia_Hybrid_Branching_5Time,Boscia_Hybrid_Branching_5RelGapNT,Boscia_Hybrid_Branching_5NodesOCuts,Boscia_Hybrid_Branching_10Term,Boscia_Hybrid_Branching_10TermRel,Boscia_Hybrid_Branching_10Time,Boscia_Hybrid_Branching_10RelGapNT,Boscia_Hybrid_Branching_10NodesOCuts,Boscia_Hybrid_Branching_20Term,Boscia_Hybrid_Branching_20TermRel,Boscia_Hybrid_Branching_20Time,Boscia_Hybrid_Branching_20RelGapNT,Boscia_Hybrid_Branching_20NodesOCuts
210,199,95 %,19.47,0.72,35329,201,96 %,30.38,0.38,26689,202,96 %,31.33,0.41,25897,201,96 %,30.13,0.39,27835,200,95 %,28.15,0.48,33793,200,95 %,27.83,0.94,36034,199,95 %,25.57,0.03,35743
112,101,90 %,56.95,1.35,65290,103,92 %,67.52,0.7,48888,104,93 %,68.35,0.75,47396,103,92 %,67.23,0.71,51090,102,91 %,62.0,0.89,62395,102,91 %,60.81,1.76,66617,101,90 %,59.2,0.05,66059
16,6,38 %,1280.7,2.01,358789,7,44 %,1175.1,3.42,280913,8,50 %,1188.39,3.83,270162,7,44 %,1169.76,3.32,295521,6,38 %,1130.83,4.94,369851,6,38 %,1213.66,11.72,383035,6,38 %,1151.83,0.36,357513
11,1,9 %,1782.86,3.12,445452,2,18 %,1766.16,5.32,351293,3,27 %,1773.45,5.95,338282,2,18 %,1746.89,4.97,374000,1,9 %,1708.68,7.69,471147,1,9 %,1713.49,18.23,472121,1,9 %,1724.26,0.58,451359
10,0,0 %,1800.02,3.51,452943,1,10 %,1774.89,5.99,337138,2,20 %,1778.26,6.69,322825,1,10 %,1770.14,5.53,366620,0,0 %,1800.16,8.65,483748,0,0 %,1800.01,20.51,485578,0,0 %,1800.15,0.67,461721
