minTime,numInstances,BosciaTerm,BosciaTermRel,BosciaTime,BosciaRelGapNT,BosciaNodesOCuts,Boscia_AfwTerm,Boscia_AfwTermRel,Boscia_AfwTime,Boscia_AfwRelGapNT,Boscia_AfwNodesOCuts,Boscia_No_As_No_SsTerm,Boscia_No_As_No_SsTermRel,Boscia_No_As_No_SsTime,Boscia_No_As_No_SsRelGapNT,Boscia_No_As_No_SsNodesOCuts,Boscia_No_AsTerm,Boscia_No_AsTermRel,Boscia_No_AsTime,Boscia_No_AsRelGapNT,Boscia_No_AsNodesOCuts,Boscia_No_SsTerm,Boscia_No_SsTermRel,Boscia_No_SsTime,Boscia_No_SsRelGapNT,Boscia_No_SsNodesOCuts,Boscia_Global_TighteningTerm,Boscia_Global_TighteningTermRel,Boscia_Global_TighteningTime,Boscia_Global_TighteningRelGapNT,Boscia_Global_TighteningNodesOCuts,Boscia_Local_TighteningTerm,Boscia_Local_TighteningTermRel,Boscia_Local_TighteningTime,Boscia_Local_TighteningRelGapNT,Boscia_Local_TighteningNodesOCuts,Boscia_No_TighteningTerm,Boscia_No_TighteningTermRel,Boscia_No_TighteningTime,Boscia_No_TighteningRelGapNT,Boscia_No_TighteningNodesOCuts
0,48,15,31 %,387.38,0.19,291365,14,29 %,469.42,0.18,207756,14,29 %,428.38,0.29,193752,14,29 %,411.88,0.29,196125,15,31 %,472.98,0.24,186664,14,29 %,477.29,0.24,183454,14,29 %,471.22,0.24,181870,14,29 %,446.59,0.24,183518
10,40,7,18 %,1048.63,0.23,349437,6,15 %,1184.59,0.21,249015,6,15 %,1112.51,0.34,232213,6,15 %,1066.83,0.34,235047,7,18 %,1093.71,0.29,223801,6,15 %,1089.11,0.29,219944,6,15 %,1083.83,0.29,218044,6,15 %,1050.39,0.29,220021
300,34,1,3 %,1787.88,0.26,406414,0,0 %,1800.0,0.25,284540,0,0 %,1800.0,0.4,267768,0,0 %,1800.0,0.4,270880,1,3 %,1799.08,0.34,258712,0,0 %,1800.0,0.34,254073,0,0 %,1800.0,0.34,251838,0,0 %,1800.0,0.34,254164
600,34,1,3 %,1787.88,0.26,406414,0,0 %,1800.0,0.25,284540,0,0 %,1800.0,0.4,267768,0,0 %,1800.0,0.4,270880,1,3 %,1799.08,0.34,258712,0,0 %,1800.0,0.34,254073,0,0 %,1800.0,0.34,251838,0,0 %,1800.0,0.34,254164
1200,34,1,3 %,1787.88,0.26,406414,0,0 %,1800.0,0.25,284540,0,0 %,1800.0,0.4,267768,0,0 %,1800.0,0.4,270880,1,3 %,1799.08,0.34,258712,0,0 %,1800.0,0.34,254073,0,0 %,1800.0,0.34,251838,0,0 %,1800.0,0.34,254164
