seed,num_v,solution,dual_gap,rel_dual_gap,number_nodes,ncalls,termination,time
1,4,-266.890675229526,9.176608114935107,0.03438339727322142,107,2588,Time limit reached,1802.765
1,5,-294.5182579085957,10.903048556390218,0.03701994108553365,73,1882,Time limit reached,1803.841
1,6,-215.73568295060636,16.303634468282723,0.075572266234768,99,3205,Time limit reached,1801.487
1,7,-196.59532134777575,18.39246475553793,0.09355494642215716,75,2140,Time limit reached,1802.597
1,8,-115.70232966268935,13.748946593714862,0.11883033499669021,89,3300,Time limit reached,1802.72
2,4,-373.68427225309676,6.777812200245307,0.018137804300349808,95,2034,Time limit reached,1803.596
2,5,-214.35779697324827,10.543237485122773,0.049185229714030713,35,1152,Time limit reached,1803.011
2,6,-228.33358593593812,11.951306869819632,0.05234143203607691,487,14618,Time limit reached,1801.626
2,7,-166.3529005438893,22.519185399562986,0.1353699594412644,53,1705,Time limit reached,1804.246
2,8,-171.85198995634764,25.39375200514087,0.14776524852340187,51,1896,Time limit reached,1802.867
3,4,-355.1208503680947,4.064762013182815,0.0114461373050035,87,1465,Time limit reached,1802.702
3,5,-305.28425984627404,9.522678996017817,0.031192826648884432,133,3822,Time limit reached,1802.799
3,6,-191.50351470097135,25.806456920509987,0.13475709289621246,75,2232,Time limit reached,1801.786
3,7,-152.86701126752527,29.33978149490892,0.19193010481223294,77,2435,Time limit reached,1802.489
3,8,-152.47047810450914,32.65074926449421,0.21414472932992398,33,1128,Time limit reached,1804.405
