seed,numV,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeIpopt,solutionIpopt,terminationIpopt,numberNodesIpopt,relGapIpopt,timeScipOA,solutionScipOA,terminationScipOA,numberNodesScipOA,relGapScipOA,timePavito,solutionPavito,terminationPavito,relGapPavito,timeShot,solutionShot,terminationShot,relGapShot,minimumTime
1,4,603.299,-266.88679585715033,0,510,10.251133412465322,-277.13792926961565,0.03841004340264246,1.800269e6,Inf,0,15577,Inf,1800.0343,-268.90825871264985,0,10312,0.030604008208464383,1800.0,NaN,0,Inf,11.394611120223999,-271.7723699414629,0,0.019742843355667263,11.394611120223999
1,5,604.689,-292.4946578242522,0,525,13.573423215246464,-306.0680810394987,0.04640571324007622,1.800082e6,Inf,0,16145,Inf,1800.126151,-293.2227776302338,0,5686,0.043807317811658385,1800.0,NaN,0,Inf,9.225218057632446,-301.30693337712074,0,0.015801653181404907,9.225218057632446
1,6,602.987,-213.14238020047736,0,512,20.355174890965827,-233.4975550914432,0.09550036399058773,1.800067e6,Inf,0,17785,Inf,1800.138122,-193.4755410203419,0,4553,0.20685826156647577,1800.0,NaN,0,Inf,27.005867958068848,-225.11504439575577,0,0.037236563723172716,27.005867958068848
1,7,602.799,-188.18866828036377,0,721,27.638265167357503,-215.82693344772127,0.14686466204321066,1.800169e6,Inf,0,16177,Inf,1800.003445,-149.05134875158006,0,2172,0.44800389433197485,1800.0,NaN,0,Inf,13.909647941589355,-206.5035401377134,0,0.04514883039675869,13.909647941589355
1,8,605.329,-112.17005317633968,0,527,18.92717917457975,-131.09723235091943,0.16873647322627916,1.800269e6,Inf,0,15587,Inf,1800.10281,-100.58482884326233,0,5195,0.303349957031825,1800.0,NaN,0,Inf,29.966830015182495,-122.18738510704085,0,0.07291953450082596,29.966830015182495
2,4,602.731,-369.9064923829714,0,470,11.671507719803799,-381.5780001027752,0.03155258953314088,1.800113e6,Inf,0,15599,Inf,1800.454954,-375.18591320827744,0,7146,0.0170371185843252,1800.0,NaN,0,Inf,16.28581976890564,-376.302503738777,0,0.014019296474467233,16.28581976890564
2,5,605.655,-194.5843193000834,0,217,32.45311855050397,-227.03743785058737,0.16678177700668434,1.800096e6,Inf,0,15865,Inf,1800.135955,-187.949541453126,0,4082,0.20797016100839902,1800.0,NaN,0,Inf,11.502364873886108,-218.67543596583806,0,0.03823932874680828,11.502364873886108
2,6,601.423,-230.24430796165942,0,3795,11.671920527711592,-241.916228489371,0.05069363334556447,1.800267e6,Inf,0,16767,Inf,1800.001224,-163.76669116210607,0,5463,0.4772004415104647,1800.0,NaN,0,Inf,18.423532009124756,-237.62485859342212,0,0.01805943166616021,18.423532009124756
2,7,602.692,-158.5986893995471,0,650,31.656804611401554,-190.25549401094867,0.19960319174927527,1.800213e6,Inf,0,16429,Inf,1800.006948,-41.91913045953443,0,1534,3.5386316921484573,1800.0,NaN,0,Inf,14.286967992782593,-178.34146751724975,0,0.06680457809144444,14.286967992782593
2,8,602.135,-158.54948993414985,0,474,41.0186098223148,-199.56809975646465,0.2587117110206473,1.800048e6,Inf,0,16515,Inf,1800.013766,-67.25572472189212,0,5875,1.9673027921666884,1800.0,NaN,0,Inf,26.612502813339233,-183.89965611580197,0,0.08520104915691752,26.612502813339233
3,4,602.727,-350.8557083198777,0,424,9.65589068224358,-360.5115990021213,0.02752097358906367,1.800276e6,Inf,0,15191,Inf,1800.003325,-354.1603677143663,0,6627,0.017933207288956973,1767.1161029338837,-353.9519843467098,0,0.018532498602934943,12.452399969100952,-355.1862950285949,0,0.014992988322079447,12.452399969100952
3,5,603.019,-301.2063625424759,0,571,16.19736506818748,-317.4037276106634,0.053774976502706975,1.800182e6,Inf,0,17123,Inf,1800.303479,-306.5764874736539,0,5879,0.03531660312971632,1800.0,NaN,0,Inf,17.66349983215332,-311.47735107994765,0,0.01902666922704953,17.66349983215332
3,6,606.566,-203.44961046548556,0,212,17.026235506788453,-220.47584597227402,0.0836877272354222,1.800275e6,Inf,0,16131,Inf,1800.048748,-183.6039877189883,0,3070,0.20082275287898033,1800.0,NaN,0,Inf,31.761417150497437,-209.78117784192574,0,0.050980112898436104,31.761417150497437
3,7,602.886,-158.2155014924865,0,581,25.17803769504809,-183.3935391875346,0.1591376158311755,1.800064e6,Inf,0,18371,Inf,1800.000746,-85.28327369151279,0,2361,1.150404542992884,1800.0,NaN,0,Inf,19.556872129440308,-171.16241278154087,0,0.07145918433391475,19.556872129440308
3,8,606.004,-142.4497814025163,0,375,43.684538141101314,-186.1343195436176,0.30666623501276674,1.800039e6,Inf,0,16657,Inf,1800.001805,0.27451606541318796,0,2425,Inf,1800.0,NaN,0,Inf,9.258852005004883,-174.02704167514892,0,0.06957124451422314,9.258852005004883
