seed,dimension,Ns,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeIpopt,solutionIpopt,terminationIpopt,numberNodesIpopt,relGapIpopt,timeScipOA,solutionScipOA,terminationScipOA,numberNodesScipOA,relGapScipOA,timePavito,solutionPavito,terminationPavito,relGapPavito,timeShot,solutionShot,terminationShot,relGapShot,minimumTime
1,50,0.1,1800.024,0.9889242810874164,0,24415,0.15278494874538884,0.8361393323420275,0.1827266614972387,1800.078,Inf,0,37721,Inf,12.267667,0.8576320123342457,1,2053,0.025704663279046,1800.0,NaN,0,Inf,15.343775987625122,0.8397522901095972,1,0.004320999656181401,12.267667
1,70,1.0,1800.027,0.5086566636648585,0,33519,0.0212767917726035,0.487379871892255,0.04365545850302811,1800.114,0.5068104303050547,0,21097,0.03986737970396771,17.250024,0.5102882203894357,1,2544,0.047003066434070956,52.1024649143219,0.4909334311888632,1,0.0072911490636891774,19.030781984329224,0.49093343117427996,1,0.0072911490337674995,17.250024
1,90,5.0,1800.032,0.5068305288643339,0,31700,0.0193862452977982,0.4874442835665357,0.039771202476625196,1800.041,0.5068102884261629,0,22733,0.03972967888335859,15.264005,0.5102883530382827,1,2274,0.04686498589049266,20.11758589744568,0.5064226773356479,1,0.0389344883280834,63.79666996002197,0.49093343117451027,1,0.007158043956214167,15.264005
1,50,10.0,2.808,0.8662129150638478,1,24,0.005983028203234042,0.8602298868606137,0.0069551503552950774,5.641,0.8662486133925833,1,101,0.006996648946870164,6.99987,0.8662489916280611,1,1887,0.006997088638031335,1800.0,NaN,0,Inf,1802.659306049347,0.86622144013059,1,0.006965060574496269,2.808
2,70,0.1,1800.019,0.9571916791480566,0,40493,0.14828415520840044,0.8089075239396561,0.18331410058619052,1800.041,Inf,0,42611,Inf,8.645237999999999,0.8398445932674922,1,2039,0.03824549582276342,1800.0,NaN,0,Inf,12.95790410041809,0.8108838921897265,1,0.002443256109727741,8.645237999999999
2,90,1.0,1800.025,1.0000000000000004,0,37271,0.7345870644508963,0.26541293554910417,2.767713875479102,1800.134,0.27539175150275513,0,25125,0.037597323329422956,10.33143,0.28088412448594735,1,2151,0.05829101322750282,558.3636331558228,0.267287871489283,1,0.00706422215744629,14.949300050735474,0.26729932103627585,1,0.00710736077451915,10.33143
2,50,5.0,1800.02,0.2752792025467366,0,38686,0.00967066023930635,0.26560854230743025,0.03640944735923811,1800.122,0.27539166420006117,0,27935,0.036832858640921964,24.448029,0.28088405306421105,1,3693,0.05751136851276441,1800.0,NaN,0,Inf,39.02729105949402,0.2672878714785656,1,0.006322572145257231,24.448029
2,70,10.0,5.941,0.36738772589457264,1,495,0.003422131941081319,0.3639655939534913,0.009402350106528503,5.639,0.3674619807800645,1,101,0.009606366328735844,4.292712,0.3674623807340085,1,1795,0.00960746520717563,1800.0,NaN,0,Inf,262.748605966568,0.36741399761036786,1,0.009474531972703964,4.292712
3,90,0.1,1800.015,0.9828924019745227,0,33050,0.1466393988137431,0.8362530031607796,0.17535291145083032,1800.057,Inf,0,40565,Inf,7.201984,0.8670394247210655,1,1728,0.036814721673850824,1800.0,NaN,0,Inf,12.259886026382446,0.8412560134381658,1,0.005982651492402912,7.201984
3,50,1.0,1800.024,0.49232625889296067,0,27165,0.008631240289050712,0.48369501860390995,0.017844385319416935,1800.022,0.49903791319753177,0,24181,0.031720183180521576,1800.0,0.5044579020808421,0,2169,0.0429255681335319,78.6441879272461,0.4894367899053028,1,0.01187064385729121,29.664283990859985,0.48943678988318584,1,0.011870643811566169,12.33811
