seed,num_v,solution,dual_gap,rel_dual_gap,number_nodes,ncalls,termination,time
1,4,-266.88564921539165,10.232111201751707,0.03833893366628275,27,626,Time limit reached,603.863
1,5,-291.73051069809026,14.216649456397874,0.04873213097381707,25,615,Time limit reached,604.086
1,6,-215.07386146426373,17.93704342154365,0.0833994577463986,25,842,Time limit reached,603.481
1,7,-192.13083878378455,23.458280981352942,0.12209534466120685,25,687,Time limit reached,603.507
1,8,-91.91307516209397,39.07623742325322,0.42514340157088676,23,850,Time limit reached,605.401
2,4,-370.7954439602737,10.767264030892932,0.02903828568089557,31,584,Time limit reached,604.316
2,5,-213.7507942816876,13.255873757778744,0.06201555321618937,9,284,Time limit reached,605.435
2,6,-230.24430796165942,11.728297306893978,0.05093848968829662,113,3444,Time limit reached,603.019
2,7,-158.5986893995471,31.844844632488616,0.20078882589164418,19,580,Time limit reached,604.063
2,8,-170.75422849322658,28.266909365831225,0.1655414897497107,15,564,Time limit reached,603.9
3,4,-350.83371989651675,9.245043233208207,0.02635163813767719,29,451,Time limit reached,604.091
3,5,-305.28425984627404,12.087724594777058,0.03959498141458009,25,709,Time limit reached,604.107
3,6,-196.29349192805074,23.948121672332206,0.12200160808749651,11,357,Time limit reached,604.81
3,7,-152.86701126752527,30.266069708031125,0.19798954304839467,25,801,Time limit reached,603.498
3,8,-152.47047810450914,34.02250829948329,0.22314161221533624,11,332,Time limit reached,607.251
