seed,dimension,p,k,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,15,75,3.0,2.2335078624459115,0.016463452526638722,0.007425855996830569,320,OPTIMAL,10.418
1,16,80,4.0,2.250303004538984,0.02212865874757286,0.009931295901224966,11803,OPTIMAL,110.051
1,17,85,4.0,1.6411353000709363,0.015460483752408827,0.009510194534119897,2000,OPTIMAL,27.652
1,18,90,4.0,2.1566595398692447,0.018935346317099366,0.008857712502956467,1528,OPTIMAL,22.169
1,19,95,4.0,1.7514415693513994,0.017160898177711603,0.00989511009547136,3290,OPTIMAL,40.498
1,20,100,4.0,2.274969426057991,0.02210740627991603,0.009813031639680173,6228,OPTIMAL,66.905
1,21,105,5.0,1.7617940515070158,0.01734722158322577,0.009944253551129226,14012,OPTIMAL,139.044
1,22,110,5.0,1.930455938957835,0.01822824860861405,0.009532467655713694,3532,OPTIMAL,46.479
1,23,115,5.0,1.8673957031119208,0.017680195648004604,0.009558332390393016,7950,OPTIMAL,91.076
1,24,120,5.0,2.0309586934341795,0.02010689361988227,0.009999192193944451,12795,OPTIMAL,135.938
1,25,125,5.0,1.918574585754522,0.018871361670212305,0.009933847261489296,28558,OPTIMAL,265.949
1,26,130,6.0,1.8944643460276342,0.056223586382111,0.03058554005349814,184476,Time limit reached,1800.071
1,27,135,6.0,1.694796254821123,0.016770302853634567,0.009994066440969734,35027,OPTIMAL,379.488
1,28,140,6.0,2.262447847014596,0.022388667732918588,0.009994676899606729,145476,OPTIMAL,1489.72
1,29,145,6.0,2.068468637017081,0.020468186555984147,0.009994229518541287,171533,OPTIMAL,1715.495
1,30,150,6.0,2.0182483059888225,0.019978983318076793,0.009998143439130764,59213,OPTIMAL,651.036
2,15,75,3.0,1.5912331179212327,0.015720305269968593,0.00997789744630166,3074,OPTIMAL,35.693
2,16,80,4.0,1.5377815557831882,0.015140553917634136,0.009943613694287614,60270,OPTIMAL,447.298
2,17,85,4.0,1.9730825424630343,0.019529986669692967,0.009997164709890184,102138,OPTIMAL,865.623
2,18,90,4.0,1.908611422761826,0.018878348646753196,0.009989955145169684,62475,OPTIMAL,522.735
2,19,95,4.0,2.098437741911695,0.020771427255406483,0.009997479917193889,80049,OPTIMAL,733.045
2,20,100,4.0,1.7116317565130323,0.01690121045893589,0.00997280098496342,41623,OPTIMAL,370.647
2,21,105,5.0,2.0510669682420115,0.17930782276480173,0.09579641867815569,237326,Time limit reached,1800.075
2,22,110,5.0,2.0943011403534477,0.2131283015499983,0.11329543843805549,181274,Time limit reached,1800.054
2,23,115,5.0,2.150091192802551,0.15743989089417032,0.07901025670843095,217988,Time limit reached,1800.081
2,24,120,5.0,1.646273721688181,0.11499797027879777,0.07509945231807783,172958,Time limit reached,1800.026
2,25,125,5.0,1.8893788303357195,0.20596387410286887,0.12234884413987579,174779,Time limit reached,1800.119
2,26,130,6.0,2.099373600610698,0.6136353732856061,0.4130171533584278,146861,Time limit reached,1800.281
2,27,135,6.0,2.2484432009967756,0.5452546099815374,0.32013754252341575,138914,Time limit reached,1800.119
2,28,140,6.0,1.976687720285515,0.611771564559153,0.44821182751228333,139152,Time limit reached,1800.254
2,29,145,6.0,2.3514462225992494,0.596447213596772,0.3398561540703013,138588,Time limit reached,1800.274
2,30,150,6.0,2.4379929949236283,0.6442216819569324,0.3591437087325598,137293,Time limit reached,1800.071
3,15,75,3.0,3.3580743194150378,0.03312892314416116,0.00996374953444866,9367,OPTIMAL,77.728
3,16,80,4.0,3.048834351864469,0.0301767277494438,0.009996737459847126,60308,OPTIMAL,412.568
3,17,85,4.0,3.5278768501750717,0.03492367516310102,0.009998323313618808,117122,OPTIMAL,870.278
3,18,90,4.0,3.2649714704686863,0.03230600710014375,0.009993612845567955,53371,OPTIMAL,399.97
3,19,95,4.0,3.6329568661610816,0.035940079882145426,0.009991635296015657,125922,OPTIMAL,906.92
3,20,100,4.0,3.4232738207320144,0.03387996704562424,0.00999587787910087,101430,OPTIMAL,653.838
3,21,105,5.0,3.718586133585336,0.03673573417864251,0.009977519506105472,65679,OPTIMAL,565.989
