seed,dimension,p,k,num_nodes,solution,termination,time
6,23,115,5.0,323,4.385923892044847,Optimal,8215.0
6,24,120,5.0,161,5.4467821246049954,Optimal,4213.0
6,25,125,5.0,179,4.505691223150236,Optimal,5248.0
6,26,130,6.0,645,4.7004314937445555,Optimal,24196.0
6,27,135,6.0,101,4.917859401037246,Optimal,3341.0
6,28,140,6.0,483,5.714045599064803,Optimal,13559.0
6,29,145,6.0,171,5.185522101467285,Optimal,10089.0
6,30,150,6.0,197,5.145670867927855,Optimal,6492.0
7,15,75,3.0,857,3.1573076690152737,Optimal,24701.0
7,16,80,4.0,4185,3.2775160745510488,Optimal,122955.0
7,17,85,4.0,2013,3.115305608638805,Optimal,63533.0
7,18,90,4.0,3245,3.491752708140318,Optimal,103685.0
7,19,95,4.0,1567,3.193732105090879,Optimal,55367.0
7,20,100,4.0,3129,3.5343802449930743,Optimal,114217.0
7,21,105,5.0,35543,3.3457939286622516,Optimal,1.166155e6
7,22,110,5.0,24209,3.5792855355032285,Optimal,919510.0
7,23,115,5.0,14233,3.351293729269852,Optimal,514742.0
7,24,120,5.0,9625,3.6739864065058216,Optimal,384955.0
7,25,125,5.0,4437,3.832436537430264,Optimal,203124.0
7,26,130,6.0,42317,4.277811036440442,Time limit reached,1.800034e6
7,27,135,6.0,64219,Inf,Time limit reached,1.800051e6
7,28,140,6.0,33633,4.096103412466422,Optimal,1.471813e6
7,29,145,6.0,56543,4.155839465354021,Time limit reached,1.80003e6
7,30,150,6.0,56831,Inf,Time limit reached,1.800063e6
8,15,75,3.0,5,2.6567358966756314,Optimal,1561.0
8,16,80,4.0,31,2.184608591882142,Optimal,1665.0
8,17,85,4.0,13,2.794607848014534,Optimal,1813.0
8,18,90,4.0,17,3.3101088067456885,Optimal,1173.0
8,19,95,4.0,71,3.3212914117503827,Optimal,2748.0
8,20,100,4.0,211,2.405829069777498,Optimal,6313.0
8,21,105,5.0,57,3.185065806578275,Optimal,1962.0
8,22,110,5.0,85,3.420536136987985,Optimal,2688.0
8,23,115,5.0,233,3.245116568922003,Optimal,7190.0
8,24,120,5.0,113,3.2150214662871637,Optimal,3556.0
8,25,125,5.0,93,3.3727899007591824,Optimal,2968.0
8,26,130,6.0,333,3.449410085700192,Optimal,9270.0
8,27,135,6.0,287,3.6193102808695308,Optimal,8072.0
8,28,140,6.0,797,3.274519509884397,Optimal,28865.0
8,29,145,6.0,601,3.777587391857285,Optimal,17460.0
8,30,150,6.0,157,3.985832734761541,Optimal,5391.0
9,15,75,3.0,23,2.000476197922962,Optimal,1768.0
9,16,80,4.0,75,1.6362034948655626,Optimal,2610.0
9,17,85,4.0,149,2.3374850375237255,Optimal,3422.0
9,18,90,4.0,87,1.83519196651531,Optimal,2250.0
9,19,95,4.0,29,2.254172417161219,Optimal,1916.0
9,20,100,4.0,135,2.0185987898840825,Optimal,3469.0
9,21,105,5.0,65,2.4206440061130126,Optimal,2085.0
9,22,110,5.0,225,2.147921193688215,Optimal,9258.0
9,23,115,5.0,265,2.5064685602787478,Optimal,6649.0
9,24,120,5.0,131,2.282500300320664,Optimal,3904.0
9,25,125,5.0,63,3.052569751515369,Optimal,2567.0
9,26,130,6.0,207,2.698072982120056,Optimal,5540.0
9,27,135,6.0,375,3.3356256434661145,Optimal,11577.0
9,28,140,6.0,1253,2.640285405446776,Optimal,39437.0
9,29,145,6.0,235,3.3511639939651237,Optimal,13462.0
9,30,150,6.0,1221,2.675864314409295,Optimal,39132.0
