seed,num_v,solution,dual_gap,rel_dual_gap,number_nodes,ncalls,termination,time
1,4,-266.8867958571502,9.760830780720426,0.03657292504626141,5,146,Time limit reached,1832.699
1,5,-294.0701896254219,12.044300537859158,0.04095723049385196,3,82,Time limit reached,2046.118
1,6,-217.30018119482895,17.475431948440843,0.0804206966250643,7,284,Time limit reached,1856.811
1,7,-192.13083878378455,23.7329161448649,0.12352476205848903,7,190,Time limit reached,1802.195
1,8,-120.2994052867225,11.768586195488467,0.0978274677870529,7,312,Time limit reached,1804.272
2,4,-373.87444017618475,7.711005274785066,0.02062458527828575,5,129,Time limit reached,4452.546
2,5,-211.67232112981986,15.648179126238944,0.07392643045021377,3,92,Time limit reached,2075.914
2,6,-227.71756170463323,14.05683425644466,0.06172924982693003,5,193,Time limit reached,2029.556
2,7,-156.39855789591803,34.34222930319169,0.21958149592431767,5,181,Time limit reached,1803.123
2,8,-159.20489213570238,41.20228449482954,0.2588003668864002,7,300,Time limit reached,2039.272
3,4,-350.85105932117256,9.73910042383227,0.027758503687221305,3,62,Time limit reached,2626.692
3,5,-305.1227204631714,11.729117579465935,0.038440656145374306,9,321,Time limit reached,1934.321
3,6,-196.29349192805074,24.510312700683613,0.1248656410354532,5,127,Time limit reached,1803.708
3,7,-131.48746731340833,51.90472983741924,0.3947503963529937,7,274,Time limit reached,2460.211
3,8,-142.37709133028133,44.241610005327345,0.31073545323873225,7,207,Time limit reached,1803.168
