minTime,numInstances,BosciaTerm,BosciaTermRel,BosciaTime,BosciaRelGapNT,BosciaNodesOCuts,Boscia_Strong_BranchingTerm,Boscia_Strong_BranchingTermRel,Boscia_Strong_BranchingTime,Boscia_Strong_BranchingRelGapNT,Boscia_Strong_BranchingNodesOCuts,Boscia_Hybrid_Branching_1Term,Boscia_Hybrid_Branching_1TermRel,Boscia_Hybrid_Branching_1Time,Boscia_Hybrid_Branching_1RelGapNT,Boscia_Hybrid_Branching_1NodesOCuts,Boscia_Hybrid_Branching_2Term,Boscia_Hybrid_Branching_2TermRel,Boscia_Hybrid_Branching_2Time,Boscia_Hybrid_Branching_2RelGapNT,Boscia_Hybrid_Branching_2NodesOCuts,Boscia_Hybrid_Branching_5Term,Boscia_Hybrid_Branching_5TermRel,Boscia_Hybrid_Branching_5Time,Boscia_Hybrid_Branching_5RelGapNT,Boscia_Hybrid_Branching_5NodesOCuts,Boscia_Hybrid_Branching_10Term,Boscia_Hybrid_Branching_10TermRel,Boscia_Hybrid_Branching_10Time,Boscia_Hybrid_Branching_10RelGapNT,Boscia_Hybrid_Branching_10NodesOCuts,Boscia_Hybrid_Branching_20Term,Boscia_Hybrid_Branching_20TermRel,Boscia_Hybrid_Branching_20Time,Boscia_Hybrid_Branching_20RelGapNT,Boscia_Hybrid_Branching_20NodesOCuts
0,120,30,25 %,406.01,3.79,21828,30,25 %,576.79,0.34,2642,30,25 %,580.72,0.34,3406,30,25 %,559.74,0.34,3295,30,25 %,571.63,0.33,5939,30,25 %,567.96,0.32,13360,30,25 %,529.2,0.32,21422
10,93,3,3 %,1545.92,5.09,28112,3,3 %,1637.04,0.44,3348,3,3 %,1629.95,0.44,4332,3,3 %,1627.88,0.44,4189,3,3 %,1625.04,0.43,7602,3,3 %,1624.03,0.41,17178,3,3 %,1572.99,0.41,27590
300,90,0,0 %,1800.02,5.3,28983,0,0 %,1815.17,0.46,3388,0,0 %,1811.81,0.46,4406,0,0 %,1811.15,0.46,4258,0,0 %,1808.91,0.45,7784,0,0 %,1808.47,0.43,17680,0,0 %,1802.94,0.43,28434
600,90,0,0 %,1800.02,5.3,28983,0,0 %,1815.17,0.46,3388,0,0 %,1811.81,0.46,4406,0,0 %,1811.15,0.46,4258,0,0 %,1808.91,0.45,7784,0,0 %,1808.47,0.43,17680,0,0 %,1802.94,0.43,28434
1200,90,0,0 %,1800.02,5.3,28983,0,0 %,1815.17,0.46,3388,0,0 %,1811.81,0.46,4406,0,0 %,1811.15,0.46,4258,0,0 %,1808.91,0.45,7784,0,0 %,1808.47,0.43,17680,0,0 %,1802.94,0.43,28434
