seed,dimension,varA,M,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Afw,solutionBoscia_Afw,terminationBoscia_Afw,numberNodesBoscia_Afw,dualGapBoscia_Afw,lbBoscia_Afw,relGapBoscia_Afw,timeBoscia_No_As_No_Ss,solutionBoscia_No_As_No_Ss,terminationBoscia_No_As_No_Ss,numberNodesBoscia_No_As_No_Ss,dualGapBoscia_No_As_No_Ss,lbBoscia_No_As_No_Ss,relGapBoscia_No_As_No_Ss,timeBoscia_No_As,solutionBoscia_No_As,terminationBoscia_No_As,numberNodesBoscia_No_As,dualGapBoscia_No_As,lbBoscia_No_As,relGapBoscia_No_As,timeBoscia_No_Ss,solutionBoscia_No_Ss,terminationBoscia_No_Ss,numberNodesBoscia_No_Ss,dualGapBoscia_No_Ss,lbBoscia_No_Ss,relGapBoscia_No_Ss,timeBoscia_Global_Tightening,solutionBoscia_Global_Tightening,terminationBoscia_Global_Tightening,numberNodesBoscia_Global_Tightening,dualGapBoscia_Global_Tightening,lbBoscia_Global_Tightening,relGapBoscia_Global_Tightening,timeBoscia_Local_Tightening,solutionBoscia_Local_Tightening,terminationBoscia_Local_Tightening,numberNodesBoscia_Local_Tightening,dualGapBoscia_Local_Tightening,lbBoscia_Local_Tightening,relGapBoscia_Local_Tightening,timeBoscia_No_Tightening,solutionBoscia_No_Tightening,terminationBoscia_No_Tightening,numberNodesBoscia_No_Tightening,dualGapBoscia_No_Tightening,lbBoscia_No_Tightening,relGapBoscia_No_Tightening,minimumTime
1,5,1,0.1,0.164,3.3703471620782786,1,62,5.5996004721947656e-8,3.370347106082274,1.6614313885028297e-8,0.842,3.3703471620782786,1,83,5.5996004721947656e-8,3.370347106082274,1.6614313885028297e-8,0.246,3.370347162078279,1,67,5.599605801265284e-8,3.370347106082221,1.661431401679194e-8,0.282,3.370347162078279,1,72,5.599605268358232e-8,3.3703471060822263,1.661431401679194e-8,4.09,3.3703471620782786,1,60,5.5996004721947656e-8,3.370347106082274,1.6614313885028297e-8,7.225,3.370347162078279,1,62,5.599605268358232e-8,3.3703471060822263,1.661431401679194e-8,4.232,3.3703471620782786,1,62,5.5996004721947656e-8,3.370347106082274,1.6614313885028297e-8,6.605,3.370347162078279,1,62,5.599605268358232e-8,3.3703471060822263,1.661431401679194e-8,0.164
1,10,5,0.1,0.037,2.1185418107851888,1,15,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,0.734,2.1185418107851888,1,18,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,0.049,2.1185418107851888,1,15,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,0.061,2.1185418107851888,1,16,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,4.037,2.1185418107851888,1,13,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,7.036,2.1185418107851888,1,15,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,4.123,2.1185418107851888,1,15,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,6.305,2.1185418107851888,1,15,7.042956884362184e-8,2.11854174035562,3.3244362148748355e-8,0.037
1,15,1,1.0,0.181,2.9781211642550875,1,55,7.740211849238676e-8,2.978121086852969,2.5990252321868782e-8,0.771,2.9781211642550875,1,47,7.740211849238676e-8,2.978121086852969,2.5990252321868782e-8,0.271,2.9781211642550875,1,66,7.740211316331624e-8,2.9781210868529744,2.5990252321868782e-8,0.417,2.9781211642550875,1,69,7.740212648599254e-8,2.978121086852961,2.5990252321868782e-8,4.047,2.9781211642550884,1,54,7.740213137097385e-8,2.978121086852957,2.5990252620103272e-8,7.492,2.978121164255088,1,55,7.740211360740545e-8,2.9781210868529744,2.5990252470986027e-8,4.229,2.9781211642550875,1,55,7.740211849238676e-8,2.978121086852969,2.5990252321868782e-8,6.521,2.978121164255088,1,55,7.740211360740545e-8,2.9781210868529744,2.5990252470986027e-8,0.181
1,20,5,1.0,0.167,2.004918106446408,1,38,4.783715645828579e-8,2.0049180586092517,2.385990602103156e-8,0.805,2.004918106446408,1,48,4.783715645828579e-8,2.0049180586092517,2.385990602103156e-8,0.349,2.0049181064464086,1,72,4.783715024103685e-8,2.0049180586092583,2.385990624253149e-8,0.418,2.0049181064464103,1,72,4.7837114269810854e-8,2.004918058609296,2.385990712853121e-8,4.081,2.004918106446408,1,38,4.783715645828579e-8,2.0049180586092517,2.385990602103156e-8,6.605,2.0049181064464103,1,38,4.7837114269810854e-8,2.004918058609296,2.385990712853121e-8,4.213,2.004918106446408,1,38,4.783715645828579e-8,2.0049180586092517,2.385990602103156e-8,6.982,2.0049181064464103,1,38,4.7837114269810854e-8,2.004918058609296,2.385990712853121e-8,0.167
2,5,1,0.1,0.209,0.4872728372600643,1,42,5.772489952704518e-8,0.4872727795351648,1.1846526617413763e-7,0.789,0.4872728372600649,1,56,5.7724846458384604e-8,0.4872727795352184,1.184652673133589e-7,0.307,0.4872728372600643,1,70,5.772489952704518e-8,0.4872727795351648,1.1846526617413763e-7,0.384,0.4872728372600641,1,71,5.7724920399238044e-8,0.4872727795351437,1.1846526571844913e-7,4.111,0.4872728372600649,1,41,5.7724846458384604e-8,0.4872727795352184,1.184652673133589e-7,6.559,0.4872728372600641,1,42,5.7724920399238044e-8,0.4872727795351437,1.1846526571844913e-7,4.229,0.4872728372600649,1,42,5.7724846458384604e-8,0.4872727795352184,1.184652673133589e-7,6.467,0.4872728372600641,1,42,5.7724920399238044e-8,0.4872727795351437,1.1846526571844913e-7,0.209
2,10,5,0.1,0.211,0.06023019318797068,1,44,9.992629945720921e-8,0.060230093261671225,1.6590759543253034e-6,0.791,0.06023019318797068,1,53,9.992629945720921e-8,0.060230093261671225,1.6590759543253034e-6,0.34,0.06023019318797068,1,51,9.992629945720921e-8,0.060230093261671225,1.6590759543253034e-6,0.307,0.06023019318797068,1,51,9.992633143163232e-8,0.06023009326163925,1.6590759543253034e-6,4.09,0.06023019318797068,1,47,9.992629945720921e-8,0.060230093261671225,1.6590759543253034e-6,6.439,0.06023019318797068,1,44,9.992633143163232e-8,0.06023009326163925,1.6590759543253034e-6,4.238,0.06023019318797068,1,44,9.992629945720921e-8,0.060230093261671225,1.6590759543253034e-6,6.421,0.06023019318797068,1,44,9.992633143163232e-8,0.06023009326163925,1.6590759543253034e-6,0.211
2,15,1,1.0,0.2,3.4917781560540337,1,64,8.564703080082836e-8,3.491778070407003,2.4528199981176156e-8,0.733,3.4917781560540333,1,47,8.564693754209429e-8,3.4917780704070958,2.4528199853994758e-8,0.246,3.4917781560540337,1,65,8.564703080082836e-8,3.491778070407003,2.4528199981176156e-8,0.28,3.4917781560540337,1,70,8.564702103086574e-8,3.4917780704070127,2.4528199981176156e-8,4.092,3.4917781560540333,1,62,8.564693754209429e-8,3.4917780704070958,2.4528199853994758e-8,6.144,3.4917781560540337,1,64,8.564702103086574e-8,3.4917780704070127,2.4528199981176156e-8,4.227,3.4917781560540333,1,64,8.564693754209429e-8,3.4917780704070958,2.4528199853994758e-8,6.441,3.4917781560540337,1,64,8.564702103086574e-8,3.4917780704070127,2.4528199981176156e-8,0.2
2,20,5,1.0,0.205,0.44277528771179864,1,40,4.108691031845524e-8,0.4427752466248883,9.279405439135438e-8,0.686,0.4427752877117986,1,26,4.108690276893867e-8,0.4427752466248958,9.279405426598343e-8,0.356,0.44277528771179864,1,70,4.108691031845524e-8,0.4427752466248883,9.279405439135438e-8,0.398,0.4427752877117985,1,71,4.1086895663511314e-8,0.44277524662490286,9.27940541406125e-8,4.137,0.4427752877117986,1,39,4.108690276893867e-8,0.4427752466248958,9.279405426598343e-8,4.971,0.44277528771179864,1,40,4.108691031845524e-8,0.4427752466248883,9.279405439135438e-8,4.178,0.4427752877117986,1,40,4.108690276893867e-8,0.4427752466248958,9.279405426598343e-8,6.469,0.4427752877117985,1,40,4.1086895663511314e-8,0.44277524662490286,9.27940541406125e-8,0.205
3,5,1,0.1,0.109,0.45178989295454297,1,16,3.8989176776027534e-8,0.4517898539653662,8.629936337396459e-8,1.005,0.45178989295454297,1,55,3.898916900446636e-8,0.45178985396537397,8.629936337396459e-8,0.13,0.45178989295454297,1,16,3.8989176776027534e-8,0.4517898539653662,8.629936337396459e-8,0.102,0.45178989295454275,1,17,3.8989156125879276e-8,0.4517898539653866,8.629936288248697e-8,3.959,0.4517898929545432,1,15,3.89891842145218e-8,0.451789853965359,8.629936386544222e-8,4.861,0.45178989295454297,1,16,3.898917666500523e-8,0.4517898539653663,8.629936337396459e-8,4.149,0.4517898929545432,1,16,3.89891842145218e-8,0.451789853965359,8.629936386544222e-8,5.932,0.45178989295454275,1,16,3.8989156125879276e-8,0.4517898539653866,8.629936288248697e-8,0.102
3,10,5,0.1,0.254,2.536857210668162,1,42,7.242487898295735e-8,2.536857138243283,2.8549056977291974e-8,0.843,2.5368572106681615,1,88,7.242485144942634e-8,2.53685713824331,2.85490568022371e-8,0.354,2.536857210668162,1,50,7.242487898295735e-8,2.536857138243283,2.8549056977291974e-8,0.267,2.536857210668162,1,51,7.242487898295735e-8,2.536857138243283,2.8549056977291974e-8,4.135,2.5368572106681615,1,42,7.242485144942634e-8,2.53685713824331,2.85490568022371e-8,4.986,2.536857210668162,1,42,7.242487898295735e-8,2.536857138243283,2.8549056977291974e-8,4.249,2.5368572106681615,1,42,7.242485144942634e-8,2.53685713824331,2.85490568022371e-8,5.031,2.536857210668162,1,42,7.242487898295735e-8,2.536857138243283,2.8549056977291974e-8,0.254
