seed,dimension,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeIpopt,solutionIpopt,terminationIpopt,numberNodesIpopt,relGapIpopt,timeScipOA,solutionScipOA,terminationScipOA,numberNodesScipOA,relGapScipOA,timePavito,solutionPavito,terminationPavito,relGapPavito,timeShot,solutionShot,terminationShot,relGapShot,minimumTime
1,20,4.097,-2.5934089408729033,1,306,0.005274546008638303,-2.5986834868815416,0.0020338273403433895,1.97,-2.5940747428321194,1,53,0.0017766427363579268,26.253317,-2.5940743733104927,1,4161.0,0.0017767854377925324,7.728272914886475,-2.5940745506315297,1,0.0017767169601543866,11.199660062789917,-2.5940747297293,1,0.001776647796388832,1.97
1,25,3.236,-0.5940218474478942,1,264,0.005906056841878393,-0.5999279042897726,0.00994249094920108,1.181,-0.5948559510950043,1,35,0.008526355305737261,34.035426,-0.59485566941013,1,4923.0,0.008526832878086733,5.176598072052002,-0.5948558215040592,1,0.008526575015923837,122.70458793640137,-0.5948559486151138,1,0.008526359510175241,1.181
1,30,3.982,-30.327575604673267,1,297,0.15289354034515057,-30.480469145018418,0.00504140332013848,1.145,-30.466486394208804,1,27,0.0004589551492315134,93.982672,-30.46648607738452,1,7138.0,0.0004589655531124032,96.94300603866577,-30.466485873106187,1,0.00045897226120766843,6.756101131439209,-30.466486239917362,1,0.0004589602158563116,1.145
1,35,3.414,-0.31990948354386933,1,298,0.0025954645588799896,-0.3225049481027493,0.008113121655938882,1.251,-0.31990973023259317,1,51,0.008112344279960715,34.649481,-0.31990937552717,1,3698.0,0.008113462043124315,4.414456129074097,-0.3199087446639096,1,0.00811545005300568,110.0460159778595,-0.31990971612413444,1,0.008112388739102442,1.251
1,40,4.938,-0.1771535567574709,1,1250,0.0005352471229250755,-0.17768880388039598,0.003021373844939769,1.332,-0.17714709018044633,1,75,0.0030579881351584736,1800.0,6.049251180405151,0,14140.0,Inf,80.50080609321594,-0.17714655000776203,1,0.003061046758236035,1800.0,-0.17714707366582005,1,0.003058081645750921,1.332
1,45,4.709,-0.4494578956821638,1,1132,0.0008720348499147712,-0.4503299305320786,0.001940192525912226,1.455,-0.4495766143435196,1,91,0.0016756124863367557,1800.0,6.371721524842817,0,12624.0,Inf,8.03759503364563,-0.4495757932388734,1,0.0016774419453773263,1800.0,-0.4495714970889734,1,0.0016870140745490077,1.455
1,50,5.341,-0.3978634982246342,1,1231,0.0025778483389966023,-0.4004413465636308,0.00647922805308756,1.424,-0.3987963226990998,1,89,0.0041249725007423774,1800.0,8.164867707522262,0,13584.0,Inf,234.46298098564148,-0.39879477167593336,1,0.0041288778204832104,739.4737048149109,-0.39879631884514527,1,0.004124982204573175,1.424
1,55,5.24,0.39870377386954825,1,1241,0.0044448705237826736,0.3942589033457656,0.011273988960204956,1.525,0.39870374201532427,1,91,0.01127390816501248,1800.0,101.19871779723309,0,16002.0,255.68086868410342,10.504166841506958,0.39870416466216896,1,0.011274980168310572,1800.0,0.3987608554411257,1,0.011418770907024823,1.525
1,60,20.13,-0.5014177014154331,1,7518,0.004898471469889976,-0.506316172885323,0.009769243199955377,2.915,-0.502884785359348,1,389,0.006823406923164461,1800.0,33.72721029183364,0,6906.0,Inf,63.06862497329712,-0.5028839811424913,1,0.006825017044754918,1800.0,-0.5028707850566164,1,0.006851437647782067,2.915
1,65,5.321,-0.17394992588649288,1,1322,0.00044226582176173923,-0.17439219170825462,0.00254248927964666,1.537,-0.1739499304971291,1,101,0.0025424627067202666,1800.0,116.7334138424825,0,11507.0,Inf,11.979801893234253,-0.1739492985323346,1,0.0025461049837904406,1800.0,-0.1739499274177569,1,0.0025424804543642955,1.537
