seed,dimension,p,k,solution,calls,termination,time
1,15,75,3.0,3.024066079593329,8,OPTIMAL,0.419602
1,16,80,4.0,2.929638276761712,8,OPTIMAL,0.321387
1,17,85,4.0,2.5312478627399,6,OPTIMAL,0.333491
1,18,90,4.0,3.0428757580977637,7,OPTIMAL,0.331171
1,19,95,4.0,2.717524467031373,5,OPTIMAL,0.329024
1,20,100,4.0,2.956929996161301,8,OPTIMAL,0.39593
1,21,105,5.0,2.9738634102486143,12,OPTIMAL,0.42095699999999997
1,22,110,5.0,3.0637323141352146,7,OPTIMAL,0.398624
1,23,115,5.0,3.4892744492583194,14,OPTIMAL,0.328824
1,24,120,5.0,3.1596415011565724,26,OPTIMAL,0.343726
1,25,125,5.0,3.603602014392783,19,OPTIMAL,0.348973
1,26,130,6.0,2.9914183809862984,44,OPTIMAL,0.407927
1,27,135,6.0,3.145455307258185,58,OPTIMAL,0.38465099999999997
1,28,140,6.0,3.6771530861362725,101,OPTIMAL,0.79628
1,29,145,6.0,3.624704997742734,35,OPTIMAL,0.627923
1,30,150,6.0,3.305490241964768,24,OPTIMAL,0.606625
2,15,75,3.0,2.368094638165787,16,OPTIMAL,0.6462289999999999
2,16,80,4.0,2.3768248210832446,50,OPTIMAL,0.34576999999999997
2,17,85,4.0,2.665868229262199,16,OPTIMAL,0.33784
2,18,90,4.0,2.6288372290965514,30,OPTIMAL,0.342989
2,19,95,4.0,2.937782262756121,4,OPTIMAL,0.32509899999999997
2,20,100,4.0,2.5206702482632974,18,OPTIMAL,0.40893399999999996
2,21,105,5.0,3.1450500782383424,41,OPTIMAL,0.42051499999999997
2,22,110,5.0,2.9981485556883345,57,OPTIMAL,0.765718
2,23,115,5.0,2.9863956840470824,15,OPTIMAL,0.326024
2,24,120,5.0,3.0393912200217894,39,OPTIMAL,0.37095
2,25,125,5.0,3.2492816720147846,71,OPTIMAL,0.426936
2,26,130,6.0,2.6180341903820126,89,OPTIMAL,0.46115999999999996
2,27,135,6.0,3.2229281443668976,88,OPTIMAL,0.43357999999999997
2,28,140,6.0,2.4782690380507377,86,OPTIMAL,0.754651
2,29,145,6.0,3.2391526976813094,103,OPTIMAL,0.762676
2,30,150,6.0,3.2186826680472773,86,OPTIMAL,0.754288
3,15,75,3.0,3.986343937522592,16,OPTIMAL,0.651743
3,16,80,4.0,3.775113166079927,33,OPTIMAL,0.335943
3,17,85,4.0,4.474597106300758,50,OPTIMAL,0.35797399999999996
3,18,90,4.0,4.179505369652819,27,OPTIMAL,0.34424899999999997
3,19,95,4.0,5.021698943536239,85,OPTIMAL,0.408659
3,20,100,4.0,4.297984497181271,61,OPTIMAL,0.47269
3,21,105,5.0,5.182131359610434,40,OPTIMAL,0.414705
3,22,110,5.0,5.17188230864739,74,OPTIMAL,0.438131
3,23,115,5.0,5.331135885476524,66,OPTIMAL,0.38914299999999996
3,24,120,5.0,5.128698211845658,48,OPTIMAL,0.38500599999999996
3,25,125,5.0,5.986028997488624,110,OPTIMAL,0.46010199999999996
3,26,130,6.0,5.250200650631399,94,OPTIMAL,0.457804
3,27,135,6.0,6.331875273274402,56,OPTIMAL,0.423826
3,28,140,6.0,5.695530167868014,145,OPTIMAL,0.835969
3,29,145,6.0,6.472680309091983,32,OPTIMAL,0.660997
3,30,150,6.0,5.953852652141304,73,OPTIMAL,0.73627
4,15,75,3.0,5.538336447262504,6,OPTIMAL,0.6469039999999999
4,16,80,4.0,5.361951142880695,6,OPTIMAL,0.316976
4,17,85,4.0,4.4337724166128485,26,OPTIMAL,0.340221
4,18,90,4.0,4.852001350949856,6,OPTIMAL,0.328795
4,19,95,4.0,4.9931041158936145,7,OPTIMAL,0.322888
4,20,100,4.0,6.387222131229259,6,OPTIMAL,0.400414
4,21,105,5.0,5.938351063064975,7,OPTIMAL,0.395241
4,22,110,5.0,6.231438654437276,8,OPTIMAL,0.341061
4,23,115,5.0,6.445548985958218,64,OPTIMAL,0.38671
4,24,120,5.0,6.012311603797486,7,OPTIMAL,0.32691899999999996
4,25,125,5.0,5.404744988911986,6,OPTIMAL,0.34309999999999996
4,26,130,6.0,5.5244233389605775,10,OPTIMAL,0.345642
4,27,135,6.0,5.6405263568014,6,OPTIMAL,0.33392
4,28,140,6.0,6.933702521349498,25,OPTIMAL,0.615881
4,29,145,6.0,6.320177184131587,86,OPTIMAL,0.7426929999999999
4,30,150,6.0,6.579852672772364,9,OPTIMAL,0.620711
5,15,75,3.0,3.619350654578475,3,OPTIMAL,0.627926
5,16,80,4.0,4.127393009409975,4,OPTIMAL,0.313505
5,17,85,4.0,5.0716807685445175,4,OPTIMAL,0.324662
5,18,90,4.0,4.886845117433631,4,OPTIMAL,0.323849
5,19,95,4.0,5.37938682257015,5,OPTIMAL,0.384416
5,20,100,4.0,5.622562179915893,6,OPTIMAL,0.394219
5,21,105,5.0,5.806694928382732,30,OPTIMAL,0.40651899999999996
5,22,110,5.0,5.799758341645348,6,OPTIMAL,0.339113
5,23,115,5.0,6.162566995777419,7,OPTIMAL,0.324998
5,24,120,5.0,5.985717179124827,5,OPTIMAL,0.318114
5,25,125,5.0,6.696473113915381,7,OPTIMAL,0.34665999999999997
5,26,130,6.0,6.687035586965946,6,OPTIMAL,0.35001
5,27,135,6.0,6.984711126012185,6,OPTIMAL,0.337636
5,28,140,6.0,7.265558165463765,7,OPTIMAL,0.5818479999999999
5,29,145,6.0,7.009910518445551,5,OPTIMAL,0.571863
5,30,150,6.0,7.335214978040414,66,OPTIMAL,0.750884
6,15,75,3.0,3.792301010964151,4,OPTIMAL,0.6377229999999999
6,16,80,4.0,4.720887903322442,4,OPTIMAL,0.31104899999999996
6,17,85,4.0,3.9434036162207686,7,OPTIMAL,0.325837
6,18,90,4.0,3.903712126408339,4,OPTIMAL,0.324747
6,19,95,4.0,4.427506712217493,4,OPTIMAL,0.38871
6,20,100,4.0,5.720729568810381,5,OPTIMAL,0.393823
6,21,105,5.0,4.947100938895315,4,OPTIMAL,0.378428
6,22,110,5.0,5.14799812394285,5,OPTIMAL,0.337839
6,23,115,5.0,5.151792472478542,7,OPTIMAL,0.324962
6,24,120,5.0,6.321658810299166,5,OPTIMAL,0.33851
6,25,125,5.0,5.983764806338822,7,OPTIMAL,0.32692899999999997
6,26,130,6.0,5.675284210042404,7,OPTIMAL,0.342151
6,27,135,6.0,6.007690323937168,5,OPTIMAL,0.329265
6,28,140,6.0,6.793174286016356,26,OPTIMAL,0.587977
6,29,145,6.0,6.438627171626383,8,OPTIMAL,0.617776
6,30,150,6.0,6.11949175897562,15,OPTIMAL,0.6043839999999999
7,15,75,3.0,4.581449698022447,17,OPTIMAL,0.333216
7,16,80,4.0,4.055905845193301,7,OPTIMAL,0.319812
7,17,85,4.0,4.231374761159308,9,OPTIMAL,0.33028599999999997
7,18,90,4.0,4.657092124899917,7,OPTIMAL,0.32969699999999996
7,19,95,4.0,4.349998911204495,17,OPTIMAL,0.408221
7,20,100,4.0,4.9222593757318265,8,OPTIMAL,0.40335499999999996
7,21,105,5.0,4.890832383644651,70,OPTIMAL,0.48033
7,22,110,5.0,4.873775043595708,44,OPTIMAL,0.373785
7,23,115,5.0,4.930224452600333,39,OPTIMAL,0.375608
7,24,120,5.0,5.668824475957464,21,OPTIMAL,0.373123
7,25,125,5.0,5.622393024876885,8,OPTIMAL,0.343107
7,26,130,6.0,5.7784853097851,8,OPTIMAL,0.337348
7,27,135,6.0,5.384339200226325,29,OPTIMAL,0.359066
7,28,140,6.0,6.310011688828578,77,OPTIMAL,0.739543
7,29,145,6.0,5.702609941592474,89,OPTIMAL,0.7981119999999999
7,30,150,6.0,7.100163109587856,58,OPTIMAL,0.710201
8,15,75,3.0,2.6567380141428663,4,OPTIMAL,0.300537
