seed,dimension,p,k,solution,termination,time
1,15,75,3.0,NaN,TIME_LIMIT,1800.0
1,16,80,4.0,NaN,TIME_LIMIT,1800.0
1,17,85,4.0,NaN,TIME_LIMIT,1800.0
1,18,90,4.0,NaN,TIME_LIMIT,1800.0
1,19,95,4.0,1.7514416240751804,ALMOST_LOCALLY_SOLVED,16.482837915420532
1,20,100,4.0,NaN,TIME_LIMIT,1800.0
1,21,105,5.0,NaN,TIME_LIMIT,1800.0
1,22,110,5.0,NaN,TIME_LIMIT,1800.0
1,23,115,5.0,NaN,TIME_LIMIT,1800.0
1,24,120,5.0,NaN,TIME_LIMIT,1800.0
1,25,125,5.0,1.9198306810842647,ALMOST_LOCALLY_SOLVED,17.17836618423462
1,26,130,6.0,NaN,TIME_LIMIT,1800.0
1,27,135,6.0,NaN,TIME_LIMIT,1800.0
1,28,140,6.0,NaN,TIME_LIMIT,1800.0
1,29,145,6.0,NaN,TIME_LIMIT,1800.0
1,30,150,6.0,NaN,TIME_LIMIT,1800.0
2,15,75,3.0,1.5912332064403922,ALMOST_LOCALLY_SOLVED,12.102048873901367
2,16,80,4.0,NaN,TIME_LIMIT,1800.0
2,17,85,4.0,NaN,TIME_LIMIT,1800.0
2,18,90,4.0,NaN,TIME_LIMIT,1800.0
2,19,95,4.0,NaN,TIME_LIMIT,1800.0
2,20,100,4.0,1.7116318648600473,ALMOST_LOCALLY_SOLVED,27.986911058425903
2,21,105,5.0,2.0603606119590103,ALMOST_LOCALLY_SOLVED,63.3206729888916
2,22,110,5.0,2.070909678120102,ALMOST_LOCALLY_SOLVED,504.6655719280243
2,23,115,5.0,2.1760462193222745,ALMOST_LOCALLY_SOLVED,70.75688409805298
2,24,120,5.0,NaN,TIME_LIMIT,1800.0
2,25,125,5.0,NaN,TIME_LIMIT,1800.0
2,26,130,6.0,NaN,TIME_LIMIT,1800.0
2,27,135,6.0,NaN,TIME_LIMIT,1800.0
2,28,140,6.0,NaN,TIME_LIMIT,1800.0
2,29,145,6.0,NaN,TIME_LIMIT,1800.0
2,30,150,6.0,NaN,TIME_LIMIT,1800.0
3,15,75,3.0,NaN,TIME_LIMIT,1800.0
3,16,80,4.0,NaN,TIME_LIMIT,1800.0
3,17,85,4.0,NaN,TIME_LIMIT,1800.0
3,18,90,4.0,NaN,TIME_LIMIT,1800.0
3,19,95,4.0,NaN,TIME_LIMIT,1800.0
3,20,100,4.0,NaN,TIME_LIMIT,1800.0
3,21,105,5.0,NaN,TIME_LIMIT,1800.0
3,22,110,5.0,NaN,TIME_LIMIT,1800.0
3,23,115,5.0,NaN,TIME_LIMIT,1800.0
3,24,120,5.0,NaN,TIME_LIMIT,1800.0
3,25,125,5.0,NaN,TIME_LIMIT,1800.0
3,26,130,6.0,NaN,TIME_LIMIT,1800.0
3,27,135,6.0,NaN,TIME_LIMIT,1800.0
3,28,140,6.0,NaN,TIME_LIMIT,1800.0
3,29,145,6.0,NaN,TIME_LIMIT,1800.0
3,30,150,6.0,NaN,TIME_LIMIT,1800.0
4,15,75,3.0,NaN,TIME_LIMIT,1800.0
4,16,80,4.0,4.873911543921364,ALMOST_LOCALLY_SOLVED,34.61107397079468
