minTime,numInstances,BosciaTerm,BosciaTermRel,BosciaTime,BosciaRelGapNT,BosciaNodesOCuts,Boscia_AfwTerm,Boscia_AfwTermRel,Boscia_AfwTime,Boscia_AfwRelGapNT,Boscia_AfwNodesOCuts,Boscia_No_As_No_SsTerm,Boscia_No_As_No_SsTermRel,Boscia_No_As_No_SsTime,Boscia_No_As_No_SsRelGapNT,Boscia_No_As_No_SsNodesOCuts,Boscia_No_AsTerm,Boscia_No_AsTermRel,Boscia_No_AsTime,Boscia_No_AsRelGapNT,Boscia_No_AsNodesOCuts,Boscia_No_SsTerm,Boscia_No_SsTermRel,Boscia_No_SsTime,Boscia_No_SsRelGapNT,Boscia_No_SsNodesOCuts,Boscia_Global_TighteningTerm,Boscia_Global_TighteningTermRel,Boscia_Global_TighteningTime,Boscia_Global_TighteningRelGapNT,Boscia_Global_TighteningNodesOCuts,Boscia_Local_TighteningTerm,Boscia_Local_TighteningTermRel,Boscia_Local_TighteningTime,Boscia_Local_TighteningRelGapNT,Boscia_Local_TighteningNodesOCuts,Boscia_No_TighteningTerm,Boscia_No_TighteningTermRel,Boscia_No_TighteningTime,Boscia_No_TighteningRelGapNT,Boscia_No_TighteningNodesOCuts
0,15,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,23,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22
10,15,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,23,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22
300,15,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,23,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22
600,15,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,23,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22
1200,15,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,23,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22,0,0 %,1800.0,0.02,22
