seed,dimension,var_A,p,k,M,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,5,1,25,5.0,0.1,0.6330541727029532,0.006217725344077718,0.009919214765311749,1199,OPTIMAL,6.289
1,5,5,25,5.0,0.1,0.28694865548636417,0.001937846294030654,0.0067992028075080455,867,OPTIMAL,5.439
1,5,1,25,5.0,1.0,0.6330541727029194,0.006263170711371391,0.00999243877380334,23935,OPTIMAL,70.235
1,5,5,25,5.0,1.0,0.2867351506391778,0.0028370762994803234,0.009993291804035371,34853,OPTIMAL,98.278
2,5,1,25,5.0,0.1,0.561558803563659,0.004645671566534837,0.008341824423990826,37,OPTIMAL,3.728
2,5,5,25,5.0,0.1,0.20313961626515484,0.001686821856970916,0.008373285969680198,86,OPTIMAL,4.407
2,5,1,25,5.0,1.0,0.5304053488365846,0.0051946983903939925,0.009890695068694546,9530,OPTIMAL,32.107
2,5,5,25,5.0,1.0,0.15519907526447277,0.001505857613548045,0.00979781435097689,14910,OPTIMAL,46.656
3,5,1,25,5.0,0.1,0.6595374915715047,0.006474431444585815,0.009913945283212848,1444,OPTIMAL,6.778
3,5,5,25,5.0,0.1,0.38760816244687524,0.003828086964995203,0.00997468917631693,1625,OPTIMAL,8.82
3,5,1,25,5.0,1.0,0.6595374915714965,0.006525395003341816,0.009992762825735437,21797,OPTIMAL,50.549
3,5,5,25,5.0,1.0,0.3872486896147957,0.0038235350128649204,0.00997205052139703,50810,OPTIMAL,134.569
1,10,1,50,10.0,0.1,0.4718474259178642,0.003053454547510104,0.006513425372311006,38,OPTIMAL,4.369
1,10,5,50,10.0,0.1,0.10447247263399045,0.0010305090606724104,0.009962195467625687,2561,OPTIMAL,13.873
1,10,1,50,10.0,1.0,0.4025117424310376,0.04611042745150207,0.12937782638133566,483819,Time limit reached,1801.95
1,10,5,50,10.0,1.0,0.089197602821745,0.02728117664493304,0.44061290887538324,452365,Time limit reached,1801.934
2,10,1,50,10.0,0.1,0.6484994987895639,0.007301130105609066,0.011386694761239756,499901,Time limit reached,1801.904
2,10,5,50,10.0,0.1,0.3194128293759913,0.0031609415243498695,0.009995012348614708,476428,OPTIMAL,1769.005
2,10,1,50,10.0,1.0,0.6484994987895611,0.019286636950384906,0.030652006848700553,290504,Time limit reached,1802.034
2,10,5,50,10.0,1.0,0.32162345115591917,0.05089072905091285,0.18797406037669281,278765,Time limit reached,1801.86
3,10,1,50,10.0,0.1,0.6680688253172661,0.008740178134855725,0.013256178344754465,308979,Time limit reached,1801.926
3,10,5,50,10.0,0.1,0.42004685877632925,0.011160770774019946,0.027295550280392305,298285,Time limit reached,1801.998
3,10,1,50,10.0,1.0,0.6680688253172584,0.01415882014009584,0.02165255161719053,293219,Time limit reached,1801.854
3,10,5,50,10.0,1.0,0.4254558994492899,0.06494088331343623,0.18013364327927026,288334,Time limit reached,1801.654
1,15,1,75,15.0,0.1,0.6931471805599453,0.06991990704576267,0.11219006294687058,248900,Time limit reached,1801.653
1,15,5,75,15.0,0.1,0.6931471805599453,0.4189781991849886,1.5281750586219274,239445,Time limit reached,1801.707
1,15,1,75,15.0,1.0,0.6481160819233085,0.030669704444426182,0.04967185097053248,213311,Time limit reached,1801.691
1,15,5,75,15.0,1.0,0.3263226890288446,0.07274850237933356,0.28689238183335347,200546,Time limit reached,1802.04
2,15,1,75,15.0,0.1,0.6931471805599453,0.06026141395599127,0.09521688926479135,248461,Time limit reached,1801.517
2,15,5,75,15.0,0.1,0.6931471805599453,0.40107563328814105,1.3732102186417245,251467,Time limit reached,1801.716
2,15,1,75,15.0,1.0,0.6535000643878349,0.0248919305430908,0.03959848624745715,218195,Time limit reached,1802.012
2,15,5,75,15.0,1.0,0.36364377750974874,0.09430815740237397,0.35015107680438473,193002,Time limit reached,1801.771
3,15,1,75,15.0,0.1,0.6167069693372317,0.02161095243443867,0.03631506819170787,267340,Time limit reached,1801.961
3,15,5,75,15.0,0.1,0.246966182898671,0.029423153426158755,0.13525210850240793,256194,Time limit reached,1801.621
3,15,1,75,15.0,1.0,0.6162763311014614,0.044856019135588676,0.07849916811894436,241600,Time limit reached,1802.035
