seed,dimension,p,k,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeBoscia_Strong_Branching,solutionBoscia_Strong_Branching,terminationBoscia_Strong_Branching,numberNodesBoscia_Strong_Branching,dualGapBoscia_Strong_Branching,lbBoscia_Strong_Branching,relGapBoscia_Strong_Branching,timeBoscia_Hybrid_Branching_1,solutionBoscia_Hybrid_Branching_1,terminationBoscia_Hybrid_Branching_1,numberNodesBoscia_Hybrid_Branching_1,dualGapBoscia_Hybrid_Branching_1,lbBoscia_Hybrid_Branching_1,relGapBoscia_Hybrid_Branching_1,timeBoscia_Hybrid_Branching_2,solutionBoscia_Hybrid_Branching_2,terminationBoscia_Hybrid_Branching_2,numberNodesBoscia_Hybrid_Branching_2,dualGapBoscia_Hybrid_Branching_2,lbBoscia_Hybrid_Branching_2,relGapBoscia_Hybrid_Branching_2,timeBoscia_Hybrid_Branching_5,solutionBoscia_Hybrid_Branching_5,terminationBoscia_Hybrid_Branching_5,numberNodesBoscia_Hybrid_Branching_5,dualGapBoscia_Hybrid_Branching_5,lbBoscia_Hybrid_Branching_5,relGapBoscia_Hybrid_Branching_5,timeBoscia_Hybrid_Branching_10,solutionBoscia_Hybrid_Branching_10,terminationBoscia_Hybrid_Branching_10,numberNodesBoscia_Hybrid_Branching_10,dualGapBoscia_Hybrid_Branching_10,lbBoscia_Hybrid_Branching_10,relGapBoscia_Hybrid_Branching_10,timeBoscia_Hybrid_Branching_20,solutionBoscia_Hybrid_Branching_20,terminationBoscia_Hybrid_Branching_20,numberNodesBoscia_Hybrid_Branching_20,dualGapBoscia_Hybrid_Branching_20,lbBoscia_Hybrid_Branching_20,relGapBoscia_Hybrid_Branching_20,minimumTime
1,15,3.0,75,3.886,2.2335078624459115,1,198,0.021445142520545968,2.2120627199253655,0.009694635838024305,16.81,2.2335078624459115,1,320,0.016463452526638278,2.217044409919273,0.009694635838024305,10.418,2.2335078624459115,1,320,0.016463452526638722,2.2170444099192728,0.009694635838024305,9.517,2.2335078624459115,1,320,0.016463452526638722,2.2170444099192728,0.009694635838024305,9.657,2.2335078624459115,1,320,0.016463452526638722,2.2170444099192728,0.009694635838024305,9.801,2.2335078624459115,1,268,0.021374999762946878,2.2121328626829646,0.009694635838024305,8.658,2.2335078624459115,1,248,0.021246056165589167,2.2122618062803223,0.009694635838024305,3.886
1,16,4.0,80,38.608,2.250303004538984,1,6397,0.022277671701115942,2.228025332837868,0.00999884129357746,174.757,2.250303004538984,1,11803,0.02212865874757286,2.228174345791411,0.00999884129357746,110.051,2.250303004538984,1,11803,0.02212865874757286,2.228174345791411,0.00999884129357746,94.104,2.250303004538984,1,11633,0.022039860985788806,2.228263143553195,0.00999884129357746,66.811,2.250303004538984,1,9190,0.022040987668139778,2.2282620168708442,0.00999884129357746,61.252,2.250303004538984,1,7170,0.02212361396285445,2.2281793905761296,0.00999884129357746,38.08,2.250303004538984,1,6550,0.02205172393126187,2.228251280607722,0.00999884129357746,38.08
1,17,4.0,85,7.765,1.6411353000709363,1,978,0.01607008244480701,1.6250652176261293,0.009888884624754903,28.667,1.6411353000709363,1,2000,0.015460483752408827,1.6256748163185275,0.009888884624754903,27.652,1.6411353000709363,1,2000,0.015460483752408827,1.6256748163185275,0.009888884624754903,24.821,1.6411353000709363,1,2000,0.015460483752408827,1.6256748163185275,0.009888884624754903,21.648,1.6411353000709363,1,1719,0.015989170015416887,1.6251461300555194,0.009888884624754903,18.338,1.6411353000709363,1,1468,0.016212368373847985,1.6249229316970883,0.009888884624754903,13.638,1.6411353000709363,1,1175,0.01565650051945,1.6254787995514863,0.009888884624754903,7.765
1,18,4.0,90,7.969,2.1566595398692447,1,961,0.02028112111750513,2.1363784187517396,0.009493225048282948,24.178,2.1566595398692447,1,1528,0.018935346317099366,2.1377241935521454,0.009493225048282948,22.169,2.1566595398692447,1,1528,0.018935346317099366,2.1377241935521454,0.009493225048282948,20.417,2.1566595398692447,1,1528,0.018935346317099366,2.1377241935521454,0.009493225048282948,19.773,2.1566595398692447,1,1448,0.02100244460469014,2.1356570952645546,0.009493225048282948,21.196,2.1566595398692447,1,1337,0.0209577769928444,2.1357017628764003,0.009493225048282948,13.116,2.1566595398692447,1,1086,0.021183545692563754,2.135475994176681,0.009493225048282948,7.969
1,19,4.0,95,11.761,1.7514415693513994,1,1662,0.01673695497970451,1.7347046143716949,0.00964830256462227,33.562,1.7514415693513994,1,3290,0.017160898177711603,1.7342806711736878,0.00964830256462227,40.498,1.7514415693513994,1,3290,0.017160898177711603,1.7342806711736878,0.00964830256462227,36.336,1.7514415693513994,1,3290,0.017160898177711603,1.7342806711736878,0.00964830256462227,32.145,1.7514415693513994,1,3003,0.017031071280567467,1.734410498070832,0.00964830256462227,23.634,1.7514415693513994,1,2319,0.01700975248587322,1.7344318168655262,0.00964830256462227,20.371,1.7514415693513994,1,1865,0.01694745222845606,1.7344941171229433,0.00964830256462227,11.761
1,20,4.0,100,20.647,2.274969426057991,1,3111,0.022088990358608562,2.2528804356993826,0.009804777035027726,54.591,2.274969426057991,1,6228,0.02210740627991603,2.252862019778075,0.009804777035027726,66.905,2.274969426057991,1,6228,0.02210740627991603,2.252862019778075,0.009804777035027726,60.451,2.274969426057991,1,6228,0.02210740627991603,2.252862019778075,0.009804777035027726,53.454,2.274969426057991,1,5660,0.022336769658812372,2.2526326563991788,0.009804777035027726,35.259,2.274969426057991,1,4388,0.02246029519498771,2.2525091308630034,0.009804777035027726,30.618,2.274969426057991,1,3528,0.022323031883525246,2.252646394174466,0.009804777035027726,20.647
1,21,5.0,105,36.235,1.7617942799593105,1,5509,0.017339550137703608,1.7444547298216069,0.009939810899808676,111.513,1.761794051506944,1,14012,0.017347221583153827,1.74444682992379,0.009939679940625458,139.044,1.7617940515070158,1,14012,0.01734722158322577,1.74444682992379,0.009939679940666699,142.205,1.7617940515070158,1,14012,0.01734722158322577,1.74444682992379,0.009939679940666699,122.464,1.7617940515950548,1,12219,0.017385071417414855,1.74440898017764,0.009939679991134565,56.114,1.761794053295641,1,7796,0.01728585476781075,1.7445081985278303,0.009939680965987229,44.452,1.7617940546994628,1,6226,0.017391645770214126,1.7444024089292487,0.009939681770721052,36.235
1,22,5.0,110,11.105,1.930455938957835,1,1373,0.018902624811794055,1.911553314146041,0.009888620250300751,38.838,1.930455938957835,1,3532,0.01822824860861405,1.912227690349221,0.009888620250300751,46.479,1.930455938957835,1,3532,0.01822824860861405,1.912227690349221,0.009888620250300751,48.754,1.930455938957835,1,3532,0.01822824860861405,1.912227690349221,0.009888620250300751,42.025,1.930455938957835,1,3226,0.01836109894145599,1.912094840016379,0.009888620250300751,26.356,1.930455938957835,1,2376,0.019045878792246507,1.9114100601655886,0.009888620250300751,22.844,1.930455938957835,1,1609,0.01758925213564244,1.9128666868221926,0.009888620250300751,11.105
1,23,5.0,115,24.082,1.8673957031119208,1,3313,0.018435562386275972,1.8489601407256449,0.009970773290461919,70.938,1.8673957031119208,1,7950,0.017680195648004604,1.8497155074639162,0.009970773290461919,91.076,1.8673957031119208,1,7950,0.017680195648004604,1.8497155074639162,0.009970773290461919,89.196,1.8673957031119208,1,7950,0.017680195648004604,1.8497155074639162,0.009970773290461919,74.717,1.8673957031119208,1,6966,0.01833675362868803,1.8490589494832328,0.009970773290461919,42.566,1.8673957031119208,1,5005,0.01830662207689282,1.849089081035028,0.009970773290461919,27.108,1.8673957031119208,1,3784,0.017832068694896952,1.8495636344170239,0.009970773290461919,24.082
1,24,5.0,120,34.771,2.0309586934341795,1,4602,0.020086888360369315,2.01087180507381,0.009989144166070803,116.25,2.0309586934341795,1,12795,0.02010689361988227,2.010851799814297,0.009989144166070803,135.938,2.0309586934341795,1,12795,0.02010689361988227,2.010851799814297,0.009989144166070803,133.19,2.0309586934341795,1,12795,0.02010689361988227,2.010851799814297,0.009989144166070803,124.844,2.0309586934341795,1,11225,0.020070443285779227,2.0108882501484002,0.009989144166070803,65.678,2.0309586934341795,1,7363,0.019983676178357168,2.0109750172558223,0.009989144166070803,45.816,2.0309586934341795,1,5348,0.020027436239164143,2.0109312571950153,0.009989144166070803,34.771
