numInstances,BosciaTerm,BosciaTermRel,BosciaTime,BosciaRelGapNT,BosciaNodesOCuts,Boscia_AfwTerm,Boscia_AfwTermRel,Boscia_AfwTime,Boscia_AfwRelGapNT,Boscia_AfwNodesOCuts,Boscia_No_As_No_SsTerm,Boscia_No_As_No_SsTermRel,Boscia_No_As_No_SsTime,Boscia_No_As_No_SsRelGapNT,Boscia_No_As_No_SsNodesOCuts,Boscia_No_AsTerm,Boscia_No_AsTermRel,Boscia_No_AsTime,Boscia_No_AsRelGapNT,Boscia_No_AsNodesOCuts,Boscia_No_SsTerm,Boscia_No_SsTermRel,Boscia_No_SsTime,Boscia_No_SsRelGapNT,Boscia_No_SsNodesOCuts,Boscia_Global_TighteningTerm,Boscia_Global_TighteningTermRel,Boscia_Global_TighteningTime,Boscia_Global_TighteningRelGapNT,Boscia_Global_TighteningNodesOCuts,Boscia_Local_TighteningTerm,Boscia_Local_TighteningTermRel,Boscia_Local_TighteningTime,Boscia_Local_TighteningRelGapNT,Boscia_Local_TighteningNodesOCuts,Boscia_No_TighteningTerm,Boscia_No_TighteningTermRel,Boscia_No_TighteningTime,Boscia_No_TighteningRelGapNT,Boscia_No_TighteningNodesOCuts
160,147,92 %,25.14,0.01,42779,142,89 %,23.25,0.01,46071,142,89 %,20.13,0.01,53528,142,89 %,21.4,0.02,53845,147,92 %,26.35,0.01,39734,144,90 %,38.81,0.01,37645,147,92 %,26.18,0.01,39185,145,91 %,34.21,0.01,38928
76,63,83 %,161.51,0.02,89711,58,76 %,212.51,0.02,96495,58,76 %,216.07,0.02,112186,58,76 %,233.76,0.02,112826,63,83 %,170.32,0.02,83314,60,79 %,238.73,0.02,78729,63,83 %,167.61,0.02,82144,61,80 %,222.94,0.02,81407
28,15,54 %,1135.98,0.03,220836,10,36 %,1425.59,0.03,229629,10,36 %,1354.2,0.04,264561,10,36 %,1386.21,0.04,264487,15,54 %,1178.94,0.03,203493,12,43 %,1360.95,0.04,184640,15,54 %,1189.78,0.03,200298,13,46 %,1301.05,0.04,191452
23,10,43 %,1437.75,0.04,253956,5,22 %,1666.48,0.04,255885,5,22 %,1611.92,0.05,297226,5,22 %,1644.25,0.05,296411,10,43 %,1453.09,0.04,232621,7,30 %,1621.93,0.05,207537,10,43 %,1469.43,0.04,228953,8,35 %,1538.02,0.04,215830
18,5,28 %,1716.11,0.04,290118,0,0 %,1800.08,0.05,272812,0,0 %,1800.01,0.06,320685,0,0 %,1800.01,0.06,317871,5,28 %,1721.57,0.04,262157,2,11 %,1773.92,0.06,222149,5,28 %,1738.04,0.04,258170,3,17 %,1747.46,0.05,232746
